N	2gram	Nazirov_Tr_1	Istorich
1	и в	18	28
2	и т	1	25
3	может быть	7	25
4	а не	1	15
5	не может	5	15
6	никогда не	2	14
7	для нас	1	13
8	то же	5	12
9	не только	8	12
10	что в	4	12
11	мы видим	1	11
12	только в	1	11
13	все же	5	10
14	и что	4	10
15	что он	6	10
16	но и	4	10
17	прежде всего	4	10
18	т е	1	10
19	не в	2	9
20	так и	5	9
21	о том	2	9
22	то что	4	9
23	в том	2	9
24	и не	7	9
25	в этом	9	8
26	но в	6	8
27	что это	5	8
28	таким образом	1	8
29	в ней	1	7
30	здесь мы	1	7
31	это не	5	7
32	еще не	4	7
33	и здесь	2	7
34	и др	1	7
35	так же	4	7
36	том что	4	7
37	в этой	4	6
38	его в	2	6
39	тем не	1	6
40	не менее	1	6
41	к тому	2	6
42	что и	2	6
43	вместе с	1	6
44	из дома	1	6
45	например в	1	5
46	должна быть	1	5
47	вопрос о	2	5
48	в своем	3	5
49	что она	2	5
50	в дальнейшем	5	5
51	можно было	1	5
52	восходит к	1	5
53	в его	3	5
54	но не	1	5
55	в одном	2	5
56	и даже	4	4
57	и на	7	4
58	между собой	1	4
59	представляет собой	1	4
60	все эти	3	4
61	но все	2	4
62	об этом	4	4
63	и с	7	4
64	с тем	2	4
65	как и	5	4
66	связи с	1	4
67	детей и	1	4
68	того что	1	4
69	с одной	1	4
70	потому что	2	4
71	так что	2	4
72	к ним	1	4
73	один из	3	4
74	социальной жизни	1	4
75	в иной	1	4
76	могут быть	1	4
77	как будто	3	4
78	все это	4	4
79	в связи	1	4
80	хотя бы	1	4
81	но это	4	4
82	обстоит дело	1	4
83	чтобы не	1	3
84	исходит из	1	3
85	я не	4	3
86	ему в	1	3
87	и он	3	3
88	не просто	2	3
89	перед нами	2	3
90	при этом	3	3
91	не как	1	3
92	и по	1	3
93	на этом	1	3
94	же не	1	3
95	в другом	1	3
96	почти не	1	3
97	в котором	1	3
98	по себе	1	3
99	раз и	2	3
100	в то	5	3
101	на котором	1	3
102	того как	1	3
103	утверждать что	1	3
104	как мы	1	3
105	в образе	6	3
106	же говорит	1	3
107	с того	1	3
108	и должно	1	3
109	связь между	1	3
110	во всем	1	3
111	и его	6	3
112	уже не	2	3
113	и их	1	3
114	тем что	2	3
115	в форме	1	3
116	именно в	1	3
117	как это	3	3
118	наряду с	1	3
119	в книге	1	3
120	к сожалению	1	3
121	точно так	2	3
122	одним из	1	2
123	и потому	1	2
124	связаны между	1	2
125	у себя	1	2
126	не вполне	1	2
127	подчеркнуть что	1	2
128	на них	1	2
129	столь же	2	2
130	во всех	1	2
131	присмотреться к	1	2
132	этого мотива	1	2
133	значение и	1	2
134	должны были	1	2
135	отличие от	2	2
136	как в	3	2
137	и как	3	2
138	поэтому он	1	2
139	в целом	4	2
140	он в	1	2
141	право на	1	2
142	в себе	4	2
143	как он	1	2
144	и если	1	2
145	в нем	4	2
146	он не	2	2
147	что нужно	1	2
148	и вот	1	2
149	так часто	1	2
150	а затем	1	2
151	а по	1	2
152	но уже	1	2
153	нет в	2	2
154	ведет к	1	2
155	должно быть	3	2
156	для него	3	2
157	но если	1	2
158	в такой	1	2
159	в отличие	2	2
160	миф о	1	2
