N	3gram	Losev_Vlad_2	KulturaY
1	и т д	1	14
2	в том что	9	10
3	можно было бы	2	9
4	с точки зрения	3	8
5	для того чтобы	1	8
6	в самом деле	1	7
7	по крайней мере	4	6
8	в этом смысле	1	5
9	во всяком случае	6	5
10	само по себе	2	5
11	тем не менее	6	5
12	и тем не	1	4
13	не только в	2	4
14	не может быть	1	4
15	к этой книге	1	3
16	в этом отношении	1	3
17	точно так же	3	3
18	в конце концов	3	3
19	в связи с	8	3
20	что я не	1	3
21	то же время	3	3
22	в то же	3	3
23	не говоря уже	2	2
24	но даже и	1	2
25	в этом случае	1	2
26	говоря уже о	2	2
27	до некоторой степени	2	2
28	на этот вопрос	1	2
29	вместе с тем	1	2
30	что можно сказать	1	2
31	в этом роде	1	2
32	в отличие от	3	2
33	и в том	1	2
34	в свое время	1	2
35	по себе не	1	2
36	в свою очередь	2	2
37	но все же	1	2
38	можно сказать что	1	2
39	на то что	2	2
40	но в том	1	2
41	так или иначе	3	2
42	по существу же	1	1
43	но что это	1	1
44	хотя и не	2	1
45	то что я	1	1
46	а не с	1	1
47	чуть ли не	1	1
48	дело в том	3	1
49	с а а	2	1
50	в настоящее время	2	1
51	можно утверждать что	1	1
52	до сих пор	1	1
53	можно говорить и	1	1
54	сам по себе	2	1
55	в статье посвященной	1	1
56	также и то	1	1
57	бы то ни	1	1
58	эти слова не	1	1
59	не имеет никакого	2	1
60	сказать что для	1	1
61	в первую очередь	1	1
62	нет никаких оснований	1	1
63	не было бы	1	1
64	только то что	1	1
65	или иначе но	1	1
66	но это не	1	1
67	за что не	1	1
68	тех пор пока	1	1
69	что все это	1	1
70	и не в	1	1
71	и в области	1	1
72	и то что	5	1
73	не то в	1	1
74	и с этой	1	1
75	может быть и	1	1
76	и в частности	1	1
77	то время как	1	1
78	за собой и	1	1
79	в данном случае	2	1
80	не то что	2	1
81	в первый раз	1	1
82	и все его	1	1
83	в году в	1	1
84	а также и	1	1
85	не мог в	1	1
86	ни на минуту	1	1
87	в последнее время	2	1
88	до конца он	1	1
89	не в том	3	1
90	он уже не	2	1
91	ни за что	1	1
92	но только в	1	1
93	уже с самого	1	1
94	что же это	1	1
95	нужно было бы	1	1
96	до тех пор	1	1
97	и в серьезных	1	1
98	хотя бы на	1	1
99	заключается в том	2	1
100	в то время	6	1
101	в том чтобы	2	1
102	связи с этим	1	1
103	о том что	3	1
104	ничего общего с	1	1
105	не забудем что	1	1
106	с самого начала	1	1
107	и прежде всего	1	1
108	что иное как	1	1
109	несмотря на все	2	1
110	от того чтобы	1	1
111	после того как	2	1
112	не что иное	1	1
113	и до конца	2	1
114	к тому же	1	1
115	а по существу	1	1
116	только тогда когда	1	1
117	как мы знаем	4	1
118	как мы видели	2	1
119	также и в	1	1
