N	2gram	Propp_Morf_1	PoTuStor
1	может быть	52	17
2	и в	13	16
3	и пр	37	12
4	в этом	14	9
5	таким образом	21	9
6	мы можем	2	9
7	прежде всего	9	9
8	и с	1	8
9	точки зрения	2	8
10	и его	1	8
11	не может	14	8
12	совершенно не	1	8
13	с его	2	7
14	не только	4	7
15	сказать что	2	7
16	самом деле	4	6
17	при этом	1	6
18	с точки	2	6
19	для него	1	6
20	и к	4	6
21	еще не	3	5
22	в чем	1	5
23	отношение к	1	5
24	все эти	2	5
25	что такое	3	5
26	только для	1	5
27	ни в	1	5
28	в него	1	5
29	как бы	3	5
30	на самом	4	4
31	и ее	3	4
32	и на	1	4
33	и наконец	1	4
34	но в	2	4
35	в этой	2	4
36	и может	1	4
37	его в	2	4
38	в один	3	4
39	самого начала	1	4
40	как мы	6	4
41	с ее	1	4
42	с самого	1	4
43	так и	6	4
44	но мы	3	4
45	можно сказать	2	4
46	в его	1	4
47	а потому	1	4
48	с ними	1	4
49	только в	2	4
50	для всех	1	4
51	и их	2	4
52	так как	16	4
53	и даже	1	4
54	но и	4	4
55	и не	12	4
56	и все	1	4
57	хотя бы	4	4
58	тех же	4	3
59	во всех	4	3
60	и есть	2	3
61	и как	5	3
62	учение о	3	3
63	и вот	1	3
64	их в	1	3
65	на этом	3	3
66	том что	4	3
67	во время	6	3
68	сих пор	1	3
69	в одном	1	3
70	и притом	1	3
71	в основе	1	3
72	до сих	1	3
73	те же	1	3
74	с другими	1	3
75	и она	1	3
76	в том	6	3
77	в большинстве	3	3
78	только на	1	3
79	большинстве случаев	3	3
80	всяком случае	2	3
81	даже не	3	3
82	в области	1	3
83	и др	10	3
84	пр и	2	3
85	но оно	2	3
86	как это	3	3
87	могут быть	16	3
88	что в	8	3
89	в этих	13	3
90	а в	7	3
91	то что	8	3
92	между ними	1	3
93	во всяком	2	3
94	ту же	2	2
95	и этот	1	2
96	мы уже	1	2
97	мы не	8	2
98	говорить о	3	2
99	между собой	4	2
100	из этих	1	2
101	совсем не	3	2
102	но как	2	2
103	друг на	2	2
104	с этим	11	2
105	в этот	1	2
106	что это	1	2
107	но ведь	1	2
108	вообще не	1	2
109	он не	3	2
110	момента в	1	2
111	и по	2	2
112	то же	7	2
113	по своему	2	2
114	связанные с	1	2
115	было бы	3	2
116	кажется что	1	2
117	по всему	2	2
118	в них	1	2
119	как и	3	2
120	между собою	2	2
121	на первый	3	2
122	в своей	1	2
123	не менее	5	2
124	только и	1	2
125	здесь же	3	2
126	понятия и	1	2
127	в каком	2	2
128	не могут	4	2
129	не будет	1	2
130	как не	1	2
131	и этим	5	2
132	в пределах	3	2
133	как с	1	2
134	находится в	1	2
135	о том	2	2
136	для нас	2	2
137	путь к	2	2
138	что и	7	2
139	во всей	1	2
140	один из	5	2
141	мы видим	13	2
142	что он	4	2
143	и действительно	1	2
144	со всеми	1	2
145	не можем	1	2
146	если мы	5	2
147	в итоге	2	2
148	в начале	3	2
149	для меня	1	2
150	у него	1	2
151	момент в	1	2
152	оно не	2	2
153	себя и	2	2
154	что не	1	2
155	а на	3	2
156	на друга	2	2
157	не на	2	2
158	что мы	2	2
159	с помощью	1	2
160	в частности	2	2
161	так же	3	2
162	к следующему	1	2
163	с этой	1	2
164	в свое	2	2
165	но это	6	2
166	и таким	2	2
167	и для	2	2
