N	3gram	Potebnia_M_2	Narrotol
1	в том что	7	8
2	с одной стороны	3	7
3	о том что	1	6
4	в отличие от	1	5
5	не может быть	2	5
6	и не в	1	4
7	все же не	1	4
8	с другой стороны	2	4
9	но все же	1	4
10	состоит в том	1	3
11	бы то ни	1	3
12	то ни было	1	3
13	тем не менее	5	3
14	и тем самым	1	3
15	то же время	2	3
16	в свою очередь	6	3
17	в то же	2	3
18	по всей вероятности	1	2
19	более или менее	8	2
20	не только о	1	2
21	подобно тому как	4	2
22	в таком случае	2	2
23	сами по себе	7	2
24	не отличается от	1	2
25	не то что	1	2
26	тогда как в	2	2
27	в связи с	1	2
28	с точкой зрения	1	2
29	то есть в	1	2
30	мог бы быть	1	2
31	не в состоянии	4	1
32	и того же	6	1
33	только потому что	2	1
34	свидетельствует не только	1	1
35	нами не как	1	1
36	а не с	2	1
37	дело в том	1	1
38	на самом деле	2	1
39	в этом смысле	2	1
40	том что он	1	1
41	том что оно	1	1
42	по крайней мере	5	1
43	по себе они	1	1
44	до сих пор	4	1
45	сам по себе	4	1
46	при этом что	1	1
47	и быть может	1	1
48	как это часто	1	1
49	что не только	1	1
50	но это не	1	1
51	в той мере	1	1
52	могли бы быть	1	1
53	может быть только	1	1
54	с этой точки	1	1
55	но само по	1	1
56	может и не	1	1
57	но в таком	1	1
58	между ними не	1	1
59	один из них	1	1
60	и тот же	1	1
61	не имеет для	1	1
62	большую или меньшую	1	1
63	это не так	1	1
64	и как бы	1	1
65	то что он	1	1
66	которое не может	1	1
67	мере в какой	1	1
68	один и тот	1	1
69	по себе не	3	1
70	быть не только	1	1
71	к другой но	1	1
72	не о том	1	1
73	вслед за нею	1	1
74	не имеет значения	1	1
75	так и в	2	1
76	в том чтобы	1	1
77	двух или нескольких	1	1
78	само по себе	2	1
79	ни для кого	1	1
80	при этом и	1	1
81	мысль о том	1	1
82	далеко не все	1	1
83	одного и того	6	1
84	друг от друга	1	1
85	собственно говоря и	1	1
86	этого слова а	1	1
87	есть прежде всего	2	1
88	то что они	1	1
89	то есть к	1	1
90	связи с чем	1	1
91	той мере в	1	1
92	как и в	1	1
93	здесь как и	1	1
94	обратим внимание на	1	1
