N	2gram	Medvedev_B_1	VeschiIm
1	не только	1	31
2	и не	2	28
3	и в	1	26
4	а не	1	20
5	все же	1	12
6	и ее	1	12
7	было бы	1	12
8	таким образом	1	11
9	в ней	2	10
10	прежде всего	1	9
11	говорить о	1	7
12	совершенно не	1	7
13	крайней мере	1	6
14	по крайней	1	6
15	что в	1	6
16	можно было	2	6
17	еще не	1	5
18	должна быть	1	5
19	отнюдь не	1	5
20	у нас	3	5
21	точке зрения	1	4
22	же не	1	4
23	между ними	1	4
24	и о	1	4
25	и потому	1	4
26	со всем	1	4
27	с другой	1	4
28	и более	1	4
29	в данном	1	4
30	вопрос о	1	3
31	так и	1	3
32	в своей	1	3
33	к ней	1	3
34	не то	2	3
35	тем более	1	3
36	все это	2	3
37	во всяком	1	2
38	и во	1	2
39	об этом	1	2
40	остановиться на	1	2
41	говорить об	1	2
42	не все	1	2
43	и нет	1	2
44	никак не	1	2
45	кроме того	1	2
46	не уничтожается	1	2
47	из своей	1	1
48	стоит на	1	1
49	было и	1	1
50	не было	1	1
51	одной из	1	1
52	то как	1	1
53	только одной	1	1
54	то нельзя	1	1
55	всяком случае	1	1
56	самом понятии	1	1
57	не о	1	1
58	в пределах	1	1
59	больше чем	2	1
60	другой стороны	1	1
61	также что	1	1
62	также не	1	1
63	по этим	1	1
64	и на	1	1
65	о них	1	1
66	далеко не	1	1
67	название то	1	1
68	о смысловом	1	1
