N	3gram	Propp_Russ_2	NovoeSre
1	не может быть	3	4
2	подобно тому как	3	3
3	вместе с тем	4	2
4	так же как	4	2
5	с одной стороны	2	2
6	с другой стороны	1	2
7	вопрос о том	1	2
8	ни одна из	1	2
9	то время как	1	1
10	же как и	2	1
11	и оно же	1	1
12	в отличие от	3	1
13	но и в	1	1
14	тому как в	2	1
15	можно было бы	1	1
16	может быть только	2	1
17	и через них	1	1
18	в том чтобы	2	1
19	но она не	2	1
20	в такой же	1	1
21	во всяком случае	1	1
22	о том что	4	1
23	в то время	2	1
24	то что в	1	1
25	не в духе	1	1
26	имея в виду	1	1
27	это и есть	1	1
28	и возвращается к	1	1
29	дай бог чтобы	1	1
30	в том что	18	1
31	должен быть признан	1	1
32	как и в	1	1
33	прежде всего как	1	1
