N	2gram	Bakhtin_Fr_2	VeschiIm
1	не есть	1	49
2	не может	7	33
3	не только	17	31
4	может быть	5	29
5	и не	15	28
6	и в	49	26
7	то что	6	24
8	и есть	1	23
9	это значит	1	22
10	а не	1	20
11	есть только	1	17
12	и следовательно	2	15
13	в смысле	2	15
14	только в	13	14
15	того что	1	13
16	и то	1	12
17	есть не	1	12
18	все же	7	12
19	в себя	6	12
20	было бы	3	12
21	и ее	1	12
22	но и	13	12
23	сказать что	6	12
24	а и	1	11
25	таким образом	7	11
26	с нею	1	11
27	то же	7	10
28	в ней	2	10
29	как бы	11	10
30	потому что	1	10
31	в самом	3	9
32	и с	6	9
33	в том	3	9
34	что не	1	9
35	еще и	1	9
36	прежде всего	19	9
37	с ее	3	8
38	сущности и	1	8
39	в себе	4	8
40	на то	2	8
41	смысл и	2	8
42	и это	3	8
43	ничего не	2	8
44	себя и	1	8
45	но это	2	8
46	также и	3	7
47	если она	1	7
48	в этом	15	7
49	его в	1	7
50	том что	4	7
51	в то	6	7
52	указывает на	1	7
53	в свете	1	7
54	и их	1	7
55	так как	6	7
56	как раз	1	7
57	смысла и	2	7
58	от всего	1	7
59	совершенно не	2	7
60	есть и	1	7
61	что они	2	6
62	и как	1	6
63	но в	4	6
64	это есть	1	6
65	точки зрения	6	6
66	но если	1	6
67	необходимо чтобы	1	6
68	с ним	4	6
69	она не	1	6
70	можно было	3	6
71	ясно что	1	6
72	так что	1	6
73	ни с	1	6
74	для него	9	6
75	относится к	5	6
76	быть только	1	6
77	жизни и	7	6
78	что в	2	6
79	того же	1	5
80	это и	2	5
81	и до	4	5
82	в сущности	8	5
83	в чем	1	5
84	но не	5	5
85	с самой	1	5
86	чем же	1	5
87	как к	2	5
88	должна быть	1	5
89	содержит в	2	5
90	это не	1	5
91	с тем	1	5
92	не в	1	5
93	в отношении	2	5
94	не менее	1	5
95	одна из	4	5
96	для себя	1	5
97	в ее	3	5
98	если бы	1	5
99	для этого	1	5
100	другими словами	3	5
101	еще не	2	5
102	что для	3	5
103	ни на	1	5
104	с этой	1	5
105	и для	1	5
106	а в	4	5
107	в свою	1	5
108	собственном смысле	2	4
109	я не	1	4
110	как я	1	4
111	в их	2	4
112	во всех	6	4
113	точка зрения	3	4
114	независимо от	1	4
115	в своем	5	4
116	однако не	1	4
117	как и	11	4
118	с точки	5	4
119	и более	4	4
120	слово и	1	4
121	же время	6	4
122	точке зрения	1	4
123	должен быть	1	4
124	и о	4	4
125	только то	2	4
126	о том	3	4
127	с другой	4	4
128	судить о	1	4
129	что и	1	4
130	из них	3	4
131	бытия и	1	4
132	тем что	4	4
133	со всем	1	4
134	и даже	2	4
135	как же	1	4
136	знания и	1	4
137	и потому	5	4
138	с полной	3	4
139	не существует	1	4
140	и все	3	4
