N	3gram	Propp_Russ_2	Analitik
1	о том что	4	6
2	в том что	18	6
3	в данном случае	6	5
4	состоит в том	13	4
5	с одной стороны	2	4
6	и в этом	1	4
7	в этом случае	6	4
8	на себя внимание	1	3
9	подобно тому как	3	3
10	в этом отношении	1	3
11	тем не менее	2	3
12	как и в	1	3
13	можно было бы	1	2
14	в отличие от	3	2
15	с другой стороны	1	2
16	на то что	1	2
17	а между тем	1	1
18	что иное как	2	1
19	можно сказать что	1	1
20	в тех случаях	1	1
21	более или менее	1	1
22	что один из	1	1
23	и не подтверждается	1	1
24	но и в	1	1
25	между тем как	1	1
26	во всех этих	1	1
27	одна из них	1	1
28	вся его жизнь	1	1
29	в этой связи	1	1
30	в применении к	1	1
31	о том же	3	1
32	что с ними	1	1
33	до некоторой степени	1	1
34	это имеет место	1	1
35	в свою очередь	1	1
36	в первую очередь	1	1
37	всех этих случаях	1	1
38	не может быть	3	1
39	ни одна из	1	1
40	не только на	1	1
41	не что иное	2	1
42	обращают на себя	1	1
43	в этих случаях	3	1
44	тех случаях когда	1	1
45	дело не в	1	1
46	как это имеет	1	1
