N	2gram	Medvedev_B_1	Narrotol
1	не только	1	32
2	и не	2	20
3	и в	1	19
4	а не	1	12
5	так и	1	9
6	с другой	1	8
7	все же	1	7
8	еще не	1	7
9	отнюдь не	1	5
10	не все	1	5
11	далеко не	1	5
12	в данном	1	5
13	прежде всего	1	4
14	другой стороны	1	4
15	же не	1	4
16	одной из	1	4
17	было бы	1	4
18	будто бы	1	3
19	что в	1	3
20	не о	1	3
21	и на	1	3
22	в ней	2	3
23	как будто	1	3
24	в значительной	1	2
25	должна быть	1	2
26	говорить о	1	2
27	и ее	1	2
28	не было	1	2
29	между ними	1	2
30	значительной степени	1	2
31	и потому	1	2
32	в пределах	1	2
33	совершенно не	1	2
34	включать в	1	2
35	тем более	1	2
36	не то	2	2
37	можно было	2	2
38	переходя к	1	1
39	контраста между	1	1
40	было и	1	1
41	крайней мере	1	1
42	таким образом	1	1
43	и во	1	1
44	об этом	1	1
45	свести к	1	1
46	и более	1	1
47	в трактовке	1	1
48	на самом	1	1
49	у нас	3	1
50	к ней	1	1
51	в книге	1	1
52	что все	1	1
53	точке зрения	1	1
54	а о	1	1
55	по крайней	1	1
56	также не	1	1
57	более что	1	1
58	видеть в	2	1
59	б.в томашевского	4	1
60	всего в	1	1
61	в области	1	1
62	представляется нам	1	1
63	в речи	1	1
