N	2gram	Nazirov_Tv_2	KulturaY
1	и т	13	39
2	потому что	7	25
3	т п	2	24
4	и в	20	23
5	не только	13	20
6	в том	8	19
7	в этом	8	18
8	и не	9	16
9	было бы	1	15
10	так как	3	15
11	может быть	8	15
12	ни к	2	15
13	т д	11	14
14	все эти	4	12
15	если бы	4	12
16	у нас	2	12
17	в самом	3	12
18	но в	4	11
19	том что	4	11
20	в области	1	11
21	по себе	1	10
22	в русском	1	10
23	а не	6	10
24	что в	7	10
25	самом деле	2	9
26	то что	3	9
27	можно было	1	9
28	вовсе не	2	9
29	не может	7	9
30	только потому	1	8
31	не в	4	8
32	и что	2	8
33	уже не	3	8
34	прежде всего	8	8
35	с другой	2	8
36	что это	1	7
37	все же	5	7
38	в силу	1	7
39	и с	8	7
40	не менее	2	7
41	но и	8	7
42	другой стороны	2	7
43	то же	7	6
44	и на	5	6
45	но не	5	6
46	в этой	5	6
47	это не	7	6
48	по крайней	2	6
49	ту же	1	6
50	между тем	3	6
51	крайней мере	2	6
52	этот вопрос	3	6
53	что не	3	6
54	в речи	1	6
55	я не	2	5
56	еще не	5	5
57	и вот	1	5
58	что все	1	5
59	об этом	4	5
60	лишь в	1	5
61	несмотря на	1	5
62	и здесь	1	5
63	не могут	1	5
64	ясно что	1	5
65	приводит к	2	5
66	в его	10	5
67	один из	3	5
68	тот же	1	5
69	что он	6	5
70	только в	2	5
71	должен быть	1	5
72	всяком случае	2	5
73	вместе с	3	5
74	как это	1	5
75	что же	1	5
76	этого слова	1	5
77	все это	6	5
78	таким образом	10	5
79	во всяком	2	5
80	вряд ли	1	4
81	говорить о	2	4
82	что я	2	4
83	со стороны	1	4
84	отнюдь не	4	4
85	однако не	1	4
86	перед нами	1	4
87	хотя и	4	4
88	на то	1	4
89	в нем	3	4
90	так и	6	4
91	должно быть	1	4
92	своего рода	3	4
93	в то	10	4
94	на себе	1	4
95	но только	1	4
96	не имеет	1	4
97	ничего не	4	4
98	что на	2	4
99	к тому	1	4
100	и о	1	4
101	в пределах	1	4
102	могут быть	2	4
103	для нас	1	4
104	мы знаем	1	4
105	ни в	1	4
106	в конце	6	4
107	в них	1	4
108	не было	2	4
109	в связи	1	4
110	как бы	11	4
111	в результате	1	4
112	сказать что	1	4
113	была бы	1	4
114	к этому	3	4
115	так же	5	4
116	в сфере	1	3
117	это и	1	3
118	в первый	1	3
119	а только	1	3
120	не все	1	3
121	или иное	1	3
122	как в	4	3
123	с этим	1	3
124	то или	1	3
125	так в	2	3
126	главным образом	1	3
127	в статье	2	3
128	он не	3	3
129	и по	2	3
130	что она	4	3
