N	3gram	Tiupa_Anal_1	slovoVRo
1	и т п	3	33
2	не может быть	16	15
3	в отличие от	6	12
4	с одной стороны	3	5
5	той или иной	6	5
6	по отношению к	5	4
7	в зависимости от	1	4
8	то же время	6	4
9	в то же	8	4
10	в том что	9	4
11	в той или	3	3
12	с точки зрения	4	3
13	в этом отношении	2	3
14	в собственном смысле	1	3
15	но в то	2	3
16	себя в них	1	3
17	но прежде всего	1	2
18	и в сущности	1	2
19	а вовсе не	1	2
20	в свою очередь	1	2
21	более или менее	1	2
22	до сих пор	1	2
23	не только в	1	2
24	включает в себя	1	2
25	не могут быть	2	2
26	во всяком случае	1	2
27	в связи с	1	2
28	для того чтобы	3	2
29	и не в	4	1
30	имеет дело с	1	1
31	а не с	1	1
32	далеко не все	1	1
33	также и в	1	1
34	и в пределах	1	1
35	в том числе	3	1
36	том что он	2	1
37	дело не только	1	1
38	можно утверждать что	1	1
39	может быть диалогического	1	1
40	сами по себе	2	1
41	может иметь место	1	1
42	лишь одним из	1	1
43	но и в	2	1
44	лишь одна из	1	1
45	между тем как	1	1
46	том числе и	1	1
47	и не может	4	1
48	в напряженном и	1	1
49	иметь место в	1	1
50	могли бы быть	2	1
51	она может быть	1	1
52	в той же	1	1
53	и не могут	1	1
54	говорить не приходится	1	1
55	смысл и значение	1	1
56	в нашем случае	3	1
57	с ним и	1	1
58	это возможно в	1	1
59	а не в	3	1
60	с другой стороны	2	1
61	в себе все	1	1
62	в широком смысле	2	1
63	о том что	3	1
64	того или иного	3	1
65	с той или	1	1
66	вместе с ним	2	1
67	большей или меньшей	4	1
68	как и в	1	1
69	целом с точки	1	1
70	от автора и	1	1
71	и остается в	1	1
72	даже не столько	1	1
73	у него свое	1	1
74	такое отношение к	1	1
75	тех или иных	2	1
76	всего может быть	1	1
77	всех этих актов	1	1
78	в процессе его	1	1
79	конечно далеко не	1	1
