N	2gram	Berdyaev_V_1	Marksizm
1	может быть	1	28
2	и в	16	19
3	как бы	5	19
4	и не	20	19
5	в процессе	1	18
6	то же	1	16
7	как мы	1	15
8	в этом	4	15
9	лишь в	3	14
10	не только	2	13
11	в нем	4	11
12	вовсе не	1	11
13	не в	3	10
14	так и	4	10
15	но и	5	10
16	том что	2	10
17	как и	4	9
18	для него	2	9
19	а не	7	9
20	с его	3	8
21	только в	2	8
22	одна из	2	7
23	никогда не	3	7
24	в том	3	7
25	прежде всего	2	7
26	и для	3	7
27	но в	3	7
28	во всех	3	6
29	в самом	1	6
30	ни в	3	6
31	того чтобы	2	6
32	к тому	3	6
33	для того	1	6
34	между тем	2	6
35	и все	4	6
36	хотя бы	3	6
37	и на	1	5
38	все же	1	5
39	то ни	1	5
40	лишь на	1	5
41	в их	1	5
42	к нему	1	5
43	в его	4	5
44	в форме	2	5
45	этого слова	1	5
46	к этому	1	5
47	так же	1	5
48	должна быть	3	4
49	и ее	1	4
50	бы то	1	4
51	конечно не	2	4
52	значение в	1	4
53	это не	2	4
54	и тем	1	4
55	тому что	3	4
56	ничего не	1	4
57	для себя	1	4
58	в русском	1	4
59	того что	5	4
60	с ними	1	4
61	что он	4	4
62	связь с	1	4
63	бы в	1	4
64	то что	9	4
65	если б	1	3
66	и то	2	3
67	в котором	4	3
68	и до	1	3
69	не имеют	1	3
70	в ней	4	3
71	еще не	8	3
72	в ее	1	3
73	менее всего	1	3
74	в истории	8	3
75	все эти	3	3
76	в этой	1	3
77	не к	2	3
78	не будет	2	3
79	конечно в	1	3
80	в этих	3	3
81	в своей	3	3
82	не имеет	3	3
83	у нас	1	3
84	могут быть	2	3
85	не есть	6	3
86	и это	2	3
87	значения и	2	3
88	что и	3	3
89	слова для	1	3
90	в двух	1	3
91	его и	2	3
92	так как	9	3
93	с другой	1	3
94	не было	3	3
95	да и	2	3
96	должно быть	3	3
97	и от	1	3
98	не существует	1	3
99	что оно	1	3
100	а в	2	3
101	во всяком	2	3
102	нем нет	2	2
103	из всего	1	2
104	вопрос о	1	2
105	зависимости от	1	2
106	целое и	1	2
107	он был	1	2
108	но как	1	2
109	что они	7	2
110	в своем	1	2
111	его к	2	2
112	от этого	3	2
113	что это	1	2
114	и с	1	2
115	то есть	1	2
116	в жизни	3	2
117	и потому	7	2
118	мы не	2	2
119	и тогда	2	2
120	является в	2	2
121	по крайней	1	2
122	в атмосфере	1	2
123	и именно	1	2
124	не с	2	2
125	но к	1	2
126	лишь как	1	2
127	ее от	1	2
