N	4gram	Vinokur_Ku_2	Vvedenie
1	в то же время	3	6
2	той мере в какой	1	5
3	в той мере в	1	5
4	не что иное как	1	4
5	в широком смысле слова	1	3
6	и в самом деле	2	3
7	и тем не менее	4	3
8	есть не что иное	1	2
9	так или иначе но	1	2
10	и т д в	1	2
11	для того чтобы понять	1	2
12	заключается в том что	1	2
13	ответ на этот вопрос	1	2
14	одной и той же	1	2
15	но также и в	1	2
16	дело в том что	1	2
17	и т д а	1	2
18	состоит в том что	1	2
19	в одном и том	1	1
20	уже о том что	1	1
21	того чтобы понять что	1	1
22	одном и том же	1	1
23	в каждом данном случае	1	1
24	но с другой стороны	1	1
25	с этой точки зрения	2	1
26	и т д и	1	1
27	большей или меньшей степени	3	1
28	для того чтобы определить	1	1
29	мере в какой они	1	1
30	говоря уже о том	1	1
31	в том или ином	1	1
32	не сам по себе	1	1
33	сама по себе не	1	1
34	широком смысле этого термина	1	1
35	не говоря уже о	2	1
36	в широком смысле этого	1	1
37	в большей или меньшей	3	1
38	во всяком случае гораздо	1	1
39	имеет дело лишь с	1	1
40	точно так же как	2	1
41	бы то ни было	1	1
42	также и то что	1	1
43	того или иного автора	1	1
44	не только в том	1	1
45	в связи с этим	1	1
46	какой бы то ни	1	1
47	до тех пор пока	1	1
48	языка по сравнению с	1	1
