N	3gram	Medvedev_V_1	slovoVRo
1	и т п	9	33
2	не может быть	8	15
3	с одной стороны	2	5
4	той или иной	1	5
5	по отношению к	7	4
6	в зависимости от	5	4
7	то же время	5	4
8	в то же	5	4
9	в том что	5	4
10	в той или	1	3
11	сама по себе	1	3
12	в этом отношении	13	3
13	т п все	1	3
14	но в то	1	3
15	одной стороны и	2	3
16	в свою очередь	1	2
17	более или менее	6	2
18	до сих пор	1	2
19	хотя бы и	5	2
20	может быть и	1	2
21	не только в	2	2
22	не могут быть	1	2
23	никогда не может	1	2
24	во всяком случае	1	2
25	сих пор не	1	2
26	п все это	1	2
27	в новое время	1	2
28	в связи с	3	2
29	для того чтобы	3	2
30	во всех его	2	2
31	и т д	14	2
32	в точном смысле	2	2
33	этой проблемы в	1	1
34	и может быть	1	1
35	хотя и не	1	1
36	мы говорим о	1	1
37	в какой мере	1	1
38	в чем же	2	1
39	иметь в виду	2	1
40	все зависит от	1	1
41	как один из	1	1
42	таким образом даже	2	1
43	органически связано с	1	1
44	также и в	2	1
45	в том числе	2	1
46	том что оно	1	1
47	то прежде всего	1	1
48	можно утверждать что	3	1
49	не может не	2	1
50	как это было	1	1
51	как сказал бы	1	1
52	это и создает	1	1
53	говорит о том	1	1
54	и в то	3	1
55	сами по себе	1	1
56	но и в	1	1
57	точном смысле слова	2	1
58	как пародия на	2	1
59	том числе и	2	1
60	для этого процесса	1	1
61	и не может	2	1
62	со всех сторон	1	1
63	в процессе этого	1	1
64	точки зрения на	1	1
65	романа с его	1	1
66	сводится именно к	1	1
67	даже и не	1	1
68	их отношение к	1	1
69	в применении к	1	1
70	в ту же	1	1
71	а не только	1	1
72	его роль в	1	1
73	не обязательно должен	1	1
74	во всей ее	1	1
75	что он не	1	1
76	однако отметить что	1	1
77	бы и не	3	1
78	с большей или	1	1
79	так и от	2	1
80	произведения в этом	1	1
81	те или иные	1	1
82	с другой стороны	8	1
83	все то что	1	1
84	мы видели что	3	1
85	именно в том	1	1
86	может быть при	1	1
87	о том что	3	1
88	того или иного	1	1
89	а в том	1	1
90	во всех этих	1	1
91	в частности в	2	1
92	между этими двумя	1	1
93	т п это	1	1
94	таким образом в	2	1
95	обязательно должен быть	1	1
96	большей или меньшей	3	1
97	все эти явления	2	1
98	выйти за пределы	1	1
99	одна из форм	1	1
100	не только не	2	1
101	в процессе работы	4	1
102	для правильного понимания	1	1
103	можно говорить только	1	1
104	и ту же	1	1
105	всего может быть	1	1
106	одну и ту	1	1
107	проблемы в плане	1	1
108	все это не	1	1
