N	2gram	Medvedev_I_1	Tragedij
1	и в	1	18
2	и оскорбленных	1	17
3	униженных и	1	16
4	в этом	2	9
5	и с	3	7
6	и не	2	7
7	так и	1	5
8	я не	1	4
9	в целом	1	4
10	все это	1	4
11	что в	2	4
12	эпизод с	1	3
13	все эти	1	3
14	и сам	1	3
15	для него	1	3
16	никогда не	1	2
17	о жизни	1	2
18	это был	1	2
19	то и	1	2
20	он не	2	2
21	ничего не	2	2
22	не так	1	2
23	не случайно	1	2
24	тем что	1	2
25	из мертвого	1	2
26	ненависть к	1	2
27	и дети	1	2
28	мертвого дома	1	2
29	по поводу	1	2
30	с жизнью	1	1
31	и др	1	1
32	что роман	1	1
33	знать и	1	1
34	пушкина и	1	1
35	и еще	1	1
36	от нее	1	1
37	это было	1	1
38	в них	1	1
39	из подполья	1	1
40	стало быть	1	1
41	теперь я	1	1
42	вплоть до	1	1
43	на котором	1	1
44	творчества достоевского	2	1
45	он с	1	1
46	из униженных	1	1
47	что при	1	1
48	и о	1	1
49	того чтобы	1	1
50	во многом	1	1
51	когда его	1	1
52	с литературными	1	1
53	а по	1	1
54	а также	1	1
55	того что	1	1
56	могло бы	1	1
57	более чем	1	1
58	видит в	1	1
59	бы в	1	1
60	только что	1	1
