N	2gram	Nazirov_Vr_1	StatiiOP
1	и в	8	25
2	в этом	8	24
3	в том	3	20
4	что он	4	19
5	может быть	4	19
6	тем что	3	19
7	что в	7	19
8	что это	1	16
9	том что	3	15
10	в этой	2	14
11	не только	9	12
12	в его	3	12
13	то что	7	12
14	в этих	1	11
15	таким образом	2	10
16	прежде всего	1	10
17	и не	5	10
18	у него	5	9
19	но и	7	9
20	все это	4	8
21	о том	4	8
22	это было	1	8
23	т е	3	8
24	в своих	4	8
25	с этим	1	7
26	это не	4	7
27	было бы	1	7
28	в то	5	7
29	не может	2	7
30	точки зрения	2	7
31	место в	2	6
32	как в	1	6
33	в русской	3	6
34	между тем	5	6
35	в конце	3	6
36	в россии	5	6
37	как бы	4	6
38	а в	2	6
39	как на	1	6
40	в году	18	5
41	то же	5	5
42	ответ на	2	5
43	независимо от	1	5
44	но в	6	5
45	на то	3	5
46	он не	3	5
47	об этом	5	5
48	в котором	6	5
49	потому что	1	5
50	и это	2	5
51	так и	1	5
52	в них	2	5
53	с другой	1	5
54	в речах	1	5
55	того что	1	5
56	другой стороны	1	5
57	в рукописи	1	4
58	из которых	1	4
59	в чем	3	4
60	все же	6	4
61	не было	5	4
62	то в	1	4
63	в целом	1	4
64	мировой литературе	1	4
65	для россии	1	4
66	этом смысле	1	4
67	в жизни	1	4
68	как и	6	4
69	в эту	2	4
70	по крайней	1	4
71	с точки	2	4
72	ничего не	1	4
73	этом отношении	1	4
74	в каком	1	4
75	отличается от	1	4
76	в ней	4	4
77	и с	6	4
78	а также	2	4
79	к нему	1	4
80	в качестве	1	4
81	в начале	6	4
82	всяком случае	1	4
83	отношение к	2	4
84	то время	1	4
85	крайней мере	1	4
86	в особенности	1	4
87	но это	2	4
88	а б	1	4
89	в своей	2	4
90	из этого	1	4
91	это в	2	4
92	во всяком	1	4
93	по мнению	2	3
94	говорить о	1	3
95	он был	3	3
96	с его	3	3
97	своего рода	1	3
98	в в	2	3
99	и наконец	1	3
100	в пору	1	3
101	всех этих	1	3
102	что этот	1	3
103	попадает в	1	3
104	несмотря на	4	3
105	в их	1	3
106	что я	2	3
107	но он	3	3
108	во время	2	3
109	же время	5	3
110	б в	1	3
111	это слово	1	3
112	связи с	3	3
113	и далее	2	3
114	нельзя не	1	3
115	и что	8	3
116	у которого	1	3
117	и его	3	3
118	уже не	2	3
119	уже в	4	3
120	для него	2	3
121	как раз	2	3
122	связан с	1	3
123	к которому	1	3
124	что для	1	3
125	до конца	1	3
126	в рассказе	1	3
127	с которым	2	3
128	в связи	3	3
129	между прочим	1	3
130	г а	5	3
131	в мировой	1	3
132	тем более	2	3
133	конце концов	1	3
134	к этому	3	3
135	речь идет	3	2
136	к своей	1	2
137	такое же	1	2
138	той же	1	2
139	того же	1	2
140	не имел	1	2
141	не был	1	2
142	его отношение	1	2
143	во всех	1	2
144	то он	1	2
145	но как	2	2
146	если в	1	2
147	не просто	1	2
148	что они	1	2
149	в самом	1	2
150	во многих	1	2
151	о которой	2	2
152	в плане	1	2
153	в остальном	1	2
154	на пять	1	2
155	заключается в	1	2
156	ни разу	1	2
157	а с	2	2
158	эти годы	2	2
159	он и	1	2
160	в развитии	1	2
161	такой же	1	2
162	не мог	2	2
163	которую он	1	2
164	можно найти	1	2
165	тем не	1	2
166	не менее	2	2
167	но они	1	2
168	что эта	1	2
169	как о	1	2
170	одна из	2	2
171	не имеет	1	2
172	никогда не	2	2
173	более что	1	2
174	он хочет	1	2
175	х годов	4	2
176	существуют в	1	2
177	от того	1	2
178	начиная с	2	2
179	могут быть	1	2
180	на это	2	2
181	не совсем	1	2
182	с ее	1	2
183	в виду	4	2
184	на основе	2	2
185	что у	3	2
186	на нее	1	2
187	сказалось в	1	2
188	во многом	4	2
189	он писал	2	2
190	и во	3	2
191	от них	1	2
192	в форме	1	2
193	еще не	2	2
194	и ее	2	2
195	и у	3	2
196	при помощи	2	2
197	несомненно в	1	2
198	мы находим	1	2
199	до сих	1	2
200	в предисловии	1	2
201	этот человек	2	2
202	что из	1	2
203	вместе с	2	2
204	но не	1	2
205	без труда	1	2
206	это за	1	2
207	в это	2	2
208	сих пор	1	2
209	один из	1	2
210	работы над	1	2
211	в духе	1	2
212	года в	7	2
213	только что	1	2
214	я думаю	1	2
215	в свою	2	2
216	к сожалению	1	2
217	к этой	1	2
218	близок к	1	2
219	молодой человек	1	2
220	как известно	1	1
221	вряд ли	1	1
222	последнего в	1	1
223	одним из	3	1
224	также и	1	1
225	начинается с	1	1
226	и то	2	1
227	е годы	1	1
228	говорилось выше	1	1
229	идет о	1	1
230	не хочет	1	1
231	по преимуществу	1	1
232	свое место	1	1
233	как пушкин	1	1
234	легенду о	1	1
235	уже по	1	1
236	из всех	1	1
237	отношения к	2	1
238	не вдаваясь	1	1
239	еще до	1	1
240	совпадает с	1	1
241	событий и	1	1
242	ему в	1	1
243	и он	2	1
244	и пытался	1	1
245	в детальный	1	1
246	н ф	1	1
247	а тем	1	1
248	в сторону	1	1
249	не все	1	1
250	и я	1	1
251	в истории	4	1
252	по которому	1	1
253	россии в	2	1
254	что как	1	1
255	в своем	3	1
256	город в	1	1
257	что ее	1	1
258	он часто	1	1
259	целый ряд	4	1
260	и как	3	1
261	хочет сделать	1	1
262	не являются	1	1
263	тут нет	1	1
264	период работы	1	1
265	при создании	2	1
266	у целого	1	1
267	за это	1	1
268	еще один	1	1
269	в известном	2	1
270	почти одновременно	1	1
271	печального образа	1	1
272	как он	1	1
273	но на	1	1
274	начал писать	1	1
275	в нем	6	1
276	в свет	1	1
277	в плен	1	1
278	от которого	1	1
279	теперь это	1	1
280	же это	1	1
281	прочим и	1	1
282	пор мы	1	1
283	повесть в	1	1
284	что ни	1	1
285	было время	1	1
286	совпадают с	1	1
287	конечно в	1	1
288	на кавказ	2	1
289	самим собой	1	1
290	следить за	1	1
291	был очень	1	1
292	которым он	1	1
293	рядом с	2	1
294	в польше	1	1
295	соответствии с	1	1
296	этого не	1	1
297	а за	1	1
298	во внимание	1	1
299	своей родной	1	1
300	мы знаем	2	1
301	под руку	1	1
302	но я	1	1
303	поэтому он	1	1
304	ориентировался на	1	1
305	как по	1	1
306	его современников	1	1
307	в черновиках	3	1
308	то было	1	1
309	вышел из	1	1
310	к воспоминаниям	1	1
311	одном из	1	1
312	сам же	1	1
313	не могли	1	1
314	том же	2	1
315	связь этого	1	1
316	вдаваясь в	1	1
317	что есть	3	1
318	на три	1	1
319	вплоть до	1	1
320	конце х	1	1
321	того как	1	1
322	не могло	1	1
323	не сохранилось	1	1
324	к вопросу	1	1
325	он неизменно	1	1
326	ему было	1	1
327	мыслей и	1	1
328	того в	1	1
329	по своей	1	1
330	такая же	1	1
331	же года	1	1
332	друг друга	1	1
333	годов в	1	1
334	сюжет в	1	1
335	до того	1	1
336	с концепцией	1	1
337	было не	1	1
338	в стиле	1	1
339	вот в	1	1
340	героев и	1	1
341	выросла из	1	1
342	в числе	1	1
343	его с	2	1
344	какая прелесть	1	1
345	он ищет	1	1
346	году в	2	1
347	и о	3	1
348	отзывался о	1	1
349	и образ	1	1
350	свою очередь	1	1
351	в ее	1	1
352	только при	1	1
353	сей день	1	1
354	это была	1	1
355	с первого	1	1
356	так в	2	1
357	и сам	1	1
358	и наступление	1	1
359	этот период	1	1
360	ясно что	1	1
361	которого у	1	1
362	чем у	1	1
363	именно этот	1	1
364	яркое отражение	1	1
365	том как	1	1
366	не стоит	1	1
367	но у	1	1
368	о котором	1	1
369	и вообще	1	1
370	с ним	4	1
371	приближается к	1	1
372	и т.д	1	1
373	его жизни	1	1
374	вопросу о	1	1
375	интересно в	1	1
376	русской литературе	3	1
377	говорить об	1	1
378	возникает вопрос	1	1
379	именно в	1	1
380	также в	1	1
381	в свете	1	1
382	человека как	1	1
383	большой успех	1	1
384	как художнику	1	1
385	и самые	1	1
386	известном смысле	1	1
387	в петербурге	1	1
388	его в	3	1
389	ли он	1	1
390	он уже	1	1
391	это же	1	1
392	это сказалось	1	1
393	же он	1	1
394	для всех	1	1
395	с нею	2	1
396	раз в	3	1
397	указания на	1	1
398	целого ряда	1	1
399	а это	1	1
400	из них	2	1
401	едва ль	1	1
402	в комедии	1	1
403	и их	1	1
404	с различными	1	1
405	в известной	1	1
406	в одном	1	1
407	существенно что	1	1
408	во всей	1	1
409	из двух	1	1
410	и из	1	1
411	и несомненно	1	1
412	был в	1	1
413	человек который	1	1
414	характерно для	1	1
415	говорит о	1	1
416	с эпохой	1	1
417	он отличается	1	1
418	целым рядом	1	1
419	истории к	1	1
420	человек в	1	1
421	о чем	2	1
422	сказался в	1	1
423	в великом	1	1
424	как говорит	1	1
425	в те	3	1
426	с помощью	1	1
427	уже давно	1	1
428	нет ничего	1	1
429	в частности	1	1
430	уверенности что	1	1
431	вышла в	1	1
432	эти слова	3	1
433	не знал	1	1
434	в эпиграмме	1	1
435	что за	1	1
436	тогда бы	1	1
437	наряду с	3	1
438	в той	2	1
439	и этот	1	1
440	что же	1	1
441	в литературе	1	1
442	время широко	1	1
443	но для	1	1
444	этой сцене	1	1
445	в тюрьме	1	1
446	этими тремя	1	1
447	п в	2	1
448	котором он	1	1
449	на большую	1	1
450	это как	1	1
451	эту историю	1	1
452	для нас	4	1
453	и все	7	1
454	бы в	1	1
455	я хотел	3	1
456	но зато	1	1
457	очень хорошо	2	1
458	давно уже	3	1
459	отношении к	1	1
460	гораздо больше	1	1
461	в период	2	1
462	а о	1	1
463	о своем	1	1
464	они как	1	1
465	автора в	1	1
466	в свое	1	1
467	не подвергая	1	1
468	жизни и	1	1
469	от роду	1	1
470	только не	1	1
471	так же	4	1
472	все что	1	1
473	они не	1	1
