N	3gram	Voloshinov_1	EvropaiC
1	в том что	4	16
2	до сих пор	3	12
3	по отношению к	11	10
4	с точки зрения	2	8
5	а между тем	1	7
6	на самом деле	2	7
7	более или менее	1	7
8	в самом деле	1	5
9	сих пор не	1	4
10	может быть и	3	4
11	к тому же	1	4
12	с другой стороны	2	4
13	не может быть	7	4
14	о том что	1	4
15	тем не менее	3	4
16	в настоящее время	2	3
17	в том же	1	3
18	так же как	1	3
19	в данном случае	2	3
20	все же не	1	3
21	в том и	1	2
22	они должны быть	1	2
23	только то что	1	2
24	бы то ни	3	2
25	то же время	1	2
26	то ни было	3	2
27	с одной стороны	2	2
28	в нашем случае	1	2
29	друг к другу	1	2
30	во всяком случае	1	2
31	как и в	1	2
32	в свою очередь	1	2
33	ничего общего с	1	2
34	но все же	1	2
35	том что все	1	2
36	в то же	1	2
37	что до сих	1	2
38	с большим трудом	1	1
39	о том кто	1	1
40	и то же	2	1
41	само собою разумеющееся	1	1
42	дело в том	4	1
43	то время как	1	1
44	мы уже сказали	1	1
45	проч все эти	1	1
46	то же самое	2	1
47	жизни если бы	2	1
48	и тому же	1	1
49	деле это не	1	1
50	и не может	3	1
51	это не так	2	1
52	в лучшем случае	1	1
53	в зависимости от	2	1
54	между тем как	1	1
55	но для этого	1	1
56	совершенно ясно что	1	1
57	по крайней мере	1	1
58	одно и то	2	1
59	как нечто само	1	1
60	так и к	1	1
61	с такою же	1	1
62	то что для	1	1
63	того что именно	1	1
64	в высшей степени	1	1
65	не находят себе	1	1
66	нечто само собою	1	1
67	уже и сейчас	1	1
68	и проч все	1	1
69	и таким образом	1	1
70	таким образом мы	1	1
71	в то время	1	1
72	с самого начала	1	1
73	еще не вполне	1	1
74	и в нем	1	1
75	таким образом для	1	1
76	одному и тому	1	1
