N	2gram	Medvedev_S_1	VelikijI
1	и не	1	20
2	и в	3	16
3	то что	2	9
4	еще не	2	8
5	и потому	1	7
6	но и	2	5
7	в мире	1	5
8	все это	7	5
9	как бы	2	5
10	и есть	1	4
11	в его	3	4
12	в этом	5	4
13	что он	1	4
14	так и	1	4
15	что все	1	4
16	как и	1	4
17	в котором	1	4
18	и что	2	3
19	должна быть	2	3
20	хотя бы	1	3
21	в чем	1	3
22	и будет	1	3
23	в том	5	3
24	все эти	1	3
25	в конце	2	3
26	в своей	1	3
27	и мы	2	3
28	в них	1	3
29	не было	1	3
30	в этих	1	3
31	не в	3	3
32	тому что	1	3
33	никогда не	1	3
34	что в	2	3
35	а между	1	2
36	мы не	1	2
37	с ним	1	2
38	между тем	1	2
39	только в	2	2
40	конечно не	1	2
41	не только	3	2
42	тем что	1	2
43	это не	1	2
44	а с	1	2
45	прежде всего	1	2
46	один из	1	2
47	более чем	3	2
48	том что	2	2
49	для нас	3	2
50	а в	1	2
51	но не	1	2
52	во всяком	1	2
53	же теперь	1	1
54	то же	2	1
55	в результате	2	1
56	но как	1	1
57	бы в	1	1
58	нам право	1	1
59	крайней мере	1	1
60	и самые	1	1
61	все же	1	1
62	что это	1	1
63	в целом	1	1
64	в этой	1	1
65	вот в	1	1
66	в виде	1	1
67	и стало	1	1
68	или даже	2	1
69	вовсе не	1	1
70	у него	1	1
71	и по	1	1
72	с другой	1	1
73	наше дело	1	1
74	еще и	1	1
75	по достоинству	1	1
76	основной вопрос	1	1
77	между собою	1	1
78	их на	1	1
79	что личность	1	1
80	он говорит	1	1
81	по крайней	1	1
82	никакая наука	1	1
83	единственный путь	1	1
84	это значит	1	1
85	но она	1	1
86	своего же	1	1
87	это как	1	1
88	ничего не	1	1
89	может быть	2	1
90	конце концов	2	1
91	что на	1	1
92	заключается что	2	1
93	им не	2	1
94	еще недостаточно	1	1
95	в процессе	1	1
96	они не	1	1
