N	4gram	Bakhtin_fo_2	Dialekti
1	одно и то же	1	4
2	в то же время	4	4
3	и в то же	2	2
4	одна и та же	2	2
5	что они вовсе не	1	1
6	друг с другом в	1	1
7	в то время как	1	1
8	с другой стороны в	1	1
9	жизнь со всеми ее	1	1
10	взгляд может показаться что	1	1
11	бы она ни была	2	1
12	первый взгляд может показаться	1	1
13	на первый взгляд может	1	1
14	и в этом отношении	1	1
15	все больше и больше	1	1
16	ни в чем не	1	1
17	не было бы и	1	1
18	в связи с этим	2	1
19	но в то же	1	1
20	но в конце концов	1	1
