N	3gram	Tiupa_Teor_1	Myshleni
1	с точки зрения	3	18
2	для того чтобы	1	15
3	в том что	8	15
4	с другой стороны	5	9
5	так же точно	1	9
6	с одной стороны	2	8
7	по отношению к	4	7
8	заключается в том	1	6
9	о том что	1	6
10	из того что	1	5
11	так же как	1	5
12	не может быть	4	5
13	в то время	1	5
14	можно сказать что	2	4
15	таким образом что	1	3
16	то же самое	1	3
17	к тому что	2	3
18	в свою очередь	2	3
19	и тем самым	2	3
20	друг от друга	1	3
21	по своей природе	2	2
22	том что в	1	2
23	и то же	1	2
24	в известном смысле	1	2
25	в единое целое	2	2
26	то же время	5	2
27	именно в этом	1	2
28	одно и то	1	2
29	в данном случае	5	2
30	в значительной степени	1	2
31	а с другой	2	2
32	приводит к тому	2	2
33	на вопрос о	1	2
34	на две части	1	2
35	тем и другим	1	2
36	в то же	5	2
37	таким образом и	1	2
38	раз в том	1	1
39	дело в том	1	1
40	в этом смысле	2	1
41	значении этого слова	2	1
42	и в то	1	1
43	если говорить о	1	1
44	в отличие от	6	1
45	отношение человека к	1	1
46	только то что	1	1
47	том числе и	1	1
48	точно так же	1	1
49	не только переходом	1	1
50	одном и том	1	1
51	по крайней мере	1	1
52	ту или иную	1	1
53	в одном и	1	1
54	как раз в	1	1
55	как это ни	1	1
56	то что может	1	1
57	содержит в себе	1	1
58	состоит в том	5	1
59	и потому что	1	1
60	между тем в	1	1
61	отношение между ними	1	1
62	таким же образом	1	1
63	во внешнем мире	1	1
64	как впрочем и	1	1
65	человека к действительности	2	1
66	в целом ряде	1	1
67	все то что	1	1
68	лишь в самом	2	1
69	речи от внешней	1	1
70	что даже в	1	1
71	в соответствии с	2	1
72	и семантической сторон	1	1
73	не только не	2	1
74	в конечном счете	6	1
75	между тем это	1	1
76	и том же	1	1
77	больше и больше	1	1
78	заключает в себе	1	1
79	в том числе	2	1
80	в силу своей	1	1
81	сама по себе	1	1
82	тем не менее	3	1
83	же точно и	1	1
84	как и в	2	1
85	той или иной	1	1
86	фонетической и семантической	1	1
87	речи как бы	1	1
