N	3gram	Bakhtin_Fr_5	VrazhdaK
1	то же время	9	4
2	в то же	9	4
3	в связи с	5	3
4	он не только	2	2
5	с точки зрения	2	2
6	и что в	1	2
7	но в то	5	2
8	в году в	1	2
9	не может быть	2	2
10	в том что	6	2
11	да и в	1	1
12	не мешало их	1	1
13	далеко не все	1	1
14	же время и	1	1
15	до сих пор	3	1
16	в мировой литературе	1	1
17	он и не	1	1
18	в этом отношении	5	1
19	независимо от того	1	1
20	но это не	1	1
21	может быть и	1	1
22	и в то	1	1
23	в это время	1	1
24	о том как	2	1
25	так же как	4	1
26	одним из сильнейших	1	1
27	и никому не	1	1
28	одним из первых	1	1
29	быть и речи	1	1
30	был в то	1	1
31	раз в году	2	1
32	как бы в	2	1
33	связи с этим	3	1
34	тем не менее	1	1
35	что в этой	1	1
36	в то время	2	1
37	в свою очередь	1	1
38	о том что	1	1
39	и в самом	1	1
40	в ту эпоху	1	1
41	один раз в	2	1
42	это не просто	1	1
43	в конце жизни	2	1
44	о которой не	1	1
