N	3gram	Berdyaev_M_2	Komedia
1	в том что	2	5
2	о том что	2	4
3	для того чтобы	4	4
4	по отношению к	2	3
5	сомневаться в том	1	2
6	до сих пор	3	2
7	что у него	1	2
8	берет на себя	1	2
9	после того как	2	2
10	к тому что	3	2
11	что и в	4	2
12	не означает что	1	1
13	потому что в	1	1
14	никто не был	1	1
15	как и во	2	1
16	так и не	1	1
17	в разных ее	1	1
18	один из первых	1	1
19	с точки зрения	1	1
20	сих пор не	1	1
21	но и в	1	1
22	и та же	2	1
23	а может быть	1	1
24	ни у кого	1	1
25	не раскрывается с	1	1
26	так как он	2	1
27	с такой силой	1	1
28	о чем они	1	1
29	той или иной	1	1
30	по сравнению с	1	1
31	так как будто	1	1
32	одна и та	2	1
33	мере в какой	1	1
34	не может быть	8	1
35	что он не	1	1
36	такой силой как	1	1
37	знать друг друга	1	1
38	на протяжении всего	1	1
39	у него на	1	1
40	хотя бы в	1	1
41	что это не	2	1
42	как можно более	1	1
43	там и здесь	6	1
44	раскрывается с такой	1	1
45	независимо от его	1	1
