N	2gram	Medvedev_V_1	FransuaR
1	и в	26	45
2	то есть	1	25
3	и не	19	15
4	в этом	26	14
5	но в	2	14
6	не только	25	14
7	во всех	6	13
8	и его	6	13
9	в его	14	13
10	как бы	5	12
11	во время	3	12
12	эти образы	1	12
13	что в	10	12
14	то же	10	11
15	в своем	8	11
16	в то	6	11
17	в романе	4	11
18	в нем	6	10
19	образов в	2	10
20	как и	7	10
21	в том	15	10
22	но и	10	10
23	прежде всего	13	10
24	же время	5	9
25	в ней	2	8
26	таким образом	31	8
27	в самой	1	8
28	как мы	1	8
29	мира и	3	8
30	жизни и	3	8
31	вовсе не	3	8
32	и др	9	8
33	так же	3	8
34	также и	2	7
35	он был	1	7
36	с его	3	7
37	образы в	1	7
38	мы видели	3	7
39	том что	8	7
40	не в	6	7
41	потому что	1	7
42	что и	3	7
43	в конце	3	7
44	и все	1	7
45	все это	10	7
46	здесь не	1	6
47	в этой	4	6
48	он не	2	6
49	всех этих	2	6
50	в них	4	6
51	того чтобы	3	6
52	связи с	4	6
53	так и	5	6
54	что он	4	6
55	для того	3	6
56	одним из	5	5
57	например в	3	5
58	самом деле	1	5
59	это и	6	5
60	с ее	1	5
61	хотя и	2	5
62	и как	3	5
63	и к	3	5
64	и у	2	5
65	все эти	6	5
66	на этом	1	5
67	форм и	1	5
68	его в	3	5
69	и образы	3	5
70	с ним	1	5
71	этом отношении	13	5
72	мы видим	1	5
73	одной из	1	5
74	и их	3	5
75	как раз	3	5
76	и образов	5	5
77	в связи	3	5
78	не может	17	5
79	но это	1	5
80	от всех	1	5
81	есть и	1	5
82	же как	2	4
83	его не	3	4
84	но не	2	4
85	в общем	2	4
86	перед нами	4	4
87	кроме того	1	4
88	в самом	4	4
89	тому же	1	4
90	первой части	1	4
91	по своему	1	4
92	об этом	9	4
93	зрения на	1	4
94	это было	1	4
95	между собою	2	4
96	точки зрения	3	4
97	в их	5	4
98	в основе	1	4
99	у него	6	4
100	очень часто	1	4
101	и это	1	4
102	можно было	2	4
103	о том	10	4
104	и во	1	4
105	связаны с	1	4
106	образов и	4	4
107	только в	7	4
108	с этим	3	4
109	характерно что	1	4
110	и даже	2	4
111	сказать что	5	4
112	а не	7	4
113	на время	2	4
114	чем же	4	4
115	с образами	1	4
116	как это	12	4
117	и от	3	4
118	бы в	3	4
119	все они	2	4
120	а также	1	4
121	а в	3	4
122	как на	3	4
123	по поводу	2	4
124	том числе	2	4
125	единство и	1	3
126	почти все	1	3
127	но она	1	3
128	и он	2	3
129	из этих	7	3
130	как в	1	3
131	роль играет	1	3
132	как он	2	3
133	но на	1	3
134	что она	2	3
135	связанных с	1	3
136	системе образов	1	3
137	ни в	1	3
138	он и	2	3
139	до сих	1	3
140	в своей	4	3
141	в которых	3	3
142	от его	2	3
143	не менее	2	3
144	не имеет	1	3
145	что на	1	3
146	от того	2	3
147	всего этого	1	3
148	не могло	1	3
149	то время	1	3
150	в другом	2	3
151	часто в	1	3
152	этой жизни	1	3
153	и миром	1	3
154	это не	7	3
155	именно в	2	3
156	того что	3	3
157	до нас	2	3
158	есть в	1	3
159	в поэзии	1	3
160	системы образов	1	3
161	для него	8	3
162	в одном	4	3
163	но он	1	3
164	не было	7	3
165	еще и	2	3
166	образов но	1	3
167	о чем	2	3
168	вместе с	7	3
169	в течение	2	3
170	по существу	3	3
171	сих пор	1	3
172	и для	2	3
173	в году	6	3
174	и ни	1	3
175	на этот	1	3
176	в заключение	1	3
177	и другие	1	3
178	ту же	2	2
179	можно говорить	1	2
180	чтобы не	2	2
181	и есть	5	2
182	почти не	1	2
183	из его	3	2
184	др в	3	2
185	из своих	2	2
186	говорить о	2	2
187	всего сказанного	2	2
188	в целом	4	2
189	подчеркнуть что	2	2
190	это время	1	2
191	в различных	2	2
192	в чем	2	2
193	в данном	1	2
194	нет и	3	2
195	после всего	2	2
196	относится к	2	2
197	в истории	1	2
198	его счет	1	2
199	все же	5	2
200	когда он	3	2
201	и наконец	2	2
202	он в	1	2
203	роль в	4	2
204	и если	1	2
205	в начале	1	2
206	так например	2	2
207	том же	6	2
208	самого автора	1	2
209	лишь в	2	2
210	с которой	1	2
211	было бы	7	2
212	смерть и	1	2
213	для них	1	2
214	с тем	3	2
215	несмотря на	1	2
216	отрыве от	1	2
217	философии а	1	2
218	и без	1	2
219	не столько	2	2
220	труда и	2	2
221	во времени	1	2
222	даже в	5	2
223	вплоть до	2	2
224	что эта	1	2
225	если в	2	2
226	на него	1	2
227	у этого	1	2
228	к ней	1	2
229	видим что	1	2
