N	4gram	Vygotskiy__2	Myshleni
1	с этой точки зрения	1	4
2	заключается в том что	7	4
3	одно и то же	1	3
4	в том что он	3	2
5	точно так же как	2	2
6	приводит к тому что	1	2
7	представление о том что	2	2
8	в то время как	2	2
9	для того чтобы сделать	1	2
10	одной и той же	4	2
11	все больше и больше	1	2
12	в том что она	3	2
13	то же самое что	2	2
14	до сих пор ни	1	1
15	не только ничего не	1	1
16	что с этой точки	1	1
17	и не может быть	1	1
18	есть не что иное	1	1
19	до тех пор пока	1	1
20	для того чтобы показать	2	1
21	мы примем во внимание	1	1
22	в том что в	2	1
23	случае не может быть	1	1
24	не что иное как	1	1
25	друг с другом и	1	1
26	в силу того что	1	1
27	привело к тому что	1	1
28	мы вправе были бы	1	1
29	же самое что и	2	1
30	том и заключается что	1	1
31	если мы примем во	1	1
32	само по себе но	1	1
33	потому что все это	1	1
34	так же как и	1	1
35	в том и заключается	2	1
36	так и во всех	1	1
37	том что он не	1	1
