N	2gram	Voloshinov_1	SlovoVZh
1	не может	12	16
2	может быть	13	14
3	точки зрения	10	14
4	как бы	28	13
5	и его	7	13
6	таким образом	7	12
7	и в	38	12
8	в нашем	5	11
9	и не	14	10
10	если бы	4	9
11	так как	7	9
12	прежде всего	21	8
13	художественного произведения	1	7
14	сказать что	3	7
15	для нас	3	7
16	в ней	8	6
17	в том	2	6
18	только в	6	6
19	при этом	9	6
20	с помощью	6	6
21	в нем	4	6
22	слова и	5	6
23	все время	5	6
24	в процессе	6	6
25	то же	14	5
26	в виду	3	5
27	можно сказать	4	5
28	мы ни	3	5
29	отнюдь не	10	5
30	как в	2	5
31	но в	5	5
32	в жизни	2	5
33	а не	6	5
34	как и	10	5
35	что мы	11	5
36	и следовательно	5	5
37	том что	3	5
38	никогда не	7	5
39	хотя бы	18	5
40	то что	8	5
41	мы все	1	4
42	на самом	3	4
43	и интонация	1	4
44	зависимости от	5	4
45	социального общения	14	4
46	к нему	2	4
47	за пределы	1	4
48	в литературе	1	4
49	в этом	10	4
50	все же	7	4
51	жизненное высказывание	2	4
52	в самом	4	4
53	уже не	4	4
54	не только	27	4
55	отношение к	2	4
56	свое выражение	2	4
57	от того	3	4
58	так и	6	4
59	материала и	1	4
60	с другой	1	4
61	высказывания как	3	4
62	не в	6	4
63	его в	4	4
64	и является	5	4
65	и к	4	4
66	жизни и	3	4
67	и на	6	4
68	здесь не	2	3
69	самом деле	4	3
70	жизненной речи	2	3
71	в котором	3	3
72	ведь и	2	3
73	ясно что	2	3
74	еще не	3	3
75	мы не	9	3
76	и вообще	2	3
77	социальной группы	3	3
78	о том	4	3
79	но и	13	3
80	между тем	3	3
81	нуждается в	2	3
82	того что	4	3
83	в художественном	1	3
84	когда он	1	3
85	и наконец	5	3
86	все эти	2	3
87	только на	3	3
88	конечно не	3	3
89	в себе	9	3
90	слово в	2	3
91	да и	4	3
92	для него	3	3
93	он должен	3	3
94	не к	3	3
95	внутренней речи	18	3
96	и с	5	3
97	точек зрения	4	3
98	до сих	1	3
99	ни в	1	3
100	и пр	4	3
101	жизненного высказывания	4	3
102	и уже	3	3
103	в своей	2	3
104	художественного творчества	5	3
105	так же	4	3
106	тем не	1	3
107	как к	1	3
108	по себе	1	3
109	произведения и	1	3
110	художественное произведение	1	3
111	сих пор	2	3
112	не менее	1	3
113	все это	4	3
114	но для	3	3
115	и проч	1	3
116	и для	3	3
117	бы мы	3	3
118	сколько бы	1	3
119	это как	1	3
120	находит свое	2	3
121	так называемой	4	3
122	с ним	2	3
123	или не	1	3
124	в каком	2	3
125	как не	2	2
126	и то	3	2
127	как это	5	2
128	в себя	1	2
129	и самое	1	2
130	те же	4	2
131	вещи и	1	2
132	не отражает	1	2
133	со всех	2	2
134	мы имеем	2	2
135	не сможем	1	2
136	в словесном	1	2
137	в материале	2	2
138	мы в	3	2
139	слушателя и	1	2
140	и здесь	3	2
141	не остается	1	2
142	и та	1	2
143	с его	7	2
144	но мы	2	2
145	и что	1	2
146	между собой	2	2
147	ней как	1	2
148	оценок и	1	2
149	в чем	1	2
150	жизни если	1	2
151	той социальной	2	2
152	тем как	1	2
153	в его	6	2
154	что и	3	2
155	в форме	6	2
156	этого общения	1	2
157	относится к	2	2
158	нашего сознания	2	2
159	социальная группа	1	2
160	независимо от	5	2
161	в своем	1	2
162	кроме того	2	2
163	социальной среды	1	2
164	интонации но	1	2
165	как уже	2	2
166	дело с	1	2
167	в какой	2	2
168	словом и	3	2
169	и потому	2	2
170	что слово	1	2
171	и так	6	2
172	согласие или	1	2
173	сливается с	1	2
174	бы не	2	2
175	какой степени	1	2
176	выражение в	3	2
177	из общей	1	2
178	уже в	5	2
179	тому же	2	2
180	и те	1	2
181	имеем в	1	2
182	слово это	2	2
183	в душе	2	2
184	он не	2	2
185	определяет и	1	2
186	перестает быть	1	2
187	не так	3	2
188	допустим что	2	2
189	или события	1	2
190	в зависимости	5	2
191	мы можем	7	2
192	но что	3	2
193	общей для	1	2
194	общения и	4	2
195	и оценки	1	2
196	одно и	4	2
197	но все	4	2
198	социальной средой	1	2
199	в особенности	1	2
200	конечно в	1	2
201	на все	1	2
202	влияние на	4	2
203	рождается из	1	2
204	с другими	2	2
205	это не	3	2
206	может стать	2	2
207	мы никогда	5	2
208	и дает	1	2
209	как же	1	2
210	высказывание как	2	2
211	сущность слова	1	2
212	социальной жизни	2	2
213	соприкасается с	1	2
214	зависит от	2	2
215	другой стороны	1	2
216	его как	1	2
217	выбор слова	1	2
218	была бы	1	2
219	там где	1	2
220	и слово	3	2
221	в комнате	1	2
222	связь с	2	2
223	нет ничего	2	2
224	ни на	3	2
225	вместе с	5	2
226	в отношении	2	2
227	говорящего но	1	2
228	общения не	2	2
229	но не	2	2
230	форма высказывания	3	2
231	место в	2	2
232	высказывания с	3	2
233	несравненно более	1	2
234	точку зрения	3	2
235	высказывания и	3	2
236	речи в	1	2
237	вместе со	1	2
238	с этой	1	2
239	она не	1	2
240	еще раз	1	2
241	на один	1	2
242	с точки	5	2
243	в основном	1	2
244	это социальное	1	2
245	высказывания так	1	2
246	тогда когда	1	2
247	в то	9	2
248	на него	4	2
249	слова но	3	2
250	высказывание может	1	2
251	его социальной	1	2
252	ничего не	8	2
253	а к	2	2
254	или несогласие	1	2
255	и все	4	2
