N	2gram	Bakhtin_Fr_8	IolandNe
1	и с	8	3
2	и не	9	2
3	в этом	14	2
4	он не	5	2
5	что в	5	2
6	бы что	1	2
7	себя в	1	1
8	все это	8	1
9	автора и	1	1
10	и др	8	1
11	все четыре	1	1
12	и в	56	1
13	и о	3	1
14	у всех	2	1
15	в эту	2	1
16	с жизнью	1	1
17	бы в	3	1
18	того же	1	1
19	жил в	1	1
20	значительной мере	1	1
21	и со	1	1
22	было не	1	1
23	с другой	2	1
24	и та	1	1
25	это было	1	1
26	а в	2	1
27	того что	1	1
28	после смерти	1	1
29	это был	1	1
30	в киеве	2	1
31	на котором	2	1
32	а с	1	1
33	другой стороны	2	1
34	и чрезвычайно	2	1
35	утверждает что	1	1
36	в огороде	1	1
37	и еще	2	1
38	не чужд	1	1
39	сам писатель	1	1
40	для него	2	1
41	в половом	1	1
42	а также	3	1
43	в основе	4	1
44	что для	3	1
45	в значительной	2	1
46	понятий и	1	1
47	и сам	2	1
48	половом отношении	1	1
49	отношению к	1	1
50	так и	13	1
51	дает и	1	1
52	он с	1	1
53	того чтобы	4	1
54	во многом	2	1
55	никогда не	5	1
56	его личности	1	1
57	огороде бузина	1	1
58	и серьезно	1	1
59	жизни и	1	1
60	эпизод с	2	1
61	для других	1	1
62	тем что	1	1
63	по поводу	1	1
64	бузина а	1	1
65	по отношению	1	1
66	и гоголь	1	1
67	отец писателя	1	1
68	в них	11	1
69	все эти	15	1
70	но когда	1	1
71	что роман	1	1
72	носит имя	1	1
73	со всеми	1	1
74	если бы	2	1
75	для того	2	1
