N	3gram	Berdyaev_M_1	formyVre
1	и т п	1	8
2	для того чтобы	2	5
3	по отношению к	2	3
4	до сих пор	2	3
5	в нем не	2	3
6	не может быть	17	3
7	между этими двумя	1	3
8	в то время	2	3
9	образ человека в	1	3
10	в самом человеке	1	3
11	в отличие от	1	2
12	но и в	4	2
13	в центре его	2	2
14	вместе с тем	5	2
15	жизни и в	1	2
16	и у него	1	2
17	то время как	2	2
18	не только в	2	2
19	может быть и	1	2
20	по сравнению с	1	2
21	по природе своей	1	2
22	друг к другу	1	2
23	в нем нет	1	2
24	в нем все	1	2
25	в том что	1	2
26	все в нем	1	1
27	на том что	1	1
28	с чем не	1	1
29	а вовсе не	1	1
30	прежде всего в	2	1
31	жизнь в ней	1	1
32	имеем в виду	1	1
33	в самом деле	1	1
34	человек а не	1	1
35	и его судьбе	5	1
36	потому что не	1	1
37	мира может быть	1	1
38	они не могут	1	1
39	человек может быть	1	1
40	в зависимости от	1	1
41	человеческого образа в	1	1
42	в себе и	1	1
43	начале xx века	1	1
44	но он не	2	1
45	с тем что	3	1
46	возможно лишь в	1	1
47	он ни был	1	1
48	и ничего не	1	1
49	смысле слова он	1	1
50	у него нет	1	1
51	в значительной степени	1	1
52	его судьбы в	1	1
53	но она не	1	1
54	и исторического процесса	1	1
55	самого человека и	1	1
56	не могут быть	2	1
57	но в нем	1	1
58	в этот момент	1	1
59	в разных местах	1	1
60	в самой жизни	1	1
61	все более и	1	1
62	во всяком случае	1	1
63	он не знает	2	1
64	и речи о	1	1
65	и в самой	1	1
66	нет в самом	1	1
67	когда мы говорим	1	1
68	и в том	1	1
69	человек в этом	1	1
70	бросается в глаза	1	1
71	во всех этих	1	1
72	нем нет ничего	1	1
73	имел в виду	1	1
74	быть и речи	1	1
75	всего того что	1	1
76	на протяжении всего	1	1
77	о том что	1	1
78	есть одно из	1	1
79	и в самом	3	1
80	ни с чем	1	1
81	более и более	1	1
82	раскрывается не в	1	1
83	в него как	1	1
84	мы имеем в	1	1
85	так же мало	1	1
86	бы он ни	1	1
87	и ту же	1	1
88	отличает его от	1	1
89	в них не	1	1
90	все это не	1	1
91	в высшей степени	2	1
92	один из самых	4	1
93	в человека но	1	1
94	про себя а	1	1
95	одну и ту	1	1
