N	3gram	Tiupa_Hudo_1	DiskursI
1	в том что	7	13
2	по отношению к	9	9
3	с одной стороны	2	9
4	тогда как в	1	5
5	о том что	1	5
6	в отличие от	7	4
7	то же время	5	4
8	к тому же	1	4
9	о блудном сыне	1	4
10	предметом целью и	1	3
11	и ситуацией высказывания	1	3
12	по своей коммуникативной	1	3
13	а с другой	2	3
14	определяется предметом целью	1	3
15	той или иной	4	3
16	не может быть	3	3
17	в свою очередь	2	3
18	с другой стороны	5	3
19	в то же	5	3
20	целью и ситуацией	1	3
21	по своей природе	2	2
22	в е годы	1	2
23	в первом значении	1	2
24	мы имеем дело	2	2
25	и того же	2	2
26	подобно тому как	1	2
27	в том числе	2	2
28	в соответствии с	1	2
29	то же самое	1	2
30	а в том	1	2
31	картина мира которая	1	2
32	в одной из	1	2
33	тот или иной	2	2
34	значении этого термина	2	2
35	самом общем виде	1	2
36	в самом общем	1	2
37	том числе и	1	2
38	в основе своей	1	2
39	по крайней мере	1	2
40	в значительной степени	1	2
41	прибавить ни убавить	1	2
42	по сути своей	2	2
43	не сводится к	5	2
44	очередь определяется предметом	1	2
45	и в форме	2	2
46	состоит в том	5	2
47	не более чем	1	2
48	едва ли не	1	2
49	ни прибавить ни	1	2
50	в частности в	1	2
51	более или менее	5	2
52	индивидуального речевого замысла	2	2
53	по сути дела	1	2
54	можно сказать что	3	2
55	одного и того	2	2
56	в силу своей	1	2
57	свою очередь определяется	1	2
58	нейтральное к языку	1	1
59	в этом случае	1	1
60	только раскрывают содержание	1	1
61	в нем определенные	1	1
62	раскрывают содержание судьбы	1	1
63	и потому нейтральное	1	1
64	являет собой лишь	1	1
65	существенно связаны с	1	1
66	в форме определенной	1	1
67	известного рода взаимная	1	1
68	по своим коммуникативным	1	1
69	потому нейтральное к	1	1
70	мира которая своей	1	1
71	в качестве текстовой	1	1
72	отделен от своей	1	1
73	жанровой схемы и	1	1
74	субъекта объекта и	1	1
75	нами не как	1	1
76	в хх веке	1	1
77	как ценностного центра	1	1
78	прежде всего в	1	1
79	говорит и кому	1	1
80	перед ним определенные	1	1
81	мира в притче	1	1
82	но как субъекты	1	1
83	отношении к предмету	1	1
84	представляет собой исторически	1	1
85	притче о блудном	1	1
86	мы строим свою	1	1
87	формах внутренней речи	1	1
88	языком ставят перед	1	1
89	в этом смысле	3	1
90	судьба выражает внеличную	1	1
91	может быть признано	1	1
92	жанр в свою	1	1
93	в их отношении	1	1
94	значении этого слова	2	1
95	причастной вненаходимости бахтин	2	1
96	выготским и н.и	1	1
97	своей природе суть	1	1
98	непреложный и неоспоримый	1	1
99	смысле можно говорить	1	1
100	высказывания в их	1	1
101	не как объекты	1	1
102	в форме индивидуального	1	1
103	с точки зрения	3	1
104	к предмету речи	1	1
105	не было и	1	1
106	судьбой предопределенной ему	1	1
107	творится окказиональная случайностная	1	1
108	том случае если	1	1
109	и в то	1	1
110	когда мы строим	1	1
111	выбора осуществляется или	1	1
112	своей коммуникативной природе	1	1
113	сочинение литературного произведения	1	1
114	уготованной ему позиции	1	1
115	что он не	1	1
116	мира вокруг я	1	1
117	и кому говорят	1	1
118	некий нравственный закон	1	1
119	для производящего текст	1	1
120	имеем дело не	1	1
121	нравственный закон собственно	1	1
122	только то что	1	1
