N	2gram	Berdyaev_N_1	KulturaY
1	в том	8	30
2	и в	16	24
3	потому что	4	23
4	том что	2	21
5	что в	9	17
6	того чтобы	2	17
7	для того	1	16
8	и пр	3	15
9	было бы	1	15
10	в этом	7	14
11	может быть	7	13
12	в его	1	12
13	и не	11	12
14	не в	6	11
15	только в	1	11
16	хотя бы	2	10
17	у нас	1	10
18	в силу	1	10
19	в самом	1	10
20	не только	5	10
21	прежде всего	4	9
22	то что	4	9
23	так как	1	9
24	о том	4	9
25	тем что	1	8
26	уже не	2	8
27	а не	17	8
28	том чтобы	2	8
29	не может	16	7
30	вместе с	2	7
31	в области	1	7
32	это не	4	7
33	в них	4	7
34	с другой	3	7
35	так и	2	7
36	не менее	4	7
37	все эти	2	6
38	в которой	1	6
39	все это	5	6
40	но и	3	6
41	зависимости от	1	6
42	что такое	3	6
43	другой стороны	2	6
44	только потому	1	6
45	можно было	2	6
46	не случайно	1	6
47	в ней	5	6
48	что он	1	6
49	и с	2	5
50	во всяком	1	5
51	и его	1	5
52	с ним	1	5
53	а в	2	5
54	еще не	3	5
55	но не	2	5
56	в той	1	5
57	что не	1	5
58	к тому	3	5
59	всяком случае	1	5
60	xix века	5	5
61	в виду	1	5
62	в зависимости	1	5
63	с тем	3	5
64	и что	2	5
65	есть в	2	4
66	не есть	3	4
67	того же	1	4
68	в русском	2	4
69	сих пор	1	4
70	в нем	5	4
71	переход от	1	4
72	в этих	1	4
73	до сих	1	4
74	как в	3	4
75	из этих	1	4
76	это и	2	4
77	не на	1	4
78	с этим	2	4
79	и потому	4	4
80	так же	2	4
81	и на	2	4
82	роль в	2	4
83	с его	6	4
84	должен быть	5	4
85	по существу	2	4
86	к себе	1	4
87	из них	1	4
88	в себе	2	3
89	можно сказать	1	3
90	для этого	2	3
91	а это	1	3
92	как на	1	3
93	потребность в	1	3
94	не было	4	3
95	должна быть	3	3
96	нуждается в	1	3
97	есть лишь	4	3
98	этом смысле	2	3
99	к которому	1	3
100	как это	2	3
101	с большим	1	3
102	не имеют	2	3
103	не с	1	3
104	они не	1	3
105	связано с	1	3
106	в сущности	1	3
107	он есть	1	3
108	в истории	3	3
109	должно быть	4	3
110	оно не	1	3
111	и даже	2	3
112	хотя и	2	3
113	то это	1	3
114	с их	2	3
115	в котором	1	3
116	в этой	1	3
117	в духе	3	3
118	борьба за	1	3
119	что она	2	3
120	на себя	1	3
121	уже в	1	3
122	в своем	1	3
123	в свою	1	3
124	и того	1	2
125	что его	1	2
126	этого не	1	2
127	должны быть	1	2
128	и а	1	2
129	как и	7	2
130	от этого	1	2
131	мы говорим	2	2
132	в состоянии	1	2
133	в более	1	2
134	и для	4	2
135	это есть	7	2
136	для них	1	2
137	и все	4	2
138	был в	1	2
139	имеют уже	1	2
140	когда мы	2	2
141	к жизни	3	2
142	в большинстве	1	2
143	он не	8	2
144	в своей	3	2
145	по себе	1	2
146	а на	1	2
147	социальной жизни	1	2
148	в это	1	2
149	но все	1	2
150	том и	2	2
151	одного и	1	2
152	превращается в	1	2
153	свидетельствует о	1	2
154	уступить место	1	2
155	вопрос о	3	2
156	и более	1	2
157	значение и	1	2
158	но если	1	2
159	никогда не	6	2
160	смысле и	1	2
161	в смысле	2	2
162	в силах	1	2
163	лишь в	6	2
164	и мы	4	2
165	в то	2	2
166	конечно не	3	2
167	во все	1	2
168	ни в	6	2
169	и еще	1	2
170	не имеет	4	2
171	и мысли	1	2
172	не столько	1	2
173	но ведь	1	2
174	это было	3	2
175	что все	2	2
176	же и	1	2
177	думаю что	1	2
178	как например	1	2
179	а во-вторых	1	2
180	не всегда	1	2
181	духовной культуры	1	2
182	по преимуществу	1	2
183	не могут	1	2
184	ли это	2	2
185	но в	2	2
186	я не	2	2
187	в каком	1	2
188	и есть	10	2
189	и должно	2	2
190	как я	1	2
191	быть в	2	2
192	себе и	1	2
193	и было	2	2
194	чтобы быть	1	2
195	но также	1	2
196	может иметь	1	2
197	самый процесс	2	1
198	и общества	2	1
199	и развивается	1	1
200	и этот	1	1
201	не значит	3	1
202	не знает	6	1
203	бы он	1	1
204	еще до	2	1
205	наше время	4	1
206	и вместе	1	1
