N	2gram	Bakhtin_sl_1	Mirosoze
1	и в	41	46
2	в нем	30	22
3	у него	3	22
4	может быть	14	21
5	в этом	12	20
6	не только	16	18
7	и не	16	18
8	никогда не	3	18
9	для него	3	18
10	но и	16	15
11	не может	14	15
12	человека в	1	14
13	как и	4	13
14	а не	15	13
15	не есть	2	13
16	друг друга	3	12
17	прежде всего	8	12
18	потому что	2	12
19	и он	1	11
20	не было	3	11
21	но он	2	11
22	в ней	4	11
23	у нас	2	11
24	но в	8	10
25	та же	1	10
26	в себе	3	10
27	он не	3	10
28	он был	1	9
29	не в	7	9
30	не знает	1	9
31	и есть	1	8
32	отношение к	7	8
33	в своем	3	8
34	так как	3	8
35	она не	3	8
36	переходит в	3	8
37	как бы	12	8
38	но это	1	8
39	связана с	2	7
40	как в	8	7
41	и к	5	7
42	в этой	1	7
43	хотя бы	3	7
44	и потому	4	7
45	и для	4	7
46	там и	1	6
47	в бесах	1	6
48	и здесь	3	6
49	жизнь в	2	6
50	так же	2	6
51	того что	3	6
52	и там	3	6
53	жизни и	1	6
54	по преимуществу	4	5
55	то же	14	5
56	есть не	1	5
57	в самом	5	5
58	бы и	3	5
59	что она	1	5
60	что все	2	5
61	в своей	7	5
62	в отношении	6	5
63	во всем	1	5
64	и его	14	5
65	к тому	3	5
66	и это	1	5
67	те же	2	5
68	это не	6	5
69	один из	4	5
70	в его	13	5
71	него нет	1	5
72	для того	2	5
73	образ и	1	5
74	и все	4	5
75	в духе	2	5
76	также и	3	4
77	с его	4	4
78	у них	2	4
79	его на	1	4
80	чем у	1	4
81	в жизни	1	4
82	том что	2	4
83	жизнь и	1	4
84	его отношение	1	4
85	тому что	2	4
86	того чтобы	1	4
87	только и	1	4
88	должен быть	1	4
89	так и	11	4
90	для этого	1	4
91	бы друг	1	4
92	себя в	9	4
93	уже не	2	4
94	что и	1	4
95	в свою	3	4
96	они не	1	4
97	до конца	12	4
98	есть уже	1	4
99	все что	1	4
100	смысле слова	2	3
101	же как	2	3
102	чтобы не	1	3
103	к другому	1	3
104	той же	2	3
105	они были	2	3
106	начала в	1	3
107	и на	14	3
108	менее всего	1	3
109	он в	5	3
110	и она	1	3
111	не бывает	1	3
112	в каждом	4	3
113	и с	4	3
114	на все	2	3
115	его в	3	3
116	на почве	4	3
117	ни в	1	3
118	в них	6	3
119	что всякий	1	3
120	по своей	1	3
121	людей и	1	3
122	его он	1	3
123	только с	1	3
124	себя и	1	3
125	момент в	1	3
126	если бы	1	3
127	с ним	7	3
128	о том	3	3
129	и во	3	3
130	что они	2	3
131	в том	3	3
132	только в	6	3
133	есть в	1	3
134	от того	1	3
135	до сих	2	3
136	с которым	2	3
137	нет ничего	1	3
138	и нет	1	3
139	сих пор	2	3
140	и от	4	3
141	лишь как	3	3
142	отношении к	6	3
143	на смену	1	3
144	сказать что	2	3
145	есть и	1	3
146	те которые	1	3
147	в обычном	1	2
148	от этой	2	2
149	не имеют	1	2
150	с таким	1	2
151	его не	1	2
152	но она	1	2
153	совсем иное	1	2
154	который может	1	2
155	не от	1	2
156	не был	1	2
157	во всех	17	2
158	как к	2	2
159	хотя и	2	2
160	в действительности	1	2
161	от этого	2	2
162	то в	2	2
163	и этим	3	2
164	в которой	4	2
165	момент его	3	2
166	бы не	1	2
167	и тот	1	2
168	и те	2	2
169	и если	1	2
170	на его	8	2
171	не к	1	2
172	одной и	1	2
173	на этом	2	2
174	еще более	5	2
175	лишь в	4	2
176	в единую	1	2
177	чем в	1	2
178	должно быть	2	2
179	в этих	2	2
180	точки зрения	16	2
181	место в	1	2
182	от его	3	2
183	и той	2	2
184	мир и	1	2
185	которые в	3	2
186	есть еще	1	2
187	сам он	1	2
188	в атмосфере	2	2
189	правда в	1	2
190	ничего не	4	2
191	связи с	2	2
192	в основе	5	2
193	всегда есть	1	2
194	которая есть	1	2
195	оно не	6	2
196	свои силы	1	2
197	можно было	2	2
198	в разных	3	2
199	через этот	1	2
200	и что	1	2
201	в сущности	13	2
202	нас в	2	2
203	к нему	5	2
204	все время	3	2
205	такой человек	1	2
206	своих и	1	2
207	но с	1	2
208	мы видим	2	2
209	тот же	1	2
210	бы его	2	2
211	а лишь	1	2
212	между тем	2	2
213	одни и	1	2
214	так что	2	2
215	же и	2	2
216	со своим	5	2
217	и других	3	2
218	и мир	5	2
219	или иной	9	2
220	как у	1	2
221	интерес к	2	2
222	уходит в	1	2
223	что не	1	2
224	свою правду	1	2
225	личности и	1	2
226	вместе с	1	2
227	к своему	6	2
228	такого рода	2	2
229	да и	1	2
230	в более	1	2
231	его с	1	2
232	и самое	2	2
233	бы в	1	2
234	быть и	4	2
235	а в	6	2
236	отношением к	1	2
237	и эта	2	2
238	к полному	1	1
239	и то	2	1
240	он может	2	1
241	своей основной	1	1
242	бы для	1	1
243	из самых	1	1
244	в мыслях	1	1
245	почти всегда	3	1
246	ведь и	1	1
247	в германии	1	1
248	очень далеко	1	1
249	мы не	2	1
250	но по	2	1
251	это отношение	2	1
252	и ее	3	1
253	на мир	4	1
254	этим не	1	1
255	а следовательно	1	1
256	есть своя	1	1
257	не все	1	1
258	в новом	1	1
259	ромео и	1	1
260	друга и	1	1
261	нет и	1	1
262	в свои	1	1
263	за пределы	4	1
264	человек может	1	1
265	которые не	1	1
266	с этим	3	1
267	мира в	1	1
268	исключительный интерес	1	1
269	сознания в	1	1
270	могли бы	1	1
271	выпадают из	1	1
272	их они	1	1
273	его к	1	1
274	вносит в	2	1
275	явления и	1	1
276	в целом	2	1
277	все эти	9	1
278	или во	2	1
279	только один	1	1
280	чем его	1	1
281	на то	1	1
282	и другим	2	1
283	перестает быть	2	1
284	они в	2	1
285	он должен	1	1
286	ведь не	1	1
287	у толстого	4	1
288	в плане	6	1
289	всех своих	2	1
290	значительной степени	1	1
291	совпадают с	1	1
292	же не	1	1
293	жизни поэтому	3	1
294	сознание и	1	1
295	в другом	2	1
296	входит в	4	1
297	на протяжении	2	1
298	было бы	3	1
299	к миру	1	1
300	и тем	2	1
301	от всякой	3	1
302	в социальном	1	1
303	его образа	1	1
304	что совершенно	1	1
305	всецело в	1	1
306	этого не	1	1
307	ибо он	2	1
308	и уже	1	1
309	человек имеет	1	1
310	и становится	1	1
311	но если	1	1
312	привело к	1	1
313	от своего	1	1
314	как все	1	1
315	и без	1	1
316	может казаться	2	1
317	в котором	2	1
318	с точки	8	1
319	к одному	1	1
320	степени не	1	1
321	прибегает к	1	1
322	в которых	1	1
323	он весь	2	1
324	одном из	1	1
325	и более	1	1
326	и форм	2	1
327	в самых	2	1
328	во всякой	1	1
329	к такому	1	1
330	для всего	1	1
331	следовательно и	3	1
332	и культурной	1	1
333	нее нет	1	1
334	на одной	1	1
335	в сознании	2	1
336	того же	6	1
337	в нее	1	1
338	к единому	2	1
339	полное и	1	1
340	не могут	3	1
341	и часто	4	1
342	своей книге	1	1
343	лежит в	4	1
344	за его	1	1
345	отличается от	1	1
346	он видит	1	1
347	он никогда	1	1
348	его есть	1	1
349	и единственный	3	1
350	в ее	2	1
351	в пределах	14	1
352	приводит к	1	1
353	роль в	2	1
354	дано в	1	1
355	и сам	3	1
356	не нарушать	1	1
357	вещи и	1	1
358	не с	2	1
359	стороне от	1	1
360	но у	1	1
361	сама она	1	1
362	оценок и	4	1
363	связанная с	1	1
364	находится в	1	1
365	именно потому	1	1
366	а также	2	1
367	в самой	1	1
368	она всегда	1	1
369	может не	8	1
370	можно встретить	1	1
371	в значительной	1	1
372	до известной	2	1
373	не выходит	3	1
374	во втором	1	1
375	ибо и	1	1
376	показывает как	1	1
377	и только	1	1
378	наконец в	2	1
379	нем и	3	1
380	слова для	2	1
381	к концу	1	1
382	вне себя	3	1
383	которым он	1	1
384	которых они	1	1
385	ли он	4	1
386	в какой	1	1
387	сознание в	1	1
388	в стороне	1	1
389	всех его	7	1
390	бы ни	3	1
391	со всеми	1	1
392	и у	2	1
393	и они	1	1
394	а напротив	1	1
395	чем они	1	1
396	и чисто	3	1
397	не принимает	1	1
398	не из	2	1
399	не дает	1	1
400	его и	3	1
401	был бы	2	1
402	а потому	1	1
403	у нее	1	1
404	для них	2	1
405	но что	1	1
406	дело и	1	1
407	этом отношении	1	1
408	протяжении всего	1	1
409	котором в	1	1
410	но вся	1	1
411	не были	3	1
412	с другой	5	1
413	лишь те	1	1
414	в высшем	1	1
415	и прежде	1	1
416	нельзя отождествлять	1	1
417	а с	2	1
418	же о	1	1
419	на которые	2	1
420	своего собственного	1	1
421	он считал	1	1
422	органическая часть	1	1
423	еще от	1	1
424	на смерть	1	1
425	о чем	1	1
426	на эту	1	1
427	к высшему	1	1
428	от всех	1	1
429	знает только	2	1
430	и ему	1	1
431	так поступали	1	1
432	связь с	2	1
433	он принимает	1	1
434	на самом	2	1
435	в меру	1	1
436	природу поэтому	1	1
437	по своему	2	1
438	в романах	2	1
439	в той	10	1
440	а между	2	1
441	слова он	1	1
442	и борьба	1	1
443	и двух	1	1
444	него есть	1	1
