N	3gram	Trubetskoy_1	OGranits
1	с точки зрения	6	5
2	не может быть	1	4
3	по отношению к	1	3
4	в самом деле	1	2
5	в данном случае	1	2
6	с одной стороны	7	2
7	с другой стороны	1	2
8	ничего общего с	2	2
9	с самого начала	2	2
10	в том что	3	2
11	один и тот	1	1
12	что в этом	1	1
13	этой точки зрения	2	1
14	иметь в виду	1	1
15	более или менее	5	1
16	в которых он	1	1
17	с одним из	2	1
18	говорить не приходится	1	1
19	то же самое	2	1
20	но далеко не	1	1
21	во всей своей	1	1
22	в отличие от	1	1
23	только то что	1	1
24	в этом отношении	2	1
25	может быть и	2	1
26	в значительной мере	2	1
27	с этой точки	2	1
28	и в индии	1	1
29	то или иное	2	1
30	для того чтобы	5	1
31	так же как	3	1
32	и тот же	1	1
33	состоит в том	1	1
34	тем не менее	3	1
35	и вместе с	4	1
36	все же есть	1	1
37	в связи с	3	1
38	а не как	1	1
39	чуть ли не	1	1
40	то же время	2	1
41	то не только	1	1
42	но тем не	1	1
43	и никогда не	1	1
44	и превращается в	1	1
45	с телом и	1	1
46	но в то	1	1
47	несмотря на все	1	1
48	на то что	2	1
49	в то же	2	1
50	от тела и	1	1
