N	3gram	Propp_Morf_1	FransuaR
1	до сих пор	1	8
2	в большинстве случаев	3	6
3	в том что	3	6
4	как и в	2	4
5	в настоящее время	3	3
6	в связи с	8	3
7	более или менее	2	2
8	с точки зрения	2	2
9	бы то ни	3	2
10	в данном случае	1	2
11	с одной стороны	1	2
12	в то время	3	2
13	о том что	1	2
14	в этих условиях	1	2
15	можно сказать что	1	2
16	с другой стороны	4	2
17	мы видим что	9	2
18	для того чтобы	2	2
19	не может быть	9	2
20	таким образом что	1	1
21	на его могиле	3	1
22	это уже не	1	1
23	мы видим таким	1	1
24	в чем же	1	1
25	о котором говорит	1	1
26	потому что в	1	1
27	а также и	3	1
28	здесь перед нами	1	1
29	по отношению к	4	1
30	и по-видимому не	1	1
31	здесь мы находим	1	1
32	на самом деле	4	1
33	к началу и	2	1
34	подобно тому как	5	1
35	и там где	1	1
36	но и другие	1	1
37	до известной степени	1	1
38	в таких случаях	2	1
39	мы переходим к	1	1
40	так как его	1	1
41	они вступают в	1	1
42	в этом отношении	1	1
43	между собою мы	1	1
44	может быть и	2	1
45	в наши дни	1	1
46	и в других	1	1
47	другу и к	2	1
48	о том как	1	1
49	положительной или отрицательной	1	1
50	в ход действия	1	1
51	не потому что	1	1
52	то ни было	2	1
53	состоит в том	2	1
54	обстоит дело с	1	1
55	в том или	1	1
56	друг к другу	2	1
57	вместо того чтобы	1	1
58	до наших дней	2	1
59	под углом зрения	1	1
60	к другу и	2	1
61	мы не можем	1	1
62	мы не будем	2	1
63	с самого начала	1	1
64	видим таким образом	1	1
65	после того как	1	1
66	иначе чем это	1	1
67	друг за другом	2	1
68	друг с другом	1	1
