N	3gram	Bakhtin_Pr_3	Stilisti
1	в то же	5	9
2	в зависимости от	2	7
3	то же время	5	7
4	с точки зрения	2	5
5	прежде всего в	1	4
6	то же самое	1	4
7	с самого начала	3	4
8	той или иной	1	4
9	в той же	1	3
10	но и в	1	3
11	в конце концов	1	3
12	и тем самым	1	3
13	как мы уже	3	3
14	и т.п и	1	3
15	в так называемой	1	2
16	или хотя бы	1	2
17	и той же	1	2
18	равно как и	1	2
19	и в то	2	2
20	в этом отношении	1	2
21	и для того	1	2
22	но в то	1	2
23	смысле этого слова	1	2
24	но при этом	1	2
25	и на его	2	2
26	не может быть	1	2
27	есть не что	1	2
28	не что иное	1	2
29	о том что	2	2
30	что иное как	1	2
31	можно сказать что	4	2
32	в связи с	1	2
33	мы видим что	1	2
34	одной и той	1	2
35	тех или иных	1	2
36	все то что	2	2
37	мы видели что	2	2
38	и тому же	2	1
39	до наших дней	3	1
40	через нее и	1	1
41	нет и не	1	1
42	все еще не	1	1
43	по отношению к	1	1
44	более или менее	3	1
45	мы должны перейти	1	1
46	в нем и	1	1
47	в дальнейшем мы	1	1
48	о которой мы	1	1
49	до сих пор	5	1
50	и во всех	3	1
51	из них в	2	1
52	как бы из	1	1
53	то что именно	1	1
54	одна из многочисленных	1	1
55	в собственном смысле	2	1
56	можно было бы	1	1
57	с нашей точки	1	1
58	человека с человеком	1	1
59	по крайней мере	1	1
60	нужно отметить что	1	1
61	жизни и в	1	1
62	влияние на развитие	1	1
63	в большинстве случаев	4	1
64	еще раз что	2	1
65	мы наблюдаем в	1	1
66	к одной и	1	1
67	на площади в	1	1
68	ни на один	1	1
69	остановимся только на	1	1
70	теперь мы можем	2	1
71	или если б	1	1
72	по сравнению с	4	1
73	тем не менее	2	1
74	дальнейшем мы будем	1	1
75	чтобы убедиться в	1	1
76	так и от	1	1
77	как бы по	1	1
78	мы будем называть	1	1
79	особенно такие как	1	1
80	и кроме того	1	1
81	были связаны с	1	1
82	пространство и время	1	1
83	и никогда не	1	1
84	на этом мы	1	1
85	и не может	1	1
86	и т.п это	2	1
87	нее и на	1	1
88	нашей точки зрения	1	1
89	и тем более	1	1
90	с другой стороны	1	1
91	как мы видим	1	1
92	по внешней форме	1	1
93	мы уже знаем	1	1
94	в том что	3	1
95	именно потому что	1	1
96	как и в	3	1
97	к одному и	2	1
98	одному и тому	2	1
