N	2gram	Vygotskiy__1	Tvorches
1	и в	31	21
2	как бы	5	17
3	в то	5	15
4	то же	5	13
5	в его	6	13
6	как и	16	12
7	то есть	26	12
8	что в	23	12
9	с его	1	11
10	том что	16	11
11	все это	8	10
12	как в	9	8
13	он не	3	8
14	то что	32	8
15	при этом	19	7
16	тем самым	2	7
17	у него	4	7
18	и не	16	7
19	в том	30	7
20	и на	1	7
21	но в	3	7
22	не только	13	7
23	в свою	1	7
24	о том	7	6
25	не менее	2	6
26	и все	5	6
27	а в	6	6
28	жизни в	1	6
29	для него	1	6
30	в этом	12	6
31	в котором	4	6
32	в творчестве	1	6
33	и его	7	6
34	что он	7	6
35	человека в	1	6
36	все же	5	5
37	таким образом	20	5
38	как будто	5	5
39	вовсе не	6	5
40	хотя бы	1	5
41	а не	13	5
42	потому что	10	5
43	отнюдь не	6	5
44	в этой	3	5
45	только в	14	5
46	в своих	4	5
47	может быть	22	5
48	но это	3	5
49	в целом	5	4
50	прежде всего	4	4
51	на эту	1	4
52	та же	3	4
53	в своей	3	4
54	это не	1	4
55	времени и	1	4
56	мысли и	2	4
57	человека и	2	4
58	конечном счете	3	4
59	одной из	1	4
60	своего рода	1	4
61	и от	2	4
62	один из	4	4
63	в мире	1	4
64	из всех	2	4
65	и как	2	4
66	в конечном	3	4
67	не может	17	4
68	в своем	3	4
69	в которой	4	3
70	на его	1	3
71	и с	2	3
72	жизни и	3	3
73	говорит о	2	3
74	так же	12	3
75	с ним	2	3
76	в нем	2	3
77	даже в	2	3
78	это в	2	3
79	что все	3	3
80	не так	1	3
81	и другие	4	3
82	что я	4	3
83	не существует	2	3
84	там же	2	3
85	в их	1	3
86	со всеми	4	3
87	утверждал что	2	3
88	но не	3	3
89	время в	1	3
90	в рассказе	1	3
91	что человек	1	3
92	того что	10	3
93	и т	26	3
94	но если	1	3
95	на самом	2	3
96	но и	2	3
97	и даже	6	3
98	хотя и	3	3
99	и других	3	3
100	соответствии с	1	3
101	дело не	1	3
102	это и	3	3
103	представляет собой	2	3
104	дело в	1	3
105	в книге	2	3
106	той же	3	3
107	уже не	2	3
108	ту же	2	3
109	по мнению	2	3
110	в каждом	3	3
111	вот почему	1	3
112	который в	3	3
113	приходит к	2	3
114	в самом	11	3
115	он говорит	1	3
116	далеко не	2	3
117	представление о	3	3
118	с другой	5	3
119	самого начала	1	3
120	никогда не	8	3
121	я не	1	3
122	и по	3	3
123	в ту	1	3
124	уже в	3	3
125	так как	18	3
