N	3gram	Bakhtin_KF_1	EvropaiC
1	в том что	2	16
2	по отношению к	22	10
3	с точки зрения	9	8
4	на самом деле	3	7
5	на то что	1	7
6	для того чтобы	1	6
7	в том случае	1	4
8	может быть и	1	4
9	не может быть	11	4
10	тем не менее	2	4
11	и того же	1	3
12	не может не	1	3
13	в настоящее время	1	3
14	одного и того	1	3
15	в том же	1	3
16	не подлежит сомнению	1	3
17	и то что	1	3
18	представляют из себя	1	3
19	и может быть	2	2
20	время от времени	1	2
21	лишь при условии	1	2
22	совершенно иной чем	1	2
23	бы то ни	2	2
24	он не может	1	2
25	то же время	2	2
26	несмотря на то	1	2
27	вместе с тем	1	2
28	то ни было	2	2
29	во всяком случае	1	2
30	во всех этих	2	2
31	в свою очередь	1	2
32	в то же	2	2
33	а следовательно и	1	1
34	тогда когда оно	1	1
35	нет и не	1	1
36	никогда не было	1	1
37	о том кто	1	1
38	в целом есть	1	1
39	образом и в	1	1
40	в данный момент	3	1
41	того что в	1	1
42	дело в том	1	1
43	а не в	2	1
44	конечно не стоит	1	1
45	в этом последнем	1	1
46	то же самое	1	1
47	что и для	1	1
48	из него все	1	1
49	только по отношению	2	1
50	только в том	1	1
51	ввиду того что	1	1
52	в лучшем случае	1	1
53	в зависимости от	1	1
54	между тем как	3	1
55	независимо от того	1	1
56	и в ту	1	1
57	различия между отдельными	1	1
58	но все они	1	1
59	жизни и культуры	1	1
60	только в этом	1	1
61	если мы возьмем	1	1
62	это может быть	1	1
63	ее наличности в	1	1
64	в противоречие с	1	1
65	именно в этой	1	1
66	все остальное в	1	1
67	на задний план	1	1
68	в разные стороны	1	1
69	во всех отношениях	2	1
70	не в том	1	1
71	я не могу	1	1
72	вместо того чтобы	1	1
73	и все же	1	1
74	но для того	1	1
75	же самое что	1	1
76	как бы ни	1	1
77	смысле этого слова	1	1
78	все же будет	1	1
79	к которой он	1	1
80	не менее в	1	1
81	отношению к таким	1	1
82	в другом случае	1	1
83	к тому что	1	1
84	и жизни культуры	1	1
85	только тогда когда	1	1
86	как бы он	1	1
