N	3gram	Savitsky_E_1	StatiiOP
1	в том что	6	16
2	в этом отношении	3	9
3	и т д	1	6
4	для того чтобы	5	5
5	к тому что	1	5
6	дело в том	1	4
7	в одном из	2	3
8	с другой стороны	2	3
9	речь идет о	1	3
10	так же как	5	3
11	во всяком случае	3	3
12	в том же	1	2
13	так и в	2	2
14	в отличие от	1	2
15	и в этом	4	2
16	русской истории и	1	2
17	в одной из	1	2
18	с тем что	1	2
19	на то что	2	2
20	к тому же	1	2
21	в значительной степени	1	2
22	более или менее	1	2
23	то что в	2	2
24	с точки зрения	16	2
25	бы то ни	4	2
26	в том смысле	1	2
27	то ни было	4	2
28	на своем пути	1	1
29	во внимание что	1	1
30	том смысле что	1	1
31	заключается в том	2	1
32	по большей части	1	1
33	между тем в	3	1
34	в этом смысле	3	1
35	но в отношении	1	1
36	между прочим и	2	1
37	в том числе	1	1
38	во второй половине	2	1
39	кажется что в	1	1
40	по сравнению с	2	1
41	прежде всего к	2	1
42	то что с	1	1
43	в каком смысле	1	1
44	каждого из них	1	1
45	в известном смысле	3	1
46	бы ни была	1	1
47	что в этом	1	1
48	с другой в	1	1
49	в своей идеологии	1	1
50	т е не	1	1
51	именно в той	1	1
52	в то время	1	1
53	вместо того чтобы	1	1
54	друг к другу	1	1
55	в то же	15	1
56	во многом на	1	1
57	говоря уже о	1	1
58	было связано с	1	1
59	в пределах данной	1	1
60	в связи с	1	1
61	к сожалению не	1	1
62	то же время	14	1
63	но также и	1	1
64	принадлежат к числу	1	1
65	как мы видели	2	1
66	как и другие	1	1
67	мысль о возможности	1	1
68	поскольку речь идет	1	1
69	западной европой и	1	1
70	к участию в	1	1
71	не говоря уже	2	1
72	как бы ни	3	1
73	на этот вопрос	1	1
74	не входя в	1	1
75	что же касается	1	1
76	при помощи которого	1	1
77	не является ли	3	1
78	не исключает возможности	1	1
79	не к тому	1	1
80	в отношении к	12	1
81	в свою очередь	2	1
82	в данном случае	2	1
83	каких бы то	2	1
