N	4gram	Bakhtin_fo_1	slovoVRo
1	в то же время	6	4
2	с одной стороны и	2	3
3	в той или иной	1	3
4	и т п все	1	3
5	но в то же	1	3
6	той или иной степени	1	3
7	до сих пор не	1	2
8	можно прямо сказать что	2	2
9	ни в чем не	2	2
10	и т п но	1	2
11	а также и в	2	1
12	женщины и т п	1	1
13	не для того чтобы	2	1
14	такие типы и разновидности	1	1
15	в том числе и	2	1
16	как мы уже говорили	3	1
17	и в то же	4	1
18	одну и ту же	1	1
19	как мы уже сказали	2	1
20	все это то есть	1	1
21	не только и не	1	1
22	их удельный вес в	1	1
23	эмансипированной женщины и т	1	1
24	до конца не преодолевается	1	1
25	все более и более	1	1
26	же в значительной степени	1	1
27	так и вне его	1	1
28	о которых мы говорили	1	1
29	только и не столько	1	1
30	в основе его лежит	1	1
31	все снова и снова	1	1
32	биологического здоровья и приспособленности	1	1
33	в средние века и	1	1
34	дело не только в	1	1
35	на античной почве мы	1	1
36	в том что в	1	1
37	в xvii и xviii	1	1
38	и т п наконец	1	1
39	по самому своему существу	1	1
40	xvii и xviii веках	1	1
41	т п но все	1	1
42	которых мы говорили в	1	1
43	жанровых разновидностей европейского романа	1	1
44	точка зрения на мир	1	1
45	не может быть конечно	2	1
