N	2gram	Vygotskiy__1	Problema
1	в его	14	43
2	и не	9	42
3	и в	23	38
4	не может	12	27
5	может быть	14	26
6	как бы	11	22
7	по отношению	7	21
8	отнюдь не	1	19
9	отношению к	7	19
10	и с	9	17
11	и его	6	16
12	в этом	17	15
13	в нем	1	15
14	и т	1	14
15	только в	6	13
16	прежде всего	10	13
17	независимо от	6	13
18	но не	4	12
19	за пределы	2	12
20	во всех	3	11
21	в области	3	11
22	ни в	4	11
23	и для	1	11
24	не входит	1	10
25	таким образом	26	10
26	в их	3	10
27	материала в	1	10
28	не только	16	9
29	не имеет	2	9
30	но и	14	9
31	и как	5	8
32	было бы	4	8
33	точки зрения	26	8
34	в том	24	8
35	и др	1	8
36	то что	17	8
37	еще не	1	7
38	в самом	7	7
39	вообще не	1	7
40	в плане	1	7
41	как и	14	7
42	не в	4	7
43	как мы	5	7
44	с другой	10	7
45	между тем	9	7
46	слова в	1	7
47	с помощью	13	7
48	совершенно не	1	7
49	в своей	4	7
50	что в	14	7
51	отношения к	3	6
52	самом деле	3	6
53	на основе	1	6
54	там где	2	6
55	и наконец	2	6
56	не к	2	6
57	с точки	18	6
58	ничего не	3	6
59	мы можем	6	6
60	все же	3	6
61	а в	2	6
62	только как	1	6
63	высшей степени	4	5
64	отличие от	1	5
65	в своем	3	5
66	все эти	4	5
67	к единству	4	5
68	при этом	4	5
69	то же	8	5
70	это не	1	5
71	в них	2	5
72	в высшей	4	5
73	в отличие	1	5
74	так и	5	5
75	в основе	8	5
76	никогда не	2	5
77	может иметь	1	5
78	не на	1	5
79	а не	3	5
80	могут быть	3	5
81	должно быть	2	5
82	на границах	1	5
83	на самом	1	4
84	в виду	1	4
85	в ней	1	4
86	конечном счете	1	4
87	как в	4	4
88	но в	5	4
89	в нашем	2	4
90	в себе	6	4
91	перестает быть	1	4
92	в данном	2	4
93	значение слова	5	4
94	не менее	1	4
95	тем самым	5	4
96	о значении	1	4
97	в то	7	4
98	чтобы стать	1	4
99	должны быть	1	4
100	в ее	2	4
101	данном случае	2	4
102	можно было	3	4
103	не с	2	4
104	о том	6	4
105	направленной на	1	4
106	в конечном	1	4
107	которых мы	2	4
108	от всех	3	4
109	всех его	1	4
110	в других	1	4
111	в форме	1	4
112	что не	1	4
113	более того	1	4
114	и потому	2	4
115	в более	1	4
116	хотя бы	4	4
117	между ними	2	4
118	сказать что	11	4
119	другой стороны	9	4
120	также и	1	3
121	например в	1	3
122	едва ли	2	3
123	действительности и	1	3
124	которую мы	4	3
125	говорить о	2	3
126	на них	1	3
127	мы будем	1	3
128	из важнейших	2	3
129	значение для	1	3
130	кроме того	1	3
131	и к	4	3
132	в целом	20	3
133	работ по	1	3
134	он не	5	3
135	с другими	2	3
136	и тем	6	3
137	в слове	2	3
138	несмотря на	2	3
139	том что	21	3
140	почти совершенно	1	3
141	тем не	1	3
142	на него	2	3
143	как его	1	3
144	же время	2	3
145	все то	1	3
146	как только	1	3
147	слова но	1	3
148	и это	3	3
149	хотя и	2	3
150	и от	3	3
151	приводит к	4	3
152	в дальнейшем	1	3
153	ясно что	2	3
154	если бы	5	3
155	к действительности	5	3
156	на ее	2	3
157	в исследованиях	2	3
158	сторона слова	1	3
159	этом смысле	1	3
160	но с	1	3
161	одной из	1	3
162	мы увидим	1	3
163	с одной	8	3
164	со всеми	2	3
165	вопроса о	2	3
166	слова не	1	3
167	в известной	2	3
168	как такового	2	3
169	с действительностью	4	3
170	и даже	2	3
171	оно не	1	3
172	одной стороны	9	3
173	связь с	1	3
174	только его	1	3
175	в область	1	3
176	и на	8	3
177	в тех	1	3
178	слова и	5	3
179	все это	6	3
180	не является	9	3
181	и все	5	3
182	в таком	1	3
183	все что	1	3
184	смысле слова	3	2
185	он может	2	2
186	и должны	2	2
187	в котором	4	2
188	его не	3	2
189	есть не	2	2
190	и значение	1	2
191	и функция	1	2
192	совпадает с	1	2
193	не вполне	1	2
194	это отношение	1	2
195	я не	3	2
196	и понять	1	2
197	не остается	3	2
198	первый план	2	2
199	столь же	6	2
200	в чем	4	2
201	с его	4	2
202	в истории	1	2
203	показать что	2	2
204	как к	1	2
205	я должен	1	2
206	и у	1	2
207	что это	3	2
208	нами в	2	2
209	и те	2	2
210	на то	5	2
211	а к	1	2
212	не имеют	1	2
213	он должен	2	2
214	понятий и	4	2
215	на этом	2	2
216	всех своих	1	2
217	лишь в	6	2
218	и других	3	2
219	действительности в	1	2
220	и своеобразие	1	2
221	о которых	1	2
222	отнесен к	1	2
223	стороны слова	2	2
224	строгом смысле	1	2
225	как таковой	2	2
226	на первый	2	2
227	совершенно независимо	1	2
228	и при	2	2
229	но которые	1	2
230	и более	5	2
231	войти в	1	2
232	не могли	2	2
233	том же	2	2
234	и вся	1	2
235	раз и	1	2
236	этой области	1	2
237	что эта	2	2
238	она не	3	2
239	дело в	2	2
240	и именно	1	2
241	того чтобы	17	2
242	действительности но	1	2
243	в самой	1	2
244	все стороны	1	2
245	связь и	1	2
246	во всем	3	2
247	связи с	3	2
248	этом отношении	4	2
249	представляется нам	1	2
250	отличается от	1	2
251	же самое	3	2
252	анализа и	1	2
253	что оно	3	2
254	а ее	1	2
255	для того	15	2
256	в работах	1	2
257	должен быть	4	2
258	что все	4	2
259	нами выше	1	2
260	можно сделать	1	2
261	она только	1	2
262	с самим	1	2
263	здесь нет	1	2
264	поэтому в	2	2
265	является конечно	2	2
266	и здесь	1	2
267	в другом	7	2
268	и что	5	2
269	делает возможным	1	2
270	как чисто	3	2
271	в значительной	2	2
272	и чистой	1	2
273	от них	2	2
274	мир в	1	2
275	того что	15	2
276	в современной	2	2
277	в двух	2	2
278	нуждается в	2	2
279	что он	7	2
280	в какой	5	2
281	и ее	7	2
282	не можем	1	2
283	в виде	2	2
284	не дает	1	2
285	центр тяжести	1	2
286	теории познания	1	2
287	что и	1	2
288	вовсе не	3	2
289	которые могут	1	2
290	тем что	6	2
291	или иной	1	2
292	связаны с	1	2
293	и пр	2	2
294	не было	1	2
295	в частности	2	2
296	как это	2	2
297	в строгом	1	2
298	из которых	3	2
299	к своему	1	2
300	тенденцию к	2	2
301	какой мере	2	2
302	по существу	4	2
303	для понимания	1	2
304	можно сказать	5	2
305	этой науки	1	2
306	является как	2	2
307	или в	1	2
308	о котором	2	2
309	той или	1	2
310	находит свое	1	2
311	как явление	2	2
312	мы должны	5	2
313	ни к	1	2
314	целом в	2	2
315	области изучения	1	2
316	в этих	2	2
317	в равной	2	2
318	слово в	1	2
319	в свою	4	2
320	лишь что	1	2
321	к его	2	2
322	и другие	1	2
323	в своих	5	2
324	по поводу	1	2
325	к этому	4	2
326	бы все	1	1
327	не иначе	1	1
328	лежат в	1	1
329	в сфере	3	1
330	для построения	1	1
331	правильная постановка	1	1
332	лишь после	2	1
333	человека и	3	1
334	тех же	2	1
335	этого положения	2	1
336	непосредственно не	2	1
337	чего не	1	1
338	в первом	2	1
339	критическому рассмотрению	1	1
340	в нашу	1	1
341	мышления но	4	1
342	иметь место	1	1
343	из всех	2	1
344	который в	3	1
345	как таковому	2	1
346	им самим	1	1
347	общих чертах	1	1
348	как единство	3	1
349	связан с	5	1
350	эта деятельность	1	1
351	бы что	2	1
352	вопрос о	7	1
353	науки и	1	1
354	мы называем	3	1
355	такового так	1	1
356	время как	4	1
357	с ее	1	1
358	жизни как	1	1
359	к чистому	1	1
360	как впрочем	2	1
361	основе этого	1	1
362	стороны его	1	1
363	настоящая работа	1	1
364	которую можно	1	1
365	к целому	1	1
366	как таковая	2	1
367	по своему	1	1
368	а следовательно	1	1
369	во внешнем	1	1
370	слова как	2	1
371	главе посвященной	1	1
372	то он	1	1
373	сложным и	2	1
374	одном и	1	1
375	к слову	6	1
376	в общем	3	1
377	в новом	3	1
378	постановка проблемы	1	1
379	себе и	2	1
380	несколько более	2	1
381	мы сделали	1	1
382	вмешивается в	1	1
383	которые не	3	1
384	это самое	1	1
385	моментом не	1	1
386	которые могли	1	1
387	идет о	2	1
388	всего от	1	1
389	работа в	2	1
390	план выступает	1	1
391	стороны и	1	1
392	стороне слова	1	1
393	более и	2	1
394	все остальные	4	1
395	им в	1	1
396	в полном	1	1
397	могли бы	6	1
398	целый ряд	4	1
399	как уже	7	1
400	вопросом о	1	1
401	в непосредственной	1	1
402	эту проблему	3	1
403	в противоположность	2	1
404	и систематического	1	1
405	при чтении	1	1
406	по изучению	1	1
407	психологии и	1	1
408	то в	1	1
409	очень многих	1	1
410	бы и	2	1
411	чисто словесную	1	1
412	и я	2	1
413	то время	5	1
414	которые в	1	1
415	что так	1	1
416	себя для	1	1
417	в этой	7	1
418	рассмотрение этих	1	1
419	чувств и	1	1
420	к общей	1	1
421	имеет для	1	1
422	как он	3	1
423	в наших	3	1
424	направлено на	2	1
425	не могла	1	1
426	и если	3	1
427	к выводу	4	1
428	как оно	1	1
429	деятельность и	2	1
430	основных функций	1	1
431	т д	1	1
432	которой не	1	1
433	всех этих	2	1
434	анализа является	1	1
435	в узком	1	1
436	в принципе	1	1
437	они служат	1	1
438	понимания и	1	1
439	и вот	2	1
440	значения но	1	1
441	чем она	1	1
442	уже за	1	1
443	его от	1	1
444	план то	1	1
445	его можно	1	1
446	так например	1	1
447	всего то	1	1
448	что является	2	1
449	форма его	1	1
450	могла бы	1	1
451	критики и	1	1
452	в совершенно	1	1
453	значение в	3	1
454	и дальше	1	1
455	мы уже	1	1
456	может возникнуть	1	1
457	мы указывали	1	1
458	на бумаге	1	1
459	слово уже	1	1
460	и мы	3	1
461	моменты в	1	1
462	является действительно	1	1
463	она становится	1	1
464	к теории	2	1
465	понятий в	1	1
466	для них	1	1
467	в один	2	1
468	он является	1	1
469	это положение	4	1
470	с тем	7	1
471	отражается в	1	1
472	действительно не	1	1
473	потому и	2	1
474	автора и	1	1
475	нисколько не	1	1
476	был бы	2	1
477	которую он	1	1
478	при изучении	1	1
479	по сравнению	6	1
480	другим как	1	1
481	таковая она	1	1
482	что вся	1	1
483	к одному	1	1
484	равной мере	2	1
485	нашу работу	2	1
486	в которых	3	1
487	мысли и	6	1
488	бы мы	1	1
489	действительность в	2	1
490	ассоциативную связь	1	1
491	всего вскрыть	1	1
492	является только	1	1
493	становится возможной	3	1
494	единство всех	1	1
495	этих моментов	1	1
496	иным как	1	1
497	и эти	2	1
498	этого мышления	1	1
499	лежит не	1	1
500	самого мышления	1	1
501	понимании и	1	1
502	по себе	5	1
503	как проблема	1	1
504	тому что	5	1
505	уже выше	1	1
506	к некоторым	1	1
507	вплоть до	1	1
508	человека но	1	1
509	что с	2	1
510	и начинает	1	1
511	одинаковой степени	1	1
512	но для	1	1
513	как о	1	1
514	мышления и	40	1
515	и истинности	1	1
516	которые создают	1	1
517	эта внутренняя	1	1
518	в самых	3	1
519	представления и	1	1
520	следовательно и	1	1
521	и всегда	1	1
522	и без	1	1
523	под этим	1	1
524	именно с	1	1
525	находятся в	1	1
526	этих двух	3	1
527	и независимо	1	1
528	того в	1	1
529	во всей	4	1
530	целое в	1	1
531	и является	1	1
532	в сознании	1	1
533	в процессе	8	1
534	так то	1	1
535	однако это	1	1
536	ему не	1	1
537	и со	1	1
538	и теоретического	1	1
539	логической мыслью	1	1
540	его значению	1	1
541	что можно	1	1
542	является той	1	1
543	сравнительно с	1	1
544	сделано в	1	1
545	становится возможным	1	1
546	значительной степени	2	1
547	по возможности	1	1
548	себя только	1	1
549	это содержание	1	1
550	в наши	2	1
551	его значение	2	1
552	суждение об	1	1
553	анализа в	1	1
554	говоря словами	3	1
555	опыта и	2	1
556	эти явления	1	1
557	приходит к	3	1
558	из всего	1	1
559	к такому	1	1
560	как не	1	1
561	свою очередь	3	1
562	связи со	1	1
563	мы конечно	1	1
564	истории философии	1	1
565	языка и	1	1
566	целому и	2	1
567	действия и	2	1
568	основе концепции	1	1
569	мы наблюдаем	1	1
570	выражения и	1	1
571	как с	1	1
572	что у	2	1
573	на нее	2	1
574	такому выводу	1	1
575	наши задачи	2	1
576	на которую	1	1
577	в научном	1	1
578	как таковую	1	1
579	но единство	1	1
580	в одном	4	1
581	не были	1	1
582	известной мере	1	1
583	строго говоря	2	1
584	с предшествующим	1	1
585	второго направления	1	1
586	это как	1	1
587	остановимся на	1	1
588	этой концепции	2	1
589	даже совершенно	1	1
590	выводу что	4	1
591	и восприятия	1	1
592	анализа не	1	1
593	этой проблемы	8	1
594	может в	1	1
595	их чисто	1	1
596	в описаниях	1	1
597	мы это	1	1
598	нашей работы	8	1
599	звуковой стороны	5	1
600	а также	1	1
601	не вмешивается	1	1
602	вопросу о	1	1
603	на отдельные	3	1
604	на протяжении	1	1
605	и смысловой	1	1
606	главы как	1	1
607	в науку	2	1
608	дальнейшем и	1	1
609	лишь к	1	1
610	вообще и	1	1
611	на действительность	5	1
612	и следовательно	3	1
613	несколько иначе	1	1
614	по прихоти	1	1
615	в лингвистике	1	1
616	на которой	2	1
617	более сложным	1	1
618	обе эти	3	1
619	мышления о	2	1
620	путем теоретического	1	1
