N	2gram	Tiupa_Anal_1	Vladivir
1	и в	18	31
2	в году	1	30
3	не только	15	24
4	но и	17	19
5	то что	6	18
6	и не	21	17
7	вл соловьевым	1	15
8	и даже	1	15
9	у него	1	15
10	в этом	13	14
11	том что	12	14
12	и с	2	14
13	он был	1	14
14	что в	5	14
15	но в	8	12
16	в его	13	12
17	что он	3	12
18	по поводу	1	12
19	с его	3	11
20	о том	5	11
21	в том	27	11
22	потому что	2	11
23	и то	2	10
24	также и	2	10
25	он не	3	10
26	так что	1	10
27	как мы	2	9
28	никогда не	2	9
29	только в	6	9
30	в течение	1	9
31	а в	9	9
32	и по	2	8
33	в то	9	8
34	так как	2	8
35	тут же	1	7
36	мы уже	1	7
37	как это	1	7
38	и его	5	7
39	для него	2	7
40	о нем	3	7
41	как раз	1	7
42	того же	4	6
43	то же	9	6
44	и был	1	6
45	то он	2	6
46	и к	3	6
47	свое время	2	6
48	он и	1	6
49	в котором	3	6
50	и сам	2	6
51	так и	4	6
52	разного рода	3	6
53	и что	1	6
54	его жизни	1	6
55	можно сказать	2	6
56	в качестве	31	6
57	может быть	29	6
58	и потому	2	6
59	не может	22	6
60	но как	1	5
61	не в	14	5
62	со своим	1	5
63	что и	3	5
64	вовсе не	2	5
65	но он	1	5
66	не было	1	5
67	а с	3	5
68	что же	2	5
69	и от	1	5
70	а также	3	5
71	с ним	4	5
72	в свое	2	5
73	жизни и	1	5
74	в своих	1	5
75	он уже	1	4
76	я не	1	4
77	мы и	1	4
78	в этой	5	4
79	хотя и	1	4
80	и как	5	4
81	в которой	2	4
82	в нашем	3	4
83	в себе	11	4
84	как он	3	4
85	в нем	3	4
86	же касается	1	4
87	этом смысле	1	4
88	как и	13	4
89	несмотря на	2	4
90	ни с	3	4
91	еще в	2	4
92	в своей	6	4
93	же время	6	4
94	во всем	1	4
95	да и	1	4
96	к нему	3	4
97	по своей	6	4
98	один из	2	4
99	себя в	6	4
100	в особенности	1	4
101	что для	1	4
102	и все	3	4
103	и особенно	1	4
104	такого рода	5	4
105	для нас	1	4
106	он как	1	3
107	на себя	2	3
108	и на	5	3
109	нам представляется	1	3
110	но не	10	3
111	в в	1	3
112	отношение к	2	3
113	за пределы	2	3
114	отнюдь не	15	3
115	как в	1	3
116	все же	4	3
117	более или	1	3
118	со своей	1	3
119	в целом	5	3
120	он в	1	3
121	все эти	2	3
122	едва ли	2	3
123	на его	2	3
124	здесь мы	1	3
125	то есть	11	3
126	или менее	1	3
127	во время	1	3
128	взгляд на	1	3
129	что касается	1	3
130	но это	1	3
131	раз и	1	3
132	в отношении	1	3
133	в науке	1	3
134	на него	1	3
135	ничего не	1	3
136	ему было	1	3
137	таким образом	3	3
138	к тому	7	3
139	время он	1	3
140	здесь не	2	3
141	к его	1	3
142	свидетельствует о	2	3
143	и просто	2	3
144	это была	1	3
145	человека как	1	3
146	тот же	1	3
147	по возвращении	1	3
148	мы увидим	1	3
149	уже не	4	3
150	только на	1	3
151	в виде	1	3
152	с другой	4	3
153	него не	1	3
154	если не	1	3
155	в связи	1	3
156	вместе с	4	3
157	к своему	1	3
158	по своему	1	3
159	н и	1	3
160	в начале	2	3
161	собственно говоря	4	3
162	и н	1	3
163	другой стороны	2	3
164	и т	3	2
165	одним из	3	2
166	тех же	1	2
167	и до	2	2
168	по его	1	2
169	той же	2	2
170	в полной	3	2
171	хотя бы	3	2
172	еще не	3	2
173	он сам	1	2
174	в чем	1	2
175	я никогда	1	2
176	мы будем	1	2
177	нет и	2	2
178	один и	1	2
179	его на	1	2
180	как к	2	2
181	его к	2	2
182	из этих	2	2
183	учение о	1	2
184	и тот	1	2
185	но его	1	2
186	тому же	4	2
187	при этом	12	2
188	в тот	1	2
189	вера в	1	2
190	на этом	2	2
191	от нее	1	2
192	что все	1	2
193	лишь в	5	2
194	было бы	2	2
195	ни в	4	2
196	в них	1	2
197	с тем	1	2
198	к а	1	2
199	на первый	1	2
200	точки зрения	6	2
201	место в	3	2
202	даже в	3	2
203	не менее	1	2
204	тем самым	7	2
205	дело не	3	2
206	того чтобы	3	2
207	того и	3	2
208	к концу	1	2
209	в каком	1	2
210	со стороны	2	2
211	для того	4	2
212	на это	1	2
213	где он	1	2
214	для себя	2	2
215	и о	2	2
216	не столько	2	2
217	однако эта	1	2
218	о котором	1	2
219	и постоянно	1	2
220	образом в	1	2
221	воли и	1	2
222	на все	2	2
223	но мы	1	2
224	на что	1	2
225	как было	1	2
226	времени в	1	2
227	в которую	1	2
228	того в	1	2
229	у одного	1	2
230	а именно	3	2
231	знания и	1	2
232	того что	4	2
233	поскольку с	1	2
234	всяком случае	1	2
235	этот факт	1	2
236	по этому	1	2
237	том чтобы	7	2
238	то и	1	2
239	чтобы он	1	2
240	из них	2	2
241	даже не	1	2
242	или о	1	2
243	что мы	3	2
244	виде в	1	2
245	начиная с	1	2
246	к себе	1	2
247	о его	1	2
248	и для	1	2
249	указать на	1	2
250	просто не	1	2
251	в результате	1	2
252	того с	1	2
253	особого рода	7	2
254	от него	1	2
255	тем более	2	2
256	мы должны	1	2
257	а н	1	2
258	отношением к	1	2
259	совершенно не	1	2
260	из этого	1	2
261	в самом	6	2
262	в частности	19	2
263	во всяком	1	2
264	все что	1	2
265	как известно	3	1
266	вопрос зачем	1	1
267	в реальности	1	1
268	от научного	1	1
269	от отца	1	1
270	с кем	1	1
271	на самом	2	1
272	и есть	3	1
273	как существа	1	1
274	то в	2	1
275	субъект и	2	1
276	он всегда	1	1
277	не имеют	1	1
278	и больше	1	1
279	видеть в	1	1
280	как сам	1	1
281	отношения к	2	1
282	в их	5	1
283	есть не	8	1
284	случае это	2	1
285	на место	2	1
286	есть нечто	1	1
287	не вполне	1	1
288	вместо этого	1	1
289	что можно	1	1
290	не способен	1	1
291	в ней	1	1
292	и самого	2	1
293	литературы и	1	1
294	иное как	5	1
295	столь же	4	1
296	бы то	3	1
297	в различных	1	1
298	права в	1	1
299	во всех	1	1
300	изучения в	1	1
301	и всего	1	1
302	истинный смысл	1	1
303	по отношению	6	1
304	тогда как	14	1
305	на вопрос	4	1
306	встречи с	2	1
307	что как	3	1
308	как уже	2	1
309	как иногда	1	1
310	в противоположность	2	1
311	вступить с	1	1
312	не приходится	1	1
313	объект как	1	1
314	себя к	1	1
315	представляет собой	16	1
316	и те	1	1
317	если он	1	1
318	не следует	4	1
319	а скорее	1	1
320	не к	2	1
321	в силу	3	1
322	то самое	1	1
323	одной и	1	1
324	из него	1	1
325	человека он	1	1
326	как содержание	1	1
327	всех своих	1	1
328	одно и	1	1
329	но все	1	1
330	том же	1	1
331	однако все	1	1
332	не будет	3	1
333	те же	1	1
334	с целью	2	1
335	заключается в	1	1
336	которого не	1	1
337	с другими	4	1
338	который и	1	1
339	это не	6	1
340	с вопросом	1	1
341	и тем	1	1
342	в итоге	1	1
343	до всякого	1	1
344	из первых	1	1
345	поведения и	1	1
346	только одно	1	1
347	этом мы	1	1
348	для них	1	1
349	творца и	1	1
350	мы имеем	6	1
351	тому что	1	1
352	и уже	1	1
353	для чего	2	1
354	жизни но	2	1
355	различно в	1	1
356	только во	1	1
357	мы не	1	1
358	и тогда	2	1
359	остается в	1	1
360	в этих	1	1
361	весьма часто	1	1
362	к тем	1	1
363	таким же	1	1
364	меня к	1	1
365	она в	1	1
366	понять в	1	1
367	бы мы	1	1
368	вопрос о	2	1
369	вплоть до	1	1
370	и той	1	1
371	есть его	1	1
372	их в	1	1
373	ни было	4	1
374	том и	2	1
375	ним в	1	1
376	как будет	1	1
377	возвращении в	1	1
378	не связанным	1	1
379	случае не	2	1
380	что иное	5	1
381	только не	2	1
382	его от	1	1
383	эта сторона	1	1
384	для всех	1	1
385	одна из	1	1
386	имеем дело	4	1
387	этих двух	1	1
388	связи с	1	1
389	только с	1	1
390	этом отношении	2	1
391	встал и	1	1
392	ни малейшего	1	1
393	в области	4	1
394	личности в	3	1
395	уже о	1	1
396	не могут	3	1
397	же самое	2	1
398	перед его	1	1
399	а можно	1	1
400	то ни	3	1
401	элементы в	1	1
402	над его	1	1
403	свою очередь	1	1
404	на нем	1	1
405	говоря уже	1	1
406	факт не	1	1
407	может только	1	1
408	у разных	1	1
409	уже с	1	1
410	в произведении	5	1
411	всей своей	1	1
412	роль в	2	1
413	чувства поэтому	1	1
414	как с	1	1
415	что может	1	1
416	понимание и	1	1
417	не с	4	1
418	а этот	1	1
419	особенно в	2	1
420	с самим	1	1
421	том виде	1	1
422	строго говоря	1	1
423	если бы	3	1
424	в разных	1	1
425	но отнюдь	1	1
426	пор пока	1	1
427	сводится к	5	1
428	познания и	1	1
429	произведения как	7	1
430	было не	1	1
431	но к	2	1
432	внимание на	1	1
433	по вечерам	1	1
434	одного из	2	1
435	связь между	1	1
436	и во	1	1
437	во всей	1	1
438	в историческом	1	1
439	сомнения в	1	1
440	как самостоятельную	1	1
441	ту духовную	1	1
442	в литературе	4	1
443	тех пор	1	1
444	в формах	1	1
445	на которой	1	1
446	и одновременно	3	1
447	не как	1	1
448	с особого	1	1
449	что даже	1	1
450	ли он	2	1
451	как нечто	1	1
452	в разные	1	1
453	к отцу	1	1
454	который в	2	1
455	самые разнообразные	1	1
456	их жизни	1	1
457	вопрос об	3	1
458	нас очень	1	1
459	с одной	3	1
460	к которой	1	1
461	с какой	1	1
462	самом деле	2	1
463	в сторону	1	1
464	или не	2	1
465	вернуться к	1	1
466	же в	1	1
467	что не	3	1
468	от других	1	1
469	слова не	1	1
470	а то	1	1
471	соглашаясь с	1	1
472	чего бы	1	1
473	восходящего к	1	1
474	в одном	1	1
475	выступает в	2	1
476	ему принадлежит	1	1
477	друг друга	1	1
478	бытия и	2	1
479	ими и	1	1
480	не просто	2	1
481	и вместе	1	1
482	и только	1	1
483	о невозможности	1	1
484	в последние	1	1
485	же деле	1	1
486	влияние на	1	1
487	или иначе	1	1
488	обращении к	1	1
489	именно в	4	1
490	человека а	1	1
491	даже самого	1	1
492	с той	1	1
493	далеко не	6	1
494	в свою	1	1
495	только через	2	1
496	себя и	4	1
497	говорит о	1	1
498	прежде всего	6	1
499	касается самого	1	1
500	самом же	1	1
501	одной стороны	3	1
502	а не	17	1
503	оно представляет	1	1
504	однако и	1	1
505	человеческой жизни	1	1
506	имеются два	1	1
507	о чем	1	1
508	его как	1	1
509	о сыне	1	1
510	внутреннюю связь	1	1
511	можно утверждать	1	1
512	на множество	1	1
513	из которых	4	1
514	и объект	1	1
515	без другого	2	1
516	в данном	2	1
517	она есть	2	1
518	смысле этого	1	1
519	из этой	1	1
520	я с	1	1
521	в состоянии	1	1
522	возвращении к	1	1
523	и более	4	1
524	быть не	3	1
525	этого слова	7	1
526	с некоторым	1	1
527	с этой	1	1
528	и была	1	1
529	как предмет	4	1
530	фактов в	1	1
531	и того	5	1
532	писал в	2	1
533	нетрудно догадаться	1	1
534	еще одна	1	1
535	или в	1	1
536	я всегда	1	1
537	которая в	3	1
538	человек и	1	1
539	этих начал	1	1
540	мысль о	2	1
541	всего было	1	1
542	со второй	1	1
543	то о	1	1
544	его уже	1	1
545	ее в	1	1
546	я в	3	1
547	хотя в	1	1
548	личности и	1	1
549	не есть	8	1
550	связь с	1	1
551	жизни в	1	1
552	до тех	1	1
553	между ними	1	1
554	не говоря	2	1
555	от своего	2	1
556	дело с	4	1
557	не что	4	1
558	к другим	1	1
559	которые в	2	1
560	именно здесь	1	1
561	и эта	1	1
562	особенности же	1	1
563	в таком	3	1
