N	3gram	Nazirov_Tv_1	Narrotol
1	в том что	6	8
2	в данном случае	2	6
3	не только в	2	6
4	по отношению к	1	5
5	в отличие от	1	5
6	с одной стороны	1	5
7	о том что	5	4
8	к тому же	1	4
9	тем не менее	2	4
10	в соответствии с	3	3
11	но при этом	1	3
12	в известном смысле	1	3
13	то же время	12	3
14	в конечном счете	4	3
15	можно сказать что	2	3
16	в то же	13	3
17	к тому что	1	3
18	особое место в	1	2
19	хотя и не	1	2
20	мы узнаем что	1	2
21	на самом деле	2	2
22	и т п	2	2
23	точно так же	2	2
24	и все же	3	2
25	и вследствие этого	1	2
26	и того же	1	1
27	что иное как	1	1
28	не может не	1	1
29	прежде всего на	1	1
30	к жизни в	1	1
31	и к этому	1	1
32	дело не только	1	1
33	то же самое	1	1
34	и в то	2	1
35	он говорит о	1	1
36	аналогичных действий в	1	1
37	до сих пор	1	1
38	следует рассматривать в	1	1
39	он вовсе не	1	1
40	это прежде всего	1	1
41	на первый взгляд	1	1
42	только в двух	1	1
43	прошлое и будущее	1	1
44	в связи с	1	1
45	что ведет к	1	1
46	и что в	1	1
47	что у него	1	1
48	я не могу	1	1
49	и в других	1	1
50	что он вовсе	1	1
51	потому что я	1	1
52	имеет место в	1	1
53	только в качестве	1	1
54	в финале рассказа	1	1
55	не означает что	1	1
56	так быстро что	1	1
57	если же в	1	1
58	у него есть	1	1
59	не в его	1	1
60	но в целом	1	1
61	по сути дела	3	1
62	самим собой в	2	1
63	одного и того	1	1
64	от себя лично	1	1
65	не что иное	1	1
66	действительной жизни и	1	1
67	внешнего и внутреннего	1	1
68	чувство стыда за	1	1
69	целой жизни в	1	1
