N	2gram	Bakhtin_sl_2	Stilisti
1	и в	39	42
2	не только	24	27
3	как бы	7	27
4	и т.п	2	24
5	прежде всего	8	22
6	хотя бы	3	17
7	но и	21	15
8	то же	4	15
9	и не	22	14
10	не может	20	12
11	может быть	37	12
12	как и	6	11
13	мы уже	2	11
14	точки зрения	8	11
15	и как	3	10
16	как мы	7	10
17	в этом	16	10
18	отнюдь не	1	10
19	при этом	7	9
20	мы не	2	9
21	то что	2	9
22	в то	4	9
23	для того	2	9
24	в себе	2	8
25	все же	6	8
26	таким образом	8	8
27	эти слова	2	8
28	слово как	7	8
29	в ней	3	8
30	и это	1	8
31	же время	4	7
32	того чтобы	2	7
33	а не	14	7
34	и от	3	7
35	и его	33	7
36	слов и	3	7
37	зависимости от	4	7
38	ничего не	1	7
39	никогда не	7	7
40	только в	5	7
41	и тем	1	7
42	в зависимости	4	7
43	и на	4	7
44	мы можем	1	7
45	с его	7	7
46	так как	4	7
47	на его	2	6
48	в форме	2	6
49	другими словами	1	6
50	так и	15	6
51	язык в	6	6
52	или как	4	6
53	в нем	19	6
54	не в	9	6
55	в конце	1	6
56	во всех	12	6
57	говорящего и	2	6
58	речи и	3	6
59	точку зрения	3	6
60	в этой	1	6
61	в процессе	13	6
62	язык и	7	6
63	жестов и	2	6
64	в области	2	6
65	или иной	5	6
66	в свою	3	6
67	точек зрения	3	5
68	и с	9	5
69	и наконец	5	5
70	одно и	1	5
71	слова в	13	5
72	и их	5	5
73	в сознании	1	5
74	с помощью	4	5
75	как это	3	5
76	того или	1	5
77	те же	2	5
78	в нашем	2	5
79	независимо от	2	5
80	вместе с	2	5
81	в той	4	5
82	мы видели	2	5
83	слова и	8	5
84	что язык	2	5
85	той же	3	5
86	в его	7	5
87	а в	4	5
88	с точки	3	5
89	высказывания но	1	5
90	или иного	1	5
91	не является	1	5
92	уже в	2	5
93	и следовательно	1	5
94	языка и	9	4
95	которой мы	1	4
96	можно сказать	1	4
97	в обществе	1	4
98	то есть	26	4
99	слово не	1	4
100	так называемые	1	4
101	и без	1	4
102	всех своих	1	4
103	не знаем	2	4
104	так сказать	6	4
105	влияние на	2	4
106	его в	4	4
107	в общественной	1	4
108	того что	1	4
109	к своему	9	4
110	но все	5	4
111	его внутренней	1	4
112	и к	6	4
113	все время	1	4
114	в качестве	1	4
115	свою очередь	2	4
116	мы увидим	2	4
117	один из	5	4
118	в слове	6	4
119	в каждом	1	4
120	уже не	5	4
121	в самом	1	4
122	с самого	1	4
123	не просто	1	4
124	но в	6	4
125	на него	2	4
126	или иную	1	4
127	о том	2	4
128	все это	16	4
129	себя в	8	4
130	точка зрения	2	4
131	самого начала	1	4
132	той или	5	4
133	то мы	1	3
134	человеческой речи	2	3
135	нуждается в	2	3
136	и здесь	2	3
137	не знает	2	3
138	еще не	7	3
139	жизни и	6	3
140	бытового общения	1	3
141	слова но	1	3
142	и для	5	3
143	связи с	3	3
144	как предмет	4	3
145	языком и	7	3
146	и все	5	3
147	то он	1	3
148	что такое	1	3
149	его и	2	3
150	лишь в	3	3
151	та же	1	3
152	об этом	1	3
153	если он	1	3
154	слово и	5	3
155	для нас	5	3
156	в виду	1	3
157	и аудитории	1	3
158	видели что	1	3
159	отношения к	4	3
160	это не	5	3
161	и даже	7	3
162	тех или	1	3
163	этом случае	6	3
164	во второй	1	3
165	высказывания и	1	3
166	и слово	2	3
167	в целом	1	3
168	выражение в	1	3
169	ситуацию и	1	3
170	что оно	4	3
171	свое выражение	1	3
172	да и	1	3
173	словом и	8	3
174	сказать что	3	3
175	как только	1	3
176	хотя и	2	3
177	представить себе	1	3
178	высказывания как	1	3
179	этого слова	1	3
180	слова о	2	3
181	слов в	2	3
182	в одном	2	3
183	авторской речью	1	3
184	и само	2	3
185	язык не	4	3
186	что и	3	3
187	роль в	2	3
188	кругозор человека	1	3
189	слова как	2	3
190	должно было	1	3
191	и уже	1	3
192	может стать	2	3
193	высказывание как	1	3
194	конечно не	5	3
195	только на	1	3
196	перед нами	3	3
197	чаще всего	1	3
