N	2gram	Bakhtin_sl_2	Sovremen
1	не может	20	17
2	может быть	37	12
3	точки зрения	8	12
4	таким образом	8	11
5	мы не	2	9
6	в каждом	1	8
7	в этом	16	7
8	не можем	1	7
9	и в	39	7
10	мы можем	1	6
11	ничего не	1	6
12	как и	6	6
13	и не	22	6
14	в результате	2	6
15	только одна	1	6
16	и наконец	5	5
17	все эти	6	5
18	прежде всего	8	5
19	с точки	3	5
20	в условиях	1	5
21	в дальнейшем	2	4
22	в зависимости	4	4
23	зависимости от	4	4
24	в том	5	4
25	в целом	1	4
26	так как	4	4
27	мы видели	2	4
28	не только	24	4
29	с помощью	4	4
30	как бы	7	4
31	вместе с	2	4
32	это не	5	4
33	точку зрения	3	4
34	а в	4	4
35	жизни и	6	4
36	он может	1	3
37	с самого	1	3
38	то же	4	3
39	но мы	2	3
40	между собой	1	3
41	может не	2	3
42	видели что	1	3
43	естественных наук	1	3
44	отнюдь не	1	3
45	все же	6	3
46	еще не	7	3
47	но в	6	3
48	он в	1	3
49	в этой	1	3
50	в себе	2	3
51	уже в	2	3
52	как он	2	3
53	что она	1	3
54	в одном	2	3
55	в конце	1	3
56	в нем	19	3
57	при этом	7	3
58	на этой	1	3
59	а не	14	3
60	и потому	7	3
61	не в	9	3
62	все это	16	3
63	самого начала	1	3
64	одна из	4	3
65	для нас	5	3
66	и все	5	3
67	в системе	1	3
68	и к	6	3
69	отличается от	2	3
70	в области	2	3
71	как известно	1	2
72	как мы	7	2
73	свою очередь	2	2
74	необходимо отметить	3	2
75	и есть	1	2
76	приводит к	1	2
77	роль в	2	2
78	все те	1	2
79	той же	3	2
80	на этом	3	2
81	и даже	7	2
82	говорить о	3	2
83	говорим о	1	2
84	и что	1	2
85	говорить об	1	2
86	в его	7	2
87	может иметь	3	2
88	с этим	2	2
89	быть и	3	2
90	в самом	1	2
91	в нашем	2	2
92	с одной	5	2
93	со всеми	2	2
94	уже не	5	2
95	так сказать	6	2
96	в виде	2	2
97	на его	2	2
98	тем не	1	2
99	всяком случае	2	2
100	у него	3	2
101	и по	1	2
102	отличие от	13	2
103	но все	5	2
104	значение в	2	2
105	конечно в	2	2
106	или иной	5	2
107	в некоторых	3	2
108	а на	1	2
109	новых условиях	1	2
110	такой же	1	2
111	в один	1	2
112	что такое	1	2
113	в отличие	12	2
114	не менее	4	2
115	о значении	1	2
116	на котором	2	2
117	не знаем	2	2
118	она может	2	2
119	еще более	2	2
120	в новых	2	2
121	в свою	3	2
122	не могут	5	2
123	могут быть	7	2
124	что при	1	2
125	для развития	1	2
126	что в	3	2
127	если же	1	2
128	в таком	4	2
129	во всяком	3	2
130	и наиболее	1	1
131	и начала	1	1
132	должен быть	2	1
133	новое время	2	1
134	правда не	1	1
135	и это	1	1
136	можно говорить	2	1
137	оно может	2	1
138	человека и	3	1
139	то она	1	1
140	с ее	2	1
141	через все	1	1
142	научной работы	1	1
143	очень важную	2	1
144	это и	2	1
145	между двумя	1	1
146	отношению к	4	1
147	так в	2	1
148	по преимуществу	1	1
149	и до	1	1
150	иметь место	1	1
151	в мире	1	1
152	и могут	1	1
153	этом направлении	1	1
154	мы уже	2	1
155	те же	2	1
156	есть не	1	1
157	здесь нет	1	1
158	в социальном	1	1
159	и само	2	1
160	еще в	1	1
161	и всюду	1	1
162	что уже	1	1
163	поэтому в	1	1
164	с человеком	1	1
165	но такая	1	1
166	нечего делать	1	1
