N	4gram	Vygotskiy__7	Marksizm
1	и не может быть	1	4
2	с точки зрения языка	1	3
3	нет и не может	1	2
4	в том числе и	1	2
5	до тех пор пока	1	2
6	в самом деле если	1	2
7	на самом же деле	1	2
8	так же как и	1	2
9	одной и той же	2	2
10	между словом и его	2	1
11	друг с другом и	1	1
12	одну и ту же	1	1
13	находит свое выражение в	2	1
14	в одной и той	1	1
15	находят свое выражение в	1	1
16	с точки зрения самого	2	1
17	в том что он	2	1
18	неразрывно связаны между собой	1	1
19	с этой точки зрения	4	1
20	в конце концов к	1	1
21	не чем иным как	2	1
22	то что делает слово	1	1
23	словом и его значением	2	1
24	и там и здесь	1	1
25	что делает слово словом	2	1
26	в неразрывной связи с	1	1
27	одним и тем же	2	1
