N	3gram	Losev_Vesc_1	Narrotol
1	в данном случае	2	8
2	не только в	4	6
3	в том что	4	5
4	в то же	1	4
5	не может быть	6	4
6	подобно тому как	4	3
7	в этом отношении	1	3
8	для того чтобы	2	3
9	в первом случае	2	3
10	тем не менее	3	3
11	о том что	4	2
12	мы имеем дело	2	2
13	в самом деле	4	2
14	то же самое	1	2
15	до сих пор	1	2
16	сами по себе	3	2
17	в зависимости от	1	2
18	одно и то	4	2
19	как раз в	1	2
20	уже не мог	1	2
21	и то же	4	2
22	дело в том	2	2
23	во всяком случае	2	2
24	в свою очередь	4	2
25	можно сказать что	3	2
26	на то что	2	2
27	и того же	1	1
28	в чем он	1	1
29	отождествление с ним	1	1
30	что иное как	7	1
31	ни о чем	1	1
32	не может обойтись	1	1
33	только потому что	1	1
34	более или менее	1	1
35	как она есть	3	1
36	не могла бы	1	1
37	с другой стороны	2	1
38	с точки зрения	3	1
39	и не только	4	1
40	и еще более	1	1
41	в сущности в	1	1
42	это вовсе еще	1	1
43	сам по себе	3	1
44	в той же	1	1
45	бы то ни	4	1
46	он и не	1	1
47	только то что	2	1
48	что не только	1	1
49	и то что	3	1
50	об этом в	1	1
51	из того что	2	1
52	но и здесь	1	1
53	она может быть	2	1
54	по крайней мере	4	1
55	только в учебниках	1	1
56	у него нет	1	1
57	не то что	1	1
58	в ней не	1	1
59	в самом начале	1	1
60	в ней есть	1	1
61	дело не с	2	1
62	то ни было	4	1
63	мы не знаем	1	1
64	с одной стороны	3	1
65	один из наиболее	1	1
66	и потому что	1	1
67	поэтому в качестве	1	1
68	друг с другом	1	1
69	и как бы	1	1
70	еще и потому	1	1
71	в той или	2	1
72	что у него	1	1
73	и вот я	1	1
74	первом случае мы	1	1
75	вовсе еще не	1	1
76	самом деле в	1	1
77	содержит в себе	4	1
78	не мог бы	1	1
79	быть не только	2	1
80	той или другой	2	1
81	то что не	2	1
82	не просто слово	1	1
83	мы не можем	1	1
84	то что мы	2	1
85	само по себе	1	1
86	сливаются в один	1	1
87	ли в самом	1	1
88	и в самом	1	1
89	оно не только	1	1
90	ничего не говорит	1	1
91	одного и того	1	1
92	в третьем случае	1	1
93	предполагает со стороны	1	1
94	во втором случае	1	1
95	однако подобное рассуждение	1	1
96	к тому что	2	1
97	и даже не	3	1
98	имя может быть	1	1
99	в отрыве от	2	1
100	по себе а	1	1
101	и т д	19	1
