N	2gram	Nazirov_Tv_1	StatiiOP
1	и в	21	25
2	в этом	6	24
3	у пушкина	2	22
4	в том	7	20
5	что он	6	19
6	может быть	5	19
7	тем что	1	19
8	что в	12	19
9	что это	1	16
10	том что	11	15
11	в этой	5	14
12	не только	7	12
13	в его	13	12
14	то что	8	12
15	в этих	2	11
16	так что	2	11
17	таким образом	5	10
18	прежде всего	4	10
19	и не	7	10
20	у него	7	9
21	но и	3	9
22	и т	3	8
23	все это	10	8
24	о том	6	8
25	это было	1	8
26	т е	1	8
27	в своих	5	8
28	с этим	1	7
29	это не	4	7
30	было бы	1	7
31	в то	15	7
32	не может	4	7
33	что такое	1	7
34	г в	1	6
35	место в	3	6
36	и на	7	6
37	как в	8	6
38	пушкина и	1	6
39	не в	2	6
40	в русской	5	6
41	в трагедии	1	6
42	между тем	1	6
43	только в	5	6
44	т п	2	6
45	в конце	1	6
46	в области	1	6
47	в россии	3	6
48	как бы	17	6
49	а в	6	6
50	в году	7	5
51	то же	13	5
52	говорит что	2	5
53	но в	7	5
54	он не	8	5
55	об этом	2	5
56	ни в	1	5
57	мы имеем	1	5
58	в котором	6	5
59	потому что	5	5
60	и это	1	5
61	так и	2	5
62	в них	1	5
63	отметить что	1	5
64	с другой	3	5
65	а не	5	5
66	того что	3	5
67	другой стороны	1	5
68	в которой	3	4
69	время как	1	4
70	в чем	2	4
71	все же	5	4
72	не было	1	4
73	и к	1	4
74	то в	2	4
75	в целом	4	4
76	на его	3	4
77	в каждом	3	4
78	мировой литературе	1	4
79	на протяжении	3	4
80	и тем	2	4
81	в жизни	2	4
82	с тем	1	4
83	как и	12	4
84	а как	2	4
85	у нас	1	4
86	по крайней	2	4
87	к ней	2	4
88	связана с	1	4
89	отличается от	1	4
90	в ней	2	4
91	и с	3	4
92	можно сказать	2	4
93	к нему	1	4
94	в качестве	2	4
95	крайней мере	2	4
96	связь с	1	4
97	xix века	6	4
98	он говорит	3	4
99	это есть	1	4
100	в смысле	1	4
101	но это	5	4
102	сказать что	2	4
103	была бы	1	4
104	в своей	4	4
105	это в	3	4
106	я и	3	3
107	по мнению	3	3
108	говорить о	1	3
109	он был	1	3
110	с его	11	3
111	своего рода	4	3
112	в в	2	3
113	кроме того	1	3
114	в творчестве	6	3
115	что по	1	3
116	и наконец	2	3
117	все эти	1	3
118	и если	1	3
119	всех этих	1	3
120	на этом	1	3
121	что этот	1	3
122	о которых	1	3
123	показывает что	1	3
124	в их	3	3
125	что я	3	3
126	но он	2	3
127	и более	1	3
128	на эти	2	3
129	тому что	1	3
130	во время	1	3
131	трагедии в	1	3
132	же время	12	3
133	связи с	1	3
134	и далее	2	3
135	и здесь	1	3
136	что все	3	3
137	нельзя не	1	3
138	и что	1	3
139	по этому	1	3
140	у которого	1	3
141	и его	6	3
142	вот что	1	3
143	уже не	3	3
144	уже в	3	3
145	не так	3	3
146	для него	6	3
147	так как	3	3
148	как раз	1	3
149	связан с	3	3
150	к которому	1	3
151	что для	2	3
152	одной стороны	1	3
153	до конца	2	3
154	в рассказе	3	3
155	с которым	2	3
156	его как	2	3
157	в связи	1	3
158	с этой	1	3
159	между прочим	1	3
160	в мировой	1	3
161	тем более	1	3
162	обращается к	1	3
163	конце концов	1	3
164	все они	1	3
165	к этому	2	3
166	в виде	3	3
167	в какой	1	3
168	это произведение	1	3
169	xvii века	1	2
170	самом деле	2	2
171	к своей	1	2
172	той же	3	2
173	в сущности	1	2
174	исторической эпохи	1	2
175	того же	2	2
176	в биографии	1	2
177	не был	3	2
178	во всех	1	2
179	тем как	1	2
180	нет не	2	2
181	если в	2	2
182	к слову	1	2
183	более и	1	2
184	им в	1	2
185	его к	1	2
186	представлял себе	1	2
187	в самом	3	2
188	формы в	1	2
189	имеем в	1	2
190	так сказать	2	2
191	он считает	1	2
192	с чувством	1	2
193	в статье	1	2
194	т д	1	2
195	о которой	1	2
196	представляет собою	1	2
197	в плане	1	2
198	и по	3	2
199	но все	1	2
200	а по	2	2
201	то есть	12	2
202	заключается в	1	2
203	общества в	1	2
204	известно что	2	2
205	связанным с	1	2
206	ее в	3	2
207	он резко	1	2
208	а с	1	2
209	эти годы	1	2
210	он и	1	2
211	жизни но	1	2
212	такой же	2	2
213	и тогда	1	2
214	не мог	2	2
215	стихах и	1	2
216	не столько	2	2
217	в прямом	1	2
218	тем не	2	2
219	для этого	1	2
220	этой области	1	2
221	в отношении	1	2
222	не менее	6	2
223	что эта	1	2
224	самого начала	3	2
225	считает что	1	2
226	дело не	3	2
227	одна из	2	2
228	к этим	1	2
229	не имеет	1	2
230	этот тип	1	2
231	никогда не	3	2
232	найти в	1	2
233	в русском	1	2
234	он хочет	1	2
235	существуют в	1	2
236	исторического процесса	1	2
237	начиная с	1	2
238	могут быть	2	2
239	к тому	2	2
240	не встречается	1	2
241	темы и	1	2
242	не совсем	1	2
243	с ее	3	2
244	в виду	2	2
245	каждый раз	1	2
246	с самого	3	2
247	что у	1	2
248	или в	2	2
249	времени и	4	2
250	здесь нет	2	2
251	во многом	7	2
252	это объясняется	1	2
253	внимание на	1	2
254	одного из	2	2
255	с одной	1	2
256	что его	2	2
257	от них	1	2
258	и других	3	2
259	движения в	1	2
260	все время	1	2
261	еще не	1	2
262	и ее	1	2
263	и у	2	2
264	него есть	2	2
265	то и	1	2
266	что если	1	2
267	при помощи	2	2
268	одно из	1	2
269	мы находим	2	2
270	вовсе не	5	2
271	должен был	1	2
272	заметить что	1	2
273	до сих	1	2
274	в ряде	1	2
275	себя и	1	2
276	что не	2	2
277	не на	1	2
278	ни на	3	2
279	вместе с	2	2
280	в одной	2	2
281	но не	3	2
282	не сразу	1	2
283	он чувствует	2	2
284	сих пор	1	2
285	это выражение	1	2
286	это был	1	2
287	является как	1	2
288	один из	4	2
289	его не	1	2
290	в духе	2	2
291	в интересах	1	2
292	только что	2	2
293	именно поэтому	1	2
294	все более	2	2
295	в стихах	2	2
296	одной из	4	2
297	в свою	7	2
298	этап в	1	2
299	быть назван	1	2
300	к сожалению	1	2
301	к этой	1	2
302	гораздо более	2	2
303	значения этого	1	1
304	как известно	1	1
305	в драматических	1	1
306	вряд ли	2	1
307	ту же	3	1
308	одним из	4	1
309	также и	1	1
310	они представляют	1	1
311	на самом	3	1
312	переход от	1	1
313	говорилось выше	1	1
314	в первом	2	1
315	по преимуществу	2	1
316	и до	1	1
317	был и	1	1
318	с темой	2	1
319	уже по	1	1
320	из всех	4	1
321	есть не	2	1
322	собой как	1	1
323	которой была	1	1
324	прямом смысле	1	1
325	уничтожить это	1	1
326	на себя	1	1
327	событий и	1	1
328	что можно	1	1
329	и он	2	1
330	с большим	1	1
331	указал в	2	1
332	и самим	1	1
333	проявляется в	1	1
334	идет за	1	1
335	между собой	1	1
336	к году	1	1
337	всего этого	1	1
338	этой почве	1	1
339	это означало	2	1
340	и среди	2	1
341	мышления как	1	1
342	и другие	3	1
343	к жизни	2	1
344	со всеми	3	1
345	не все	1	1
346	а и	1	1
347	котором говорилось	1	1
348	мы снова	1	1
349	и я	1	1
350	в истории	1	1
351	из уст	1	1
