1	в то же время	4	7
2	не говоря уже о	1	3
3	бы то ни было	1	2
4	человеческого присутствия в мире	1	2
5	с одной стороны и	2	2
6	в том числе и	1	2
7	в данном случае не	1	1
8	между автором и читателем	1	1
9	той или иной мере	1	1
10	под собою не чуя	2	1
11	живем под собою не	1	1
12	речь не идет о	1	1
13	состоит в том что	2	1
14	одних и тех же	1	1
15	себя в другом и	1	1
16	в другом и другого	1	1
17	другом и другого в	1	1
18	мы живем под собою	1	1
19	в той или иной	1	1
20	и другого в себе	1	1
21	субъекта объекта и адресата	1	1
22	было в том что	1	1
23	собою не чуя страны	2	1
