N	2gram	Tiupa_Disk_2	PoTuStor
1	может быть	16	17
2	и в	16	16
3	в этом	16	9
4	таким образом	1	9
5	и только	1	9
6	прежде всего	7	9
7	и с	2	8
8	точки зрения	4	8
9	и его	3	8
10	не может	9	8
11	с его	6	7
12	не только	10	7
13	сказать что	1	7
14	я и	4	6
15	самом деле	1	6
16	при этом	17	6
17	с точки	2	6
18	и это	2	6
19	для него	5	6
20	еще не	6	5
21	в чем	1	5
22	отношение к	2	5
23	все эти	3	5
24	сознание и	1	5
25	ни в	7	5
26	как бы	4	5
27	и ее	3	4
28	и на	5	4
29	отнюдь не	6	4
30	и наконец	3	4
31	но в	11	4
32	в этой	4	4
33	в нем	7	4
34	и может	3	4
35	его в	3	4
36	все это	2	4
37	самого начала	1	4
38	с ее	2	4
39	с самого	1	4
40	так и	9	4
41	можно сказать	3	4
42	в его	3	4
43	только в	3	4
44	для всех	1	4
45	и их	1	4
46	и даже	1	4
47	но и	11	4
48	и не	15	4
49	и все	3	4
50	тех же	1	3
51	во всех	1	3
52	и есть	1	3
53	и как	3	3
54	с их	2	3
55	на две	1	3
56	их в	2	3
57	на этом	1	3
58	реальности и	2	3
59	том что	10	3
60	в одном	4	3
61	по крайней	1	3
62	в основе	4	3
63	чем не	2	3
64	к себе	1	3
65	мира и	4	3
66	на язык	1	3
67	в конечном	1	3
68	крайней мере	1	3
69	в том	8	3
70	в большинстве	2	3
71	только на	1	3
72	большинстве случаев	1	3
73	всяком случае	1	3
74	в области	2	3
75	и др	1	3
76	вместе с	2	3
77	как это	1	3
78	могут быть	3	3
79	что в	5	3
80	в этих	3	3
81	а в	2	3
82	то что	5	3
83	между ними	1	3
84	жизни и	3	3
85	во всяком	1	3
86	же как	2	2
87	в самом	1	2
88	мы не	1	2
89	говорить о	2	2
90	того же	2	2
91	из этих	3	2
92	друг на	1	2
93	конечном счете	1	2
94	за пределы	1	2
95	в этот	1	2
96	он не	3	2
97	нашего времени	1	2
98	то же	6	2
99	по своему	1	2
100	в жизни	1	2
101	в них	3	2
102	как и	16	2
103	на первый	2	2
104	в своей	6	2
105	возникает в	1	2
106	не менее	7	2
107	два полюса	1	2
108	всей их	1	2
109	никогда не	2	2
110	таким путем	1	2
111	сводится к	2	2
112	что на	2	2
113	все то	1	2
114	не могут	1	2
115	на границе	1	2
116	т.е в	1	2
117	только то	1	2
118	в пределах	4	2
119	как с	1	2
120	по аналогии	1	2
121	для этого	1	2
122	с ним	1	2
123	является по	1	2
124	о том	4	2
125	аналогии с	1	2
126	что и	2	2
127	может иметь	2	2
128	один из	1	2
129	что он	2	2
130	и так	1	2
131	поэтому и	1	2
132	есть в	2	2
133	для меня	1	2
134	при всей	7	2
135	момент в	2	2
136	и т.п	12	2
137	оно не	1	2
138	себя и	1	2
139	на друга	1	2
140	не на	2	2
141	в одно	1	2
142	в частности	12	2
143	в мир	1	2
144	с этой	1	2
145	в свое	2	2
146	своей жизни	1	2
147	человеческого поведения	1	2
148	но это	3	2
149	к другим	1	2
150	и для	2	2
151	в голову	1	2
152	ни было	1	2
153	не есть	1	2
154	не знает	3	2
155	ее в	1	2
156	к этому	4	2
157	можно назвать	4	2
158	вырастает из	1	1
159	потом и	2	1
160	и то	4	1
161	это и	1	1
162	не имеют	1	1
163	в году	1	1
164	и могут	1	1
165	его не	1	1
166	всей ее	1	1
167	мы имеем	2	1
168	вопрос о	1	1
169	одних и	1	1
170	а для	1	1
171	я не	1	1
172	из того	1	1
173	но даже	1	1
174	целого в	1	1
175	в ней	2	1
176	а другие	1	1
177	он был	1	1
178	чего оно	1	1
179	не был	1	1
180	столь же	3	1
181	бы то	1	1
182	чем это	1	1
183	но не	7	1
184	отказ от	1	1
185	с совершенно	1	1
186	как со	1	1
187	право на	1	1
188	первый взгляд	2	1
189	в рамках	7	1
190	от содержания	1	1
191	некоторое время	1	1
192	все же	6	1
193	однако не	1	1
194	в полном	2	1
195	хотя и	1	1
196	когда он	1	1
197	к чему	1	1
198	уже не	3	1
199	лежит на	2	1
200	ни один	1	1
201	в нашем	1	1
202	значение так	1	1
203	сознания с	1	1
204	жизнь как	1	1
205	человек не	1	1
206	не следует	3	1
207	время и	1	1
208	но именно	1	1
209	объясняется его	1	1
210	различные формы	1	1
211	она впервые	1	1
212	свое время	2	1
213	подобно тому	2	1
214	человека в	4	1
215	то ни	1	1
216	различие между	1	1
217	в мире	11	1
218	той же	2	1
219	лишь в	1	1
220	входит в	2	1
221	на почве	2	1
222	форму и	1	1
223	еще одно	1	1
224	несмотря на	1	1
225	все моменты	1	1
226	жизни но	3	1
227	и разложения	1	1
228	мир в	1	1
229	и того	3	1
230	одного и	3	1
231	и еще	1	1
232	энергии в	1	1
233	искать в	1	1
234	но если	1	1
235	со своего	1	1
236	страха и	1	1
237	так называемого	1	1
238	в практике	1	1
239	с теми	1	1
240	в эпоху	1	1
241	дело в	2	1
242	одна из	1	1
243	в сущности	1	1
244	каждый день	1	1
245	в самых	1	1
246	и всегда	1	1
247	ничего не	1	1
248	обратим внимание	1	1
249	всего на	1	1
250	во всем	1	1
251	мире и	3	1
252	к этим	1	1
253	и со	1	1
254	с телом	1	1
255	отличается от	1	1
256	к тому	1	1
257	той или	3	1
258	она не	1	1
259	в применении	1	1
260	опираясь на	1	1
261	году в	1	1
262	ни одно	2	1
263	данном случае	6	1
264	характер и	1	1
265	в себя	2	1
266	приводит к	3	1
267	роль в	4	1
268	и что	1	1
269	ее жизнь	1	1
270	например о	1	1
271	и сам	1	1
272	что может	1	1
273	в другом	3	1
274	времени и	2	1
275	отсюда и	2	1
276	еще в	3	1
277	своего происхождения	1	1
278	остановимся на	1	1
279	мы живем	1	1
280	в разных	1	1
281	основания предполагать	1	1
282	о ней	1	1
283	о нем	1	1
284	часто и	1	1
285	и здесь	1	1
286	и т.д	1	1
287	имеем дело	1	1
288	внимание на	1	1
289	говорит об	2	1
290	построений лежит	1	1
291	не позволяет	1	1
292	нас в	1	1
293	сознанием не	1	1
294	с нами	1	1
295	на одном	1	1
296	не более	2	1
297	быть ничего	1	1
298	во внешнем	1	1
299	происходит только	1	1
300	и мир	1	1
301	себя с	2	1
302	получает возможность	1	1
303	жизнь с	1	1
304	каждый момент	1	1
305	к их	2	1
306	а часто	1	1
307	может оказаться	1	1
308	о смерти	1	1
309	об их	1	1
310	с одной	4	1
311	в качестве	16	1
312	себя в	6	1
313	же и	1	1
314	оказывается в	1	1
315	и они	1	1
316	не дает	1	1
317	ним и	1	1
318	вовсе не	1	1
319	не случайно	1	1
320	случае не	1	1
321	не говорит	1	1
322	этом отношении	4	1
323	свое обычное	1	1
324	в любви	1	1
325	внутреннего мира	1	1
326	ядро и	1	1
327	таких построений	1	1
328	со стороны	10	1
329	или иной	3	1
330	и эмоционально	1	1
331	с другой	5	1
