N	3gram	Tiupa_Teor_1	Formalny
1	с точки зрения	3	13
2	то же время	5	8
3	в то же	5	8
4	более или менее	2	6
5	в свою очередь	2	6
6	не может быть	4	5
7	по отношению к	4	4
8	с одной стороны	2	4
9	бы то ни	1	3
10	может быть и	2	3
11	соединении с художественной	1	2
12	именно в нем	1	2
13	в большинстве случаев	1	2
14	химическом соединении с	1	2
15	но в то	1	2
16	в связи с	1	2
17	в целом ряде	1	2
18	того или иного	3	2
19	не сводится к	4	2
20	не только не	2	2
21	в химическом соединении	1	2
22	в художественном произведении	1	2
23	друг от друга	1	2
24	сама по себе	1	2
25	и глубже чем	1	1
26	входит в состав	1	1
27	состоит в том	5	1
28	всех без исключения	3	1
29	с художественной идеологемой	1	1
30	друг другу и	1	1
31	как один из	1	1
32	ни были они	1	1
33	в этом смысле	2	1
34	так и не	4	1
35	и свою собственную	1	1
36	смысле можно говорить	1	1
37	как художественное целое	1	1
38	тот или иной	2	1
39	при этом не	1	1
40	можно говорить о	1	1
41	в том что	8	1
42	том числе и	1	1
43	и без остатка	1	1
44	в противном случае	1	1
45	со всех сторон	1	1
46	литературного произведения в	1	1
47	произведения в ее	1	1
48	не могло быть	2	1
49	на нее как	1	1
50	и исторической поэтики	1	1
51	во внутренней речи	1	1
52	в данном случае	5	1
53	произведения искусства как	1	1
54	то ни было	1	1
55	во внешнем мире	1	1
56	и в то	1	1
57	и в пределах	1	1
58	в отличие от	6	1
59	так или иначе	4	1
60	с другой стороны	5	1
61	так же как	1	1
62	все то что	1	1
63	но не с	1	1
64	в нашем примере	1	1
65	та или иная	1	1
66	в самом начале	2	1
67	и тем самым	2	1
68	глубже чем это	1	1
69	теоретической и исторической	1	1
70	заключается в том	1	1
71	каждой из них	1	1
72	со стилями других	1	1
73	в том числе	2	1
74	к тому что	2	1
75	тех или иных	3	1
76	в отношении к	1	1
77	тем не менее	3	1
78	этом смысле можно	1	1
79	по своей природе	2	1
80	в более или	1	1
