N	3gram	Savitsky_E_1	RusskieA
1	в том что	6	15
2	и т д	1	9
3	в связи с	1	4
4	к тому что	1	4
5	как и другие	1	3
6	с точки зрения	16	3
7	мы не можем	1	3
8	и в другие	1	3
9	что в этом	1	2
10	свой народ и	3	2
11	в течение года	1	2
12	в западной европе	1	2
13	может быть и	1	2
14	в других случаях	1	2
15	друг к другу	1	2
16	в свою очередь	2	2
17	в большинстве случаев	2	2
18	во многих случаях	1	2
19	так обстояло дело	1	2
20	рождества христова и	1	1
21	хотя и не	1	1
22	рождества христова в	1	1
23	еще далеко не	1	1
24	из всего этого	1	1
25	в ближайшем будущем	1	1
26	сказать что в	2	1
27	и того же	1	1
28	в противном случае	1	1
29	в тех случаях	1	1
30	как это имело	1	1
31	как будто нет	1	1
32	вероятно что в	1	1
33	же как и	3	1
34	и не только	1	1
35	имело место при	1	1
36	т е до	1	1
37	и та же	1	1
38	в этом отношении	3	1
39	независимо от того	1	1
40	можно было бы	3	1
41	на этот вопрос	1	1
42	что в течение	1	1
43	можно думать что	3	1
44	и в своем	1	1
45	не только в	4	1
46	в отличие от	1	1
47	и в этом	4	1
48	во всех этих	1	1
49	которые можно было	1	1
50	западной европы в	2	1
51	во многих отношениях	1	1
52	во всяком случае	3	1
53	одна и та	1	1
54	так же как	5	1
55	же все эти	1	1
56	и все другие	2	1
57	не означает что	1	1
58	в то время	1	1
59	в одном из	2	1
60	с тем что	1	1
61	можно сказать что	3	1
62	не более как	1	1
63	можно рассматривать как	1	1
64	на то что	2	1
65	одного и того	1	1
66	во второй половине	2	1
67	совершенно очевидно что	1	1
68	тех случаях когда	1	1
69	что в этот	1	1
70	из составных частей	1	1
71	друг с другом	3	1
72	приводит нас к	2	1
73	это имело место	1	1
74	главным образом из	1	1
75	только тогда когда	1	1
76	мы увидим что	1	1
77	из западной европы	3	1
78	в данном случае	2	1
79	как мы видели	2	1
