N	3gram	Vygotskiy__3	EvropaiC
1	в том что	11	16
2	до сих пор	5	12
3	с точки зрения	9	8
4	а между тем	1	7
5	на самом деле	2	7
6	более или менее	1	7
7	мы знаем что	1	7
8	на то что	12	7
9	мы говорили выше	1	6
10	для того чтобы	8	6
11	в самом деле	18	5
12	по сравнению с	1	5
13	которых мы говорили	2	4
14	сих пор не	1	4
15	том случае если	1	4
16	в том случае	1	4
17	может быть и	1	4
18	к тому же	1	4
19	с другой стороны	5	4
20	не может быть	1	4
21	о том что	3	4
22	тот факт что	1	4
23	о которых мы	5	4
24	и то что	3	3
25	в данном случае	2	3
26	в целом ряде	1	3
27	заключается в том	6	3
28	которые вытекают из	1	2
29	в том виде	1	2
30	и может быть	1	2
31	в том и	1	2
32	как и все	1	2
33	только то что	2	2
34	он не может	1	2
35	заключает в себе	1	2
36	вместе с тем	2	2
37	с одной стороны	5	2
38	а с другой	1	2
39	во всяком случае	2	2
40	указывают на то	1	2
41	что несмотря на	1	2
42	между этими двумя	1	2
43	в свою очередь	2	2
44	и в течение	1	2
45	но все же	1	2
46	не более как	1	2
47	мы все же	1	2
48	что до сих	1	2
49	так что с	1	1
50	станет для нас	1	1
51	есть не более	1	1
52	мы уже говорили	3	1
53	указание на то	1	1
54	того что в	1	1
55	и то же	2	1
56	то время как	2	1
57	это было бы	1	1
58	так что в	1	1
59	никак не может	1	1
60	то же самое	8	1
61	все та же	1	1
62	вступить в противоречие	1	1
63	случае мы можем	1	1
64	и тем больше	1	1
65	они не могут	1	1
66	в котором они	1	1
67	между тем в	2	1
68	только в том	2	1
69	в лучшем случае	2	1
70	в зависимости от	1	1
71	что все эти	1	1
72	именно в тех	1	1
73	таким образом все	1	1
74	все же все	1	1
75	и если бы	1	1
76	совершенно ясно что	5	1
77	на каждом шагу	1	1
78	это имеет место	2	1
79	правильнее было бы	1	1
80	будем признать что	1	1
81	одно и то	2	1
82	уже говорили что	1	1
83	мы уже указали	1	1
84	по одному пути	1	1
85	что все они	1	1
86	как все они	1	1
87	может быть не	2	1
88	в противоречие с	1	1
89	таким образом и	1	1
90	в высшей степени	1	1
91	в один из	2	1
92	том что как	1	1
93	состоит в том	1	1
94	все эти слова	1	1
95	каждый из них	1	1
96	что в таком	1	1
97	во всех отношениях	1	1
98	в себе больше	1	1
99	не в том	2	1
100	на основании этих	1	1
101	себя как на	1	1
102	что с каждым	1	1
103	и все прочие	2	1
104	том что они	1	1
105	что у него	2	1
106	я не могу	2	1
107	а на самом	1	1
108	и той же	1	1
109	все то что	6	1
110	образом мы видим	2	1
111	целом ряде случаев	1	1
112	в тех случаях	1	1
113	которая вытекает из	1	1
114	а в том	1	1
115	и все же	1	1
116	в силу общих	1	1
117	на наших глазах	2	1
118	таким образом мы	1	1
119	то для того	1	1
120	в то время	2	1
121	хотя бы в	1	1
122	смысле этого слова	2	1
123	и что следовательно	1	1
124	с самого начала	6	1
125	не только не	1	1
126	и что все	1	1
127	что это есть	1	1
128	по его мнению	1	1
129	в течение своей	1	1
130	мы видели что	2	1
131	что именно этот	1	1
132	к тому что	2	1
133	мы видим что	7	1
134	одной и той	1	1
135	самом деле если	1	1
136	как мы видели	2	1
137	не считаясь с	1	1
138	что так как	1	1
139	том что оно	1	1
140	и в другом	2	1
