N	3gram	Propp_Isto_7	KFilosof
1	по отношению к	1	21
2	не может быть	3	11
3	с точки зрения	1	10
4	в нем и	1	3
5	но все эти	1	3
6	бы то ни	1	2
7	здесь мы имеем	2	2
8	то ни было	1	2
9	во всех этих	6	2
10	один и тот	1	2
11	вопрос о том	1	2
12	для нее в	1	2
13	тем не менее	4	2
14	в том что	4	2
15	а не в	1	2
16	и тот же	1	2
17	даже там где	2	1
18	всех этих случаях	6	1
19	же не может	1	1
20	между прочим и	2	1
21	и может быть	1	1
22	и есть момент	1	1
23	в один момент	1	1
24	там где оно	1	1
25	он не может	1	1
26	как если бы	1	1
27	но все это	1	1
28	только в том	1	1
29	в зависимости от	1	1
30	и та же	1	1
31	независимо от того	1	1
32	но это не	2	1
33	и одна из	1	1
34	может быть распространено	1	1
35	и не в	1	1
36	вместе с тем	1	1
37	ту или иную	1	1
38	здесь мы видим	1	1
39	мы должны видеть	1	1
40	все это в	1	1
41	лежит в основе	2	1
42	что в эту	1	1
43	в иной мир	1	1
44	она требует чтобы	1	1
45	одна и та	1	1
46	в противоречие с	1	1
47	мы не можем	2	1
48	но не по	1	1
49	противоречит то что	1	1
50	прочим и в	1	1
51	не в этом	1	1
52	все в этом	1	1
53	во второй половине	1	1
54	в большинстве случаев	1	1
55	к тому что	1	1
56	конечно не в	1	1
57	дело не в	3	1
58	а именно в	1	1
59	мы имеем здесь	1	1
60	что и в	2	1
61	то же самое	1	1
62	на том что	1	1
