N	2gram	Medvedev_U_1	Tragedij
1	и в	14	18
2	в этом	7	9
3	не только	10	8
4	и с	2	7
5	может быть	6	7
6	и не	8	7
7	но в	3	6
8	же время	3	6
9	что он	2	6
10	у него	1	6
11	то же	5	5
12	все же	3	5
13	это не	3	5
14	как и	3	5
15	в то	3	5
16	так и	1	5
17	не может	7	5
18	в себе	2	4
19	в этой	4	4
20	в нем	1	4
21	об этом	1	4
22	том что	2	4
23	и что	1	4
24	но и	4	4
25	и даже	1	4
26	прежде всего	8	4
27	но это	2	4
28	все это	5	4
29	что в	1	4
30	и все	1	4
31	то что	7	4
32	отнюдь не	1	3
33	в своем	1	3
34	то есть	1	3
35	должно быть	1	3
36	что с	1	3
37	о чем	2	3
38	в его	2	3
39	для него	3	3
40	в конце	2	3
41	вряд ли	3	2
42	из самых	1	2
43	она все	1	2
44	а как	2	2
45	никогда не	1	2
46	и то	3	2
47	он был	1	2
48	с его	2	2
49	ее к	1	2
50	в самом	2	2
51	бы и	2	2
52	то и	1	2
53	он не	1	2
54	что она	2	2
55	что все	2	2
56	к области	2	2
57	с тем	1	2
58	не в	2	2
59	что этот	1	2
60	не могут	2	2
61	он и	1	2
62	и это	1	2
63	данном случае	1	2
64	ничего не	2	2
65	о том	1	2
66	что и	2	2
67	в том	2	2
68	по мнению	1	2
69	уже не	1	2
70	в виде	1	2
71	не случайно	2	2
72	тем что	2	2
73	только к	3	2
74	до конца	1	2
75	в данном	1	2
76	она должна	1	2
77	еще раз	1	2
78	это уже	2	2
79	состоит из	1	2
80	в частности	3	2
81	в таком	1	2
82	а между	2	1
83	одним из	2	1
84	в сфере	1	1
85	человека и	1	1
86	сам по	1	1
87	и др	1	1
88	самом деле	2	1
89	прием и	2	1
90	сам автор	1	1
91	должна быть	2	1
92	объясняется и	1	1
93	той же	1	1
94	не меньшей	1	1
95	не вполне	1	1
96	в виду	1	1
97	затем он	1	1
98	в ней	1	1
99	литературы и	2	1
100	быть в	1	1
101	и служит	1	1
102	это же	1	1
103	но не	2	1
104	отказ от	1	1
105	в противовес	2	1
106	к проблемам	1	1
107	за пределы	1	1
108	к сожалению	3	1
109	в которой	1	1
110	он в	1	1
111	перестает быть	5	1
112	не значит	1	1
113	не как	3	1
114	в россии	4	1
115	ориентация на	1	1
116	таким образом	2	1
117	же не	2	1
118	был первым	1	1
119	это было	2	1
120	претензии на	1	1
121	быть не	1	1
122	а это	1	1
123	из первых	1	1
124	достоевского и	1	1
125	что ему	1	1
126	этого не	1	1
127	со своими	1	1
128	и вне	1	1
129	же ведь	1	1
130	но если	1	1
131	в своей	3	1
132	и взятого	1	1
133	как искусство	1	1
134	почти не	1	1
135	в котором	1	1
136	именно такую	1	1
137	не столько	2	1
138	и некоторыми	1	1
139	но он	1	1
140	речи в	1	1
141	по себе	2	1
142	мне ужасно	1	1
143	так он	1	1
144	она не	1	1
145	того как	1	1
146	в области	3	1
147	по нашему	3	1
148	могут быть	2	1
149	и т.д	3	1
150	всего что	1	1
151	не есть	2	1
152	что при	1	1
153	начала и	1	1
154	ничего подобного	1	1
155	вот почему	7	1
156	все в	1	1
157	между тем	2	1
158	говорит он	1	1
159	того что	1	1
160	простое как	1	1
161	только в	2	1
162	от самых	1	1
163	с одной	1	1
164	одно из	1	1
165	не для	1	1
166	быть по	1	1
167	и возвращается	1	1
168	пафос его	1	1
169	даже не	1	1
170	не было	1	1
171	нашему мнению	3	1
172	а не	10	1
173	его как	1	1
174	главное главное	1	1
175	этом случае	1	1
176	широкое развитие	1	1
177	себя на	1	1
178	более чем	2	1
179	и потому	1	1
180	в той	1	1
181	смысле этого	2	1
182	при таком	2	1
183	о нем	1	1
184	и простое	1	1
185	бы в	1	1
186	конце концов	2	1
187	хотя бы	5	1
188	еще ничего	2	1
189	гораздо больше	1	1
190	в период	1	1
191	сколько угодно	2	1
192	что под	1	1
193	и эта	1	1
194	это в	1	1
