N	2gram	Losev_Dial_1	VerxiiNi
1	и в	18	26
2	таким образом	1	22
3	в этом	12	15
4	вместе с	1	15
5	точки зрения	17	13
6	как бы	11	12
7	в том	9	11
8	из этих	2	10
9	не только	13	10
10	и с	5	10
11	может быть	17	10
12	связи с	1	9
13	так как	11	9
14	но и	7	9
15	что в	13	9
16	но не	4	8
17	главным образом	1	8
18	и у	2	8
19	с другой	6	8
20	и не	30	8
21	но в	6	7
22	связанные с	2	7
23	но все	3	7
24	из них	2	7
25	том что	9	7
26	потому что	14	7
27	в эпоху	2	7
28	к нему	8	7
29	с одной	2	7
30	то что	13	7
31	а с	2	7
32	одной стороны	2	7
33	представление о	1	6
34	все же	5	6
35	все эти	2	6
36	в себе	11	6
37	всяком случае	2	6
38	с точки	12	6
39	в отношении	5	6
40	к тому	4	6
41	так и	9	6
42	о том	4	6
43	в конце	4	6
44	что и	3	6
45	несмотря на	10	6
46	и потому	3	6
47	все это	11	6
48	мы должны	5	6
49	во всяком	4	6
50	отношение к	5	5
51	сих пор	2	5
52	и к	1	5
53	тому же	2	5
54	в силу	1	5
55	в мире	2	5
56	или менее	3	5
57	по крайней	4	5
58	не имеет	15	5
59	того чтобы	1	5
60	никогда не	9	5
61	с другом	1	5
62	для того	2	5
63	в его	3	5
64	богов и	1	5
65	крайней мере	4	5
66	до сих	2	5
67	а не	14	5
68	друг с	1	5
69	и для	2	5
70	так же	4	5
71	более или	3	5
72	в котором	4	4
73	то же	10	4
74	в самом	3	4
75	учение о	11	4
76	в этой	1	4
77	и по	1	4
78	что все	1	4
79	то есть	1	4
80	с другими	2	4
81	он не	3	4
82	далеко не	1	4
83	и тогда	2	4
84	в которых	2	4
85	в то	6	4
86	очень мало	2	4
87	в нем	16	4
88	а в	5	4
89	что оно	5	4
90	и что	12	4
91	и только	1	4
92	только в	3	4
93	и вместе	1	4
94	ничем не	3	4
95	не может	12	4
96	и от	2	4
97	в этих	5	4
98	что он	11	4
99	в виде	2	4
100	же как	2	3
101	к богу	3	3
102	если в	3	3
103	в своем	5	3
104	когда он	1	3
105	и как	7	3
106	в которой	1	3
107	что это	11	3
108	так или	1	3
109	и если	1	3
110	при этом	1	3
111	всегда и	3	3
112	и при	2	3
113	оказывается что	1	3
114	тем не	1	3
115	если бы	12	3
116	не менее	2	3
117	как о	2	3
118	и о	3	3
119	но по	1	3
120	уже с	1	3
121	с самого	1	3
122	культуры и	1	3
123	на нее	1	3
124	ясно что	8	3
125	можно сказать	6	3
126	того что	2	3
127	но с	3	3
128	хотя бы	6	3
129	в качестве	2	3
130	так что	15	3
131	из которого	1	3
132	уже не	2	3
133	что эти	1	3
134	для него	2	3
135	к ним	2	3
136	случае не	3	3
137	и даже	13	3
138	или иначе	1	3
139	с ней	2	3
140	и богов	1	3
141	в связи	1	3
142	каждая из	1	3
143	с этой	2	3
144	в результате	1	3
145	у них	3	3
146	конце концов	3	3
147	и другие	1	3
148	к этому	2	3
149	в таком	1	3
150	точно так	2	3
151	без сновидений	1	2
152	явлений природы	2	2
153	и это	2	2
154	и больше	2	2
155	его не	6	2
156	мы имеем	2	2
157	грань между	2	2
158	еще не	2	2
159	во всех	1	2
160	в создании	1	2
161	различия между	1	2
162	бытие есть	1	2
163	силы и	1	2
164	или иное	3	2
165	на небе	1	2
166	относится к	2	2
167	общего с	5	2
168	что именно	2	2
169	стихии и	1	2
170	и наконец	1	2
171	еще на	1	2
172	на то	5	2
173	не могла	1	2
174	из этой	1	2
175	не к	1	2
176	не как	2	2
177	людей и	1	2
178	к другу	2	2
179	них не	1	2
180	с целью	1	2
181	в них	3	2
182	не всегда	1	2
183	но если	5	2
184	и сейчас	2	2
185	с идеей	1	2
186	выбор между	1	2
187	с самых	1	2
188	взгляд на	1	2
189	которые в	1	2
190	не в	6	2
191	иной раз	2	2
192	вплоть до	3	2
193	самого начала	1	2
194	в разных	3	2
195	больше чем	1	2
196	же время	4	2
197	и является	2	2
198	так например	1	2
199	этом отношении	2	2
200	ли это	3	2
201	не потому	1	2
202	не могут	1	2
203	те и	1	2
204	отличается от	2	2
205	той или	7	2
206	утверждать что	3	2
