N	4gram	Voloshinov_1	KulturaY
1	в то же время	7	3
2	в таких словах как	1	1
3	не что иное как	2	1
4	иметь в виду что	1	1
5	само по себе не	1	1
6	можно было бы говорить	1	1
7	одной и той же	2	1
8	же и здесь мы	1	1
9	но для того чтобы	2	1
10	одном и том же	1	1
11	если бы нам удалось	1	1
12	еще не слова в	1	1
13	и в голову не	1	1
14	все же и здесь	1	1
15	в самом ли деле	1	1
16	в зависимости от того	2	1
17	в самом широком смысле	1	1
18	в одном и том	1	1
19	в связи с этим	2	1
20	которое не было бы	1	1
21	есть не что иное	2	1
