N	2gram	Propp_Isto_4	VLabPisa
1	таким образом	10	27
2	в этом	7	26
3	и в	26	25
4	и т	27	24
5	не только	15	22
6	может быть	14	21
7	хотя бы	2	20
8	и не	9	19
9	не может	6	17
10	т е	18	17
11	т д	24	15
12	в его	5	15
13	в том	3	13
14	прежде всего	1	13
15	в частности	2	12
16	как это	3	12
17	все это	2	12
18	в силу	5	11
19	с другой	4	11
20	из них	2	11
21	в качестве	7	10
22	не могут	2	10
23	о том	4	10
24	то же	8	9
25	что в	14	9
26	об этом	7	9
27	но и	12	9
28	и др	5	9
29	к этому	5	9
30	в своем	2	8
31	все эти	3	8
32	не следует	1	8
33	другой стороны	4	8
34	могут быть	6	8
35	говорит и	1	8
36	во всех	1	7
37	из этих	3	7
38	было бы	2	7
39	как и	7	7
40	том что	3	7
41	говорит о	2	7
42	не было	1	7
43	а не	6	7
44	вместе с	6	7
45	же в	3	7
46	это и	5	6
47	в зависимости	1	6
48	в себе	2	6
49	в нем	2	6
50	главным образом	2	6
51	это не	5	6
52	их в	7	6
53	и его	10	6
54	в то	1	6
55	так и	10	6
56	у него	5	6
57	в основном	1	6
58	то что	16	6
59	одним из	1	5
60	и есть	2	5
61	зависимости от	1	5
62	очевидно что	1	5
63	как говорит	1	5
64	все же	9	5
65	в пределах	1	5
66	и при	3	5
67	не в	5	5
68	тому что	1	5
69	связи с	3	5
70	на основе	1	5
71	приводит к	1	5
72	он же	2	5
73	один из	1	5
74	он говорит	2	5
75	как бы	3	5
76	в результате	1	5
77	сказать что	2	5
78	только в	3	5
79	их и	1	4
80	в этой	2	4
81	вот как	2	4
82	перед нами	3	4
83	когда он	6	4
84	в целом	2	4
85	них не	1	4
86	в них	1	4
87	даже в	4	4
88	одна из	2	4
89	никогда не	2	4
90	вот почему	1	4
91	к тому	1	4
92	для его	1	4
93	утверждать что	1	4
94	это только	1	4
95	можно сказать	1	4
96	и подобных	1	4
97	показывают что	2	4
98	с ними	5	4
99	что он	10	4
100	в нашей	1	4
101	в одном	5	4
102	как раз	1	4
103	в связи	2	4
104	в своей	4	4
105	например в	3	3
106	в котором	1	3
107	из его	1	3
108	др в	1	3
109	и он	3	3
110	в которых	4	3
111	видели что	3	3
112	но как	1	3
113	что они	6	3
