N	3gram	Tiupa_Anal_2	Marksizm
1	с точки зрения	2	13
2	не может быть	1	10
3	по отношению к	4	8
4	то же время	2	8
5	в то же	2	8
6	в связи с	1	7
7	в том что	6	6
8	в самом деле	1	5
9	то же самое	1	5
10	в свою очередь	1	5
11	в отношении к	1	4
12	той или иной	3	4
13	если бы он	1	3
14	в таком случае	2	3
15	в отличие от	2	3
16	одно и то	1	3
17	с одной стороны	4	3
18	и то же	1	3
19	о том что	6	3
20	к тому что	1	3
21	бы он был	1	2
22	в системе языка	1	2
23	в противном случае	1	2
24	одним и тем	1	2
25	более или менее	1	2
26	того или иного	3	2
27	но и в	1	2
28	по крайней мере	3	2
29	отнюдь не является	1	2
30	в значительной степени	2	2
31	и тем же	1	2
32	на то что	2	2
33	в данном контексте	1	2
34	выходят за пределы	1	2
35	к тому же	4	2
36	но и все	1	1
37	в основном соответствует	1	1
38	в сочетании с	7	1
39	что иное как	1	1
40	место лишь в	1	1
41	отношению к которым	1	1
42	в нашем понимании	2	1
43	к другому в	1	1
44	в соответствии с	2	1
45	было не так	1	1
46	в этом случае	4	1
47	бы независимо от	1	1
48	до известной степени	1	1
49	есть в сущности	1	1
50	сами по себе	1	1
51	в первую очередь	1	1
52	же слова часто	1	1
53	в этом отношении	3	1
54	к тому или	1	1
55	обращаясь к нему	1	1
56	которого только и	1	1
57	одна из них	1	1
58	несмотря на то	1	1
59	так или иначе	1	1
60	и тогда когда	1	1
61	не только его	1	1
62	в данный момент	1	1
63	не только в	2	1
64	же самое что	1	1
65	в сущности это	1	1
66	а как бы	1	1
67	тем не менее	3	1
68	это было не	1	1
69	во всех этих	1	1
70	приводит к тому	1	1
71	с другой стороны	2	1
72	не совпадает с	1	1
73	внешней и внутренней	1	1
74	как бы не	1	1
75	лишь одной из	1	1
76	бы это было	1	1
77	в себе не	1	1
78	но отнюдь не	1	1
79	в конечном счете	2	1
80	ни одна из	1	1
81	не что иное	1	1
82	не менее в	1	1
83	можно сказать что	1	1
84	тому или иному	1	1
85	может быть признано	1	1
86	друг с другом	1	1
87	в противоречие с	1	1
88	свидетельствует о том	1	1
89	всех этих случаях	1	1
90	с той или	2	1
91	как и в	3	1
92	и все его	1	1
