N	3gram	Losev_Prob_5	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	3	7
3	с точки зрения	8	6
4	во всяком случае	2	6
5	в том числе	2	5
6	до сих пор	2	5
7	по крайней мере	4	5
8	а с другой	3	5
9	для того чтобы	2	5
10	о том что	9	4
11	том числе и	1	4
12	и вместе с	1	4
13	но все же	2	4
14	к тому же	1	4
15	так или иначе	1	3
16	а так как	1	3
17	точно так же	3	3
18	в конце концов	6	3
19	в связи с	7	3
20	и таким образом	1	3
21	тем не менее	5	3
22	в том что	8	3
23	таким образом если	1	2
24	и потому что	1	2
25	друг на друга	1	2
26	в этом отношении	1	2
27	и для того	1	2
28	в значительной мере	2	2
29	с тех пор	1	2
30	с этой точки	1	2
31	то или иное	1	2
32	то ни было	1	2
33	бы то ни	2	2
34	то же время	1	2
35	этой точки зрения	1	2
36	с самого начала	1	2
37	той или иной	1	2
38	можно сказать что	3	2
39	на то что	2	2
40	в то же	1	2
41	и в этом	1	2
42	и все же	1	1
43	так и остается	1	1
44	состоит в том	1	1
45	чуть ли не	1	1
46	по отношению к	2	1
47	в самом деле	1	1
48	в настоящее время	3	1
49	свидетельствует о том	1	1
50	крайней мере в	1	1
51	о том как	1	1
52	важно то что	1	1
53	людей но и	1	1
54	в таком случае	2	1
55	к этому что	1	1
56	и состоит из	1	1
57	таким образом уже	1	1
58	в данном случае	2	1
59	не потому что	1	1
60	для людей но	2	1
61	но в то	1	1
62	представление о богах	1	1
63	тот факт что	1	1
64	на задний план	1	1
65	или по крайней	1	1
66	не только как	1	1
67	указывает на то	1	1
68	ни в кого	1	1
69	еще и потому	1	1
70	с другой стороны	5	1
71	с богами и	1	1
72	мы и находим	1	1
73	здесь таким образом	1	1
74	не может быть	2	1
75	но тем не	1	1
76	похожи друг на	1	1
77	в то время	3	1
78	так и в	1	1
79	и что она	1	1
80	это и есть	1	1
81	и никогда не	2	1
82	и превращается в	1	1
83	после того как	3	1
84	только тогда когда	3	1
85	на этой точке	1	1
