N	2gram	Potebnia_M_4	Sovremen
1	не может	11	17
2	может быть	26	12
3	точки зрения	4	12
4	таким образом	24	11
5	мы не	8	9
6	в каждом	3	8
7	в этом	23	7
8	не можем	5	7
9	и в	23	7
10	каждый раз	4	6
11	мы можем	10	6
12	ничего не	1	6
13	как и	14	6
14	и не	18	6
15	все эти	3	5
16	что же	5	5
17	прежде всего	1	5
18	с точки	3	5
19	вопрос о	2	4
20	зависимости от	1	4
21	нет и	1	4
22	мы должны	2	4
23	в том	23	4
24	если мы	2	4
25	из них	1	4
26	же это	1	4
27	так как	14	4
28	мы видели	1	4
29	не только	10	4
30	в развитии	1	4
31	как бы	5	4
32	вместе с	6	4
33	это не	7	4
34	их в	3	4
35	а в	5	4
36	жизни и	1	4
37	ли мы	1	3
38	он может	1	3
39	в первом	3	3
40	с самого	1	3
41	то же	14	3
42	ясно что	1	3
43	но мы	2	3
44	может не	1	3
45	видели что	1	3
46	все же	1	3
47	еще не	3	3
48	но в	8	3
49	он в	1	3
50	в этой	1	3
51	в себе	14	3
52	уже в	5	3
53	мы получим	1	3
54	в наших	2	3
55	что она	2	3
56	в одном	4	3
57	в нем	7	3
58	при этом	15	3
59	из двух	1	3
60	и мы	5	3
61	было бы	8	3
62	а не	12	3
63	так называемых	3	3
64	и потому	10	3
65	мы называем	1	3
66	этим мы	1	3
67	не в	11	3
68	все это	5	3
69	самого начала	2	3
70	при таком	1	3
71	не подлежит	1	3
72	а все	1	3
73	для нас	14	3
74	и все	4	3
75	у нас	2	3
76	состоит из	1	3
77	и к	6	3
78	когда мы	6	3
79	следующим образом	1	3
80	в области	2	3
81	как мы	2	2
82	ли оно	1	2
83	свою очередь	1	2
84	и есть	3	2
85	тем же	1	2
86	роль в	1	2
87	той же	3	2
88	времени и	1	2
89	на этом	1	2
90	из одного	3	2
91	и даже	2	2
92	говорить о	5	2
93	говорим о	1	2
94	настоящее время	1	2
95	и что	7	2
96	и во	1	2
97	подлежит сомнению	1	2
98	самом деле	3	2
99	в его	5	2
100	может иметь	2	2
101	с этим	7	2
102	дает нам	1	2
103	развития но	1	2
104	быть и	2	2
105	только один	1	2
106	в самом	3	2
107	по мнению	1	2
108	в которой	6	2
109	или же	1	2
110	что это	7	2
111	в нашем	2	2
112	из этих	2	2
113	с одной	1	2
114	и они	2	2
115	уже не	3	2
116	то и	4	2
117	так сказать	5	2
118	в виде	2	2
119	на его	3	2
120	тем не	4	2
121	который как	1	2
122	всяком случае	3	2
123	у него	1	2
124	и по	3	2
125	отличие от	1	2
126	ее на	1	2
127	но все	1	2
128	что все	4	2
129	значение в	1	2
130	на этот	2	2
