N	4gram	Bakhtin_fo_1	Problemy
1	в то же время	6	10
2	к себе самому и	1	4
3	в той или иной	1	4
4	но в то же	1	4
5	себе самому и к	1	4
6	одно и то же	3	3
7	самому и к другому	1	3
8	как мы уже говорили	3	2
9	на протяжении всего романа	1	2
10	той или иной степени	1	2
11	и в то же	4	2
12	дело в том что	2	1
13	одних и тех же	2	1
14	бы он ни был	1	1
15	одного и того же	5	1
16	с самим собою в	1	1
17	и прежде всего в	1	1
18	в то время как	2	1
19	ни в чем не	2	1
20	все более и более	1	1
21	вполне понятно что в	2	1
22	то же время он	1	1
23	или во всяком случае	1	1
24	каков бы он ни	1	1
