N	2gram	Vinokur_St_1	Hudozhes
1	и в	44	28
2	том что	29	19
3	и не	16	18
4	в ее	4	18
5	своего рода	3	16
6	в том	36	15
7	а не	16	14
8	не в	12	13
9	в этом	21	13
10	о том	17	12
11	как и	9	11
12	в его	9	11
13	при этом	2	11
14	не только	18	11
15	перед нами	1	11
16	уже не	1	10
17	в себе	2	9
18	но и	10	9
19	так и	9	8
20	между тем	3	8
21	о чем	1	8
22	себя в	1	8
23	может быть	15	8
24	что он	10	8
25	отношению к	3	7
26	и все	2	7
27	как это	4	7
28	об этом	3	7
29	к тому	1	7
30	по отношению	3	7
31	я не	7	7
32	в частности	4	7
33	что она	4	7
34	и с	3	6
35	можно сказать	1	6
36	жизни и	5	6
37	для себя	3	6
38	в котором	5	6
39	не было	4	6
40	в своей	6	6
41	казалось бы	1	6
42	а в	17	6
43	это не	8	6
44	то что	18	6
45	в то	9	6
46	тем что	5	6
47	то же	5	6
48	в глазах	1	6
49	если бы	9	6
50	не могла	2	5
51	не менее	5	5
52	что это	4	5
53	и другие	1	5
54	у него	2	5
55	одно из	2	5
56	что в	30	5
57	в тексте	12	5
58	для него	6	5
59	в своем	2	5
60	и его	8	5
61	да и	3	5
62	она не	2	5
63	ничего не	2	5
64	его жизни	3	5
65	в этой	11	5
66	в самом	7	5
67	с его	1	5
68	и сам	2	5
69	никогда не	5	5
70	как в	13	5
71	как бы	4	5
72	говорит о	3	4
73	что они	7	4
74	не может	8	4
75	как раз	4	4
76	того чтобы	11	4
77	а между	1	4
78	бы и	4	4
79	то в	3	4
80	но не	3	4
81	тому что	3	4
82	же время	4	4
83	превращается в	2	4
84	и т	30	4
85	в других	2	4
86	в качестве	4	4
87	и о	1	4
88	для того	10	4
89	тем не	2	4
90	только в	10	4
91	что и	6	4
92	и уже	2	4
93	как будто	4	4
94	он не	2	4
95	на ее	1	3
96	в них	1	3
97	для нас	7	3
98	еще не	3	3
99	деле не	1	3
100	или в	1	3
101	одной из	1	3
102	так же	5	3
103	прежде всего	7	3
104	но при	1	3
105	к нему	2	3
106	этого произведения	1	3
107	этом и	1	3
108	бы не	2	3
109	что на	2	3
110	в нем	5	3
111	это была	1	3
112	в одном	1	3
113	ли в	2	3
114	по его	2	3
115	с одной	3	3
116	все его	1	3
117	не могу	1	3
118	раз в	2	3
119	в этих	2	3
120	на него	2	3
121	и ему	1	3
122	что у	4	3
123	что было	1	3
124	как он	1	3
125	с изумлением	1	3
126	не все	3	3
127	на себя	1	3
128	едва ли	1	3
129	что все	2	3
130	со стороны	6	3
131	по поводу	7	3
132	одной стороны	2	3
133	была бы	5	3
134	внимание на	3	3
135	и тех	1	3
136	будто бы	3	3
137	чтобы не	1	3
138	ни о	1	3
139	и на	1	3
140	о них	2	3
141	соответствии с	1	3
142	в это	1	3
143	несмотря на	2	3
144	всякий раз	2	3
145	когда в	1	3
146	с другой	9	3
147	столь же	4	3
148	все это	5	3
149	самом деле	11	3
150	в ней	3	3
151	было бы	17	3
152	и это	2	3
153	в соответствии	1	3
154	а с	3	3
155	можно было	13	3
156	как о	2	3
157	произведения не	1	2
158	что ей	1	2
159	о которых	1	2
160	все же	8	2
161	писателя в	2	2
162	данном случае	6	2
163	в другом	3	2
164	говорить о	2	2
165	место в	1	2
166	с того	1	2
167	точки зрения	11	2
168	в двух	3	2
169	ни одного	2	2
170	могла бы	1	2
171	а по	1	2
172	и для	3	2
173	т д	21	2
174	как на	1	2
175	себе в	1	2
176	потребность в	1	2
177	т п	9	2
178	и просто	1	2
179	вовсе не	19	2
180	гораздо более	4	2
181	из нас	1	2
182	в виде	3	2
183	не по	3	2
184	т е	15	2
185	сих пор	7	2
186	видит в	1	2
187	его и	1	2
188	хотя бы	6	2
189	тем самым	2	2
190	до сих	7	2
191	дело не	4	2
192	если в	2	2
193	что я	1	2
194	чего не	1	2
195	того или	4	2
196	и было	1	2
197	в нашем	1	2
198	его в	2	2
199	ответ на	3	2
200	нуждается в	1	2
201	ответственности перед	1	2
202	и только	3	2
203	оно не	1	2
204	что же	6	2
205	который был	1	2
206	один человек	1	2
207	вместе с	1	2
208	и тогда	2	2
209	отношение к	2	2
210	потому что	6	2
211	дело с	2	2
212	о которой	3	2
213	со всей	1	2
214	более чем	2	2
215	в голову	1	2
216	представляется в	1	2
217	и к	1	2
218	как мы	1	2
219	из этих	6	2
220	именно на	1	2
221	что не	3	2
222	сам не	1	2
223	лишь в	3	2
224	которая была	2	2
225	сказать что	7	2
226	была и	1	2
227	именно так	1	2
228	и от	1	2
229	я с	2	2
230	во второй	9	2
231	одного слова	1	2
232	том как	4	2
233	же и	4	2
234	от своего	1	2
235	в первом	2	2
236	говорит в	2	2
237	не столько	1	2
238	той же	5	2
239	это было	1	2
240	целый день	1	2
241	одна из	1	2
242	же как	3	2
243	в основе	3	2
244	и об	7	2
245	никого не	1	2
246	именно в	6	2
247	того как	1	2
248	ни с	3	2
249	знает и	2	2
250	бы с	1	2
251	только тем	2	2
252	не как	1	2
253	с точки	8	2
254	мысль о	1	2
255	но в	10	2
256	не зная	1	2
257	и у	2	2
258	еще и	2	2
259	было видно	1	2
260	однако в	1	2
261	не хотелось	1	2
262	на свой	2	2
263	в духе	1	2
264	а также	2	2
265	или иного	4	2
266	но еще	1	2
