N	2gram	Tiupa_Disk_1	ViktorSh
1	в книге	1	3
2	и в	16	2
3	том что	19	2
4	в том	23	2
5	теории прозы	1	2
6	в конце	1	2
7	а.н веселовского	2	2
8	крайней мере	2	1
9	тем более	1	1
10	ни к	6	1
11	в другом	2	1
12	хотя бы	3	1
13	и не	11	1
14	и его	2	1
15	потому что	4	1
16	я не	1	1
17	даже не	1	1
18	более чем	2	1
19	сводится к	5	1
20	и то	1	1
21	же с	1	1
22	впрочем не	1	1
23	самом деле	1	1
24	и т.д	4	1
25	именно в	3	1
26	по своим	4	1
27	в теории	1	1
28	чего не	1	1
29	в их	5	1
30	собственно и	2	1
31	то чего	1	1
32	их как	1	1
33	дело в	1	1
34	в частности	9	1
35	речи и	1	1
36	одно и	1	1
37	стоит на	1	1
38	столь же	3	1
39	в которых	4	1
40	в значительной	2	1
41	в самом	3	1
42	для них	1	1
43	только в	7	1
44	то же	7	1
45	далеко не	10	1
46	и составляет	3	1
47	к чему	1	1
48	другое дело	1	1
49	но это	1	1
50	в этом	15	1
51	да и	1	1
52	по крайней	2	1
53	а только	1	1
54	о теории	1	1
55	и заключается	1	1
56	к этому	2	1
57	значительной степени	2	1
58	без учета	1	1
