N	2gram	Propp_Isto_6	Marksizm
1	точки зрения	1	34
2	может быть	11	26
3	и не	10	26
4	не может	6	24
5	и его	7	19
6	и в	26	19
7	таким образом	12	17
8	в этом	12	16
9	как бы	4	15
10	прежде всего	4	13
11	как мы	4	13
12	как и	5	12
13	и пр	1	12
14	и для	1	11
15	так и	5	11
16	если мы	1	11
17	в нем	8	10
18	для него	1	9
19	только в	5	9
20	все же	8	8
21	при этом	3	8
22	сих пор	4	8
23	до сих	4	8
24	но и	9	8
25	то что	6	8
26	друг друга	1	8
27	не только	10	8
28	все эти	8	7
29	в связи	1	7
30	так же	2	7
31	во всех	1	7
32	в ее	1	7
33	но в	7	7
34	то же	5	7
35	и те	2	7
36	а не	2	7
37	и здесь	1	6
38	того же	2	6
39	кроме того	3	6
40	мы не	6	6
41	в том	12	6
42	в его	5	6
43	ничего не	2	6
44	другой стороны	8	6
45	во всяком	2	5
46	вовсе не	2	5
47	не в	3	5
48	те же	1	5
49	того чтобы	1	5
50	отличие от	1	5
51	ясно что	1	5
52	именно в	1	5
53	этот вопрос	1	5
54	с другой	10	5
55	к этому	3	5
56	мы знаем	2	5
57	еще не	9	4
58	вопрос о	3	4
59	что же	2	4
60	и тот	1	4
61	не будет	5	4
62	не менее	1	4
63	а в	3	4
64	между ними	1	4
65	что в	12	4
66	здесь мы	4	4
67	с этим	2	4
68	и на	12	4
69	как в	6	4
70	же является	1	4
71	для того	1	4
72	так называемая	1	4
73	не столько	1	4
74	от того	3	4
75	далеко не	3	4
76	и эта	3	4
77	в ней	5	4
78	сказать что	3	4
79	оно может	2	4
80	было бы	2	4
81	не будем	2	4
82	не является	1	4
83	к одному	1	4
84	в данном	3	4
85	только при	1	3
86	должны быть	2	3
87	можно сказать	2	3
88	в достаточной	1	3
89	к этим	1	3
90	и ее	3	3
91	и действительно	3	3
92	не было	3	3
93	к другой	1	3
94	имеет свою	1	3
95	в своей	3	3
96	социальной жизни	1	3
97	его в	5	3
98	но все	2	3
99	сводится к	2	3
100	смысле этого	1	3
101	одной из	1	3
102	этот процесс	1	3
103	и формы	2	3
104	между тем	1	3
105	не имеют	1	3
106	этом случае	6	3
107	по отношению	2	3
108	и к	1	3
109	между двумя	1	3
110	а как	1	3
111	и при	1	3
112	он является	1	3
113	в то	5	3
114	мы должны	2	3
115	и от	3	3
116	он не	2	3
117	в истории	1	3
118	в котором	1	3
119	к другому	1	3
120	не существует	1	3
121	того что	2	3
122	не могут	1	3
123	и как	2	3
124	быть и	1	3
125	не имеет	2	3
126	на этот	1	3
127	все это	1	3
128	в области	1	3
129	целый ряд	2	3
130	и есть	1	3
131	одного из	1	3
132	и это	8	3
133	не есть	2	3
134	том что	10	3
135	то мы	1	2
136	одним из	1	2
137	одну из	4	2
138	и этот	1	2
139	или иначе	1	2
140	в себе	3	2
141	всех сторон	1	2
142	не знает	1	2
143	и с	6	2
144	бы в	1	2
145	в частности	3	2
146	в другом	1	2
147	из этих	4	2
148	числе и	1	2
149	или в	3	2
150	жизни и	2	2
151	от этого	3	2
152	на первый	3	2
153	именно на	2	2
154	по мере	1	2
155	отношению к	2	2
156	но при	2	2
157	этими двумя	1	2
158	зависит от	4	2
159	это так	1	2
160	быть дано	1	2
161	действительно ли	1	2
162	там где	5	2
163	этот круг	1	2
164	связана с	3	2
165	от него	3	2
166	если он	3	2
167	связь и	1	2
168	его к	1	2
169	глаза и	1	2
170	к единству	1	2
171	таком случае	1	2
172	и только	3	2
173	пока не	2	2
174	самый вопрос	1	2
175	с этой	2	2
176	из него	2	2
177	на этой	2	2
178	мира и	2	2
179	связи нет	1	2
180	в таком	1	2
181	следовательно и	1	2
182	но если	1	2
183	независимо от	3	2
184	его значение	1	2
185	вот в	1	2
186	к своему	3	2
187	никогда не	13	2
188	и даже	1	2
189	и других	3	2
190	из которых	3	2
191	языке и	1	2
192	с ее	1	2
193	со всех	1	2
194	из этого	3	2
195	другими словами	3	2
196	в качестве	3	2
197	у нас	5	2
198	что не	2	2
199	к тому	2	2
200	как он	6	2
201	мысль и	1	2
202	не все	1	2
203	к этой	1	2
204	зависимости от	2	2
205	в одной	2	2
206	как она	1	2
207	ни в	2	2
208	же и	1	2
209	всяком случае	2	2
210	тем что	5	2
211	они все	1	2
212	не могло	2	2
213	что все	1	2
214	ту же	2	2
215	и др	2	2
216	одна из	2	2
217	мы уже	6	2
218	этого слова	1	2
219	нет ни	2	2
220	формы в	1	2
221	же как	3	2
222	могут быть	3	2
223	тому что	1	2
224	совпадает с	1	2
225	и он	4	2
226	стороны оно	1	2
227	тем не	1	2
228	мы можем	7	2
229	она не	3	2
230	однако не	1	2
231	не просто	1	2
232	далеко за	1	2
233	что и	4	2
234	язык и	1	2
235	не как	1	2
236	в своих	3	2
237	том числе	1	2
238	первый план	2	2
239	о том	7	2
240	между этими	1	2
241	в какой-то	1	2
242	другом и	1	2
243	от нее	2	2
244	что он	9	2
245	или вообще	2	2
246	ни одной	2	2
247	в основе	1	2
248	достаточной степени	1	2
249	говорит он	2	2
250	по аналогии	1	2
251	должна быть	3	2
252	уже у	1	2
253	так как	18	2
254	связаны с	5	2
255	можно было	2	2
256	человека в	2	2
257	если бы	3	2
258	именно здесь	1	2
259	но для	2	2
260	и более	1	2
261	в своем	2	2
262	в свою	1	2
263	в русской	6	2
264	только наиболее	1	1
265	не означает	2	1
266	если и	1	1
267	что между	4	1
268	и там	6	1
269	которую мы	1	1
270	главным образом	3	1
271	с целью	1	1
272	же эта	2	1
273	все этапы	1	1
274	образом и	2	1
275	приводит к	1	1
276	очень много	1	1
277	в голове	1	1
278	не значит	1	1
279	нам может	1	1
280	в форме	2	1
281	языка но	1	1
282	или они	1	1
283	и вот	3	1
284	их к	1	1
285	и наконец	3	1
286	всецело зависит	2	1
287	аналогии с	1	1
288	но дело	1	1
289	пониманию того	1	1
290	искать в	1	1
291	может дать	1	1
292	мы наблюдаем	1	1
293	также в	1	1
294	и вопрос	1	1
295	только мы	1	1
296	видим и	1	1
297	отличается от	2	1
298	в один	1	1
299	в более	6	1
300	нет в	3	1
301	эти два	2	1
302	может служить	1	1
303	в обе	1	1
304	здесь и	2	1
305	ней нет	2	1
306	они были	1	1
307	еще и	1	1
308	уходят в	1	1
309	здесь не	2	1
310	этого он	1	1
311	первобытного человека	1	1
312	связи со	1	1
313	ее к	3	1
314	и вся	1	1
315	и современная	1	1
316	и чрезвычайно	1	1
317	перейти в	1	1
318	же мы	5	1
319	так для	1	1
320	образом не	1	1
321	с человеком	1	1
322	только после	1	1
323	он находится	1	1
324	свет и	1	1
325	позволит нам	1	1
326	одна и	1	1
327	ту сторону	1	1
328	к нему	1	1
329	она становится	1	1
330	стоящего на	1	1
331	что это	2	1
332	и они	2	1
333	здесь можно	7	1
334	бы ни	1	1
335	этого мы	1	1
336	быть только	2	1
337	обстоит дело	1	1
338	места для	1	1
339	этой точки	1	1
340	еще почти	1	1
341	и другие	3	1
342	так что	3	1
343	такое понимание	2	1
344	как это	5	1
345	та же	3	1
346	что я	1	1
347	друг с	1	1
348	только то	2	1
349	например в	7	1
350	между прочим	1	1
351	это значит	1	1
352	с тем	4	1
353	в одном	3	1
354	могла быть	1	1
355	чтобы он	1	1
356	того как	3	1
357	где нет	2	1
358	стороны и	2	1
359	находит свое	1	1
360	или даже	1	1
361	были бы	1	1
362	в образе	10	1
363	по своей	1	1
364	но не	2	1
365	же не	2	1
366	то отсюда	1	1
367	его как	1	1
368	все его	1	1
369	его до	1	1
370	связан с	6	1
371	тем самым	2	1
372	или же	2	1
373	поэтому и	1	1
374	мир не	2	1
375	никем не	1	1
376	превращается в	7	1
377	отношение к	1	1
378	с другом	1	1
379	потому что	13	1
380	еще мало	1	1
381	но вот	2	1
382	еще одна	1	1
383	как говорит	1	1
384	здесь нет	2	1
385	и конечно	2	1
386	и очень	1	1
387	состоит из	1	1
388	должны были	2	1
389	с переходом	3	1
390	но как	4	1
391	у них	4	1
392	есть та	1	1
393	это не	4	1
394	мы видели	11	1
395	к ней	1	1
396	перед ним	1	1
397	хотя и	1	1
398	они дают	1	1
399	не что	1	1
400	как воплощение	1	1
401	на все	1	1
402	при помощи	3	1
403	вообще не	3	1
404	как они	1	1
405	что есть	1	1
406	в моем	1	1
407	на него	2	1
408	которые в	2	1
409	идет о	1	1
410	в других	4	1
411	или вернее	1	1
412	пор не	1	1
413	и один	1	1
414	от окружающей	1	1
415	чем речь	1	1
416	в целом	1	1
417	русском языке	1	1
418	ее в	6	1
419	весь процесс	1	1
420	этой цели	1	1
421	значит что	2	1
422	эта форма	1	1
423	чтобы они	2	1
424	не видим	1	1
425	говорящих на	1	1
426	чистом виде	1	1
427	этой же	1	1
428	может фигурировать	1	1
429	относится к	2	1
430	только с	1	1
431	это чрезвычайно	1	1
432	но уже	1	1
433	уже давно	2	1
434	более широкий	1	1
435	следующим образом	1	1
436	можно найти	1	1
437	переходом на	1	1
438	форме в	1	1
439	при анализе	1	1
440	тот или	1	1
441	оно само	1	1
442	а все	1	1
443	пор мы	2	1
444	под влиянием	1	1
445	из их	1	1
446	конечно эти	1	1
447	этого момента	1	1
448	еще в	3	1
449	о чем	2	1
450	на них	1	1
451	мог быть	1	1
452	уже не	7	1
453	или менее	1	1
454	не попасть	1	1
455	и может	1	1
456	ни один	1	1
457	выражена в	1	1
458	более или	1	1
459	имеются в	2	1
460	с ними	2	1
461	как от	1	1
462	как только	3	1
463	в особенности	1	1
464	еще никем	1	1
465	не должен	1	1
466	пришел к	1	1
467	одной стороны	7	1
468	для этого	1	1
469	и тем	4	1
470	равно как	1	1
471	то оно	1	1
472	она получает	1	1
473	в этой	2	1
474	как ни	1	1
475	оно было	1	1
476	между которыми	1	1
477	в мир	1	1
478	как то	1	1
479	с одной	7	1
480	ответственная за	1	1
481	эти случаи	2	1
482	остается в	1	1
483	по ту	1	1
484	а по	1	1
485	влечет за	2	1
486	к одной	1	1
487	мы видим	5	1
488	так ярко	1	1
489	и если	1	1
490	она и	1	1
491	и что	5	1
492	нас интересуют	1	1
493	также и	1	1
494	ее и	1	1
495	уже знаем	2	1
496	их в	3	1
497	там нет	1	1
498	перехода от	1	1
499	них в	1	1
500	находятся под	1	1
501	связей с	2	1
502	с его	4	1
503	эти же	1	1
504	должен быть	1	1
505	этого вопроса	1	1
506	бы что	1	1
507	от них	1	1
508	этих двух	1	1
509	часто в	1	1
510	здесь же	4	1
511	подобно тому	1	1
512	отметить что	2	1
513	душа или	1	1
514	особый и	1	1
515	после этого	4	1
516	или наоборот	1	1
517	есть и	4	1
518	но что	1	1
519	на эти	2	1
520	если оно	1	1
521	нет места	1	1
522	его не	2	1
523	этом направлении	1	1
524	по существу	1	1
525	он же	1	1
526	проследить эту	1	1
527	и до	2	1
528	функции и	1	1
529	от труда	1	1
530	или как	2	1
531	не поддается	2	1
532	пр есть	1	1
533	должно было	1	1
534	и то	3	1
535	и по-видимому	1	1
536	в последнем	2	1
537	так или	1	1
538	попасть в	4	1
539	имеется в	3	1
540	все другие	1	1
541	уже в	1	1
542	неба и	1	1
543	тому как	1	1
544	со стороны	3	1
545	так например	3	1
546	неотделим от	1	1
547	ответить на	1	1
548	такая же	1	1
549	его что	2	1
550	эти вопросы	1	1
551	от его	1	1
552	характерно что	1	1
553	что мы	2	1
554	а если	1	1
555	образом в	1	1
556	и по	4	1
557	план выдвигается	1	1
558	мы возьмем	1	1
559	роль и	1	1
