N	3gram	Bakhtin_Pr_4	Hudozhes
1	о том что	2	9
2	то же время	5	8
3	по отношению к	5	8
4	в то же	5	8
5	в том что	2	6
6	в самом деле	4	4
7	можно было бы	2	4
8	к тому что	1	4
9	с точки зрения	9	3
10	но в то	2	3
11	в связи с	1	3
12	как и в	3	3
13	к себе самому	3	2
14	по своей природе	2	2
15	в столкновение с	1	2
16	до сих пор	8	2
17	не только в	1	2
18	в значительной степени	1	2
19	так или иначе	1	2
20	вместо того чтобы	1	2
21	не может быть	8	2
22	самом деле в	1	2
23	и в конце	1	1
24	но именно поэтому	1	1
25	а между тем	1	1
26	не может не	1	1
27	лишь то что	1	1
28	прежде всего на	1	1
29	та же самая	1	1
30	прежде всего в	1	1
31	как нам кажется	2	1
32	но при этом	1	1
33	в этом смысле	2	1
34	том что он	1	1
35	одной стороны и	1	1
36	же как и	1	1
37	и к себе	1	1
38	и в то	1	1
39	с самого начала	1	1
40	для него в	1	1
41	сами по себе	2	1
42	и так или	1	1
43	более или менее	3	1
44	на самом же	1	1
45	в себе и	1	1
46	от первого лица	1	1
47	того и другого	2	1
48	в отличие от	3	1
49	при этом не	1	1
50	в письме к	1	1
51	как и все	4	1
52	приходит в столкновение	1	1
53	своими корнями в	1	1
54	к себе и	1	1
55	вообще во всех	1	1
56	в узком смысле	2	1
57	такой же как	1	1
58	не в его	1	1
59	именно поэтому же	1	1
60	в высшей степени	1	1
61	в конце концов	1	1
62	так и в	1	1
63	он ее не	1	1
64	он уже не	1	1
65	в нем не	1	1
66	во всяком случае	1	1
67	как бы в	3	1
68	самом же деле	1	1
69	в свое время	2	1
70	в данном случае	1	1
71	между этими двумя	1	1
72	в этом он	1	1
73	то что мы	1	1
74	никогда не бывает	1	1
75	но в этом	1	1
76	но все же	1	1
77	даже в самых	1	1
78	друг от друга	1	1
79	если бы не	1	1
80	мы не знаем	1	1
81	все же не	1	1
82	в художественном мире	1	1
83	с одной стороны	1	1
84	в него и	1	1
85	друг с другом	5	1
86	из этих моментов	1	1
87	героя и героини	1	1
88	друг друга и	1	1
89	он живет в	1	1
90	не в этом	1	1
91	в своей жизни	1	1
