N	2gram	Bakhtin_Pr_3	Marksizm
1	точки зрения	8	34
2	может быть	19	26
3	и не	29	26
4	не может	19	24
5	с точки	4	20
6	и в	34	19
7	и его	16	19
8	таким образом	5	17
9	в этом	16	16
10	как бы	27	15
11	в процессе	1	14
12	как мы	7	13
13	прежде всего	15	13
14	как и	18	12
15	и пр	1	12
16	так и	6	11
17	связи с	1	11
18	и для	8	11
19	самом деле	13	10
20	в нем	19	10
21	в слове	5	10
22	ни было	4	10
23	в самом	8	10
24	внутренней речи	4	9
25	лишь в	5	9
26	внутренняя речь	3	9
27	только в	6	9
28	для него	13	9
29	бы то	4	8
30	все же	7	8
31	не только	10	8
32	без исключения	3	8
33	при этом	4	8
34	то ни	4	8
35	друг друга	2	8
36	до сих	1	8
37	но и	12	8
38	сих пор	1	8
39	то что	11	8
40	во всех	2	7
41	в ее	3	7
42	но в	16	7
43	все эти	4	7
44	то же	14	7
45	в каждом	3	7
46	слова как	2	7
47	а не	9	7
48	так же	8	7
49	отнюдь не	2	6
50	так сказать	2	6
51	и того	2	6
52	ничего не	4	6
53	в пределах	6	6
54	в его	22	6
55	в том	3	6
56	в основном	1	6
57	другой стороны	3	6
58	того же	2	6
59	отличие от	2	5
60	конечно не	2	5
61	по преимуществу	1	5
62	входит в	2	5
63	может стать	1	5
64	рядом с	4	5
65	одного и	1	5
66	в отличие	2	5
67	не в	9	5
68	того чтобы	1	5
69	те же	2	5
70	и все	19	5
71	ясно что	1	5
72	в начале	4	5
73	в конце	5	5
74	вовсе не	11	5
75	с другой	4	5
76	за пределы	2	5
77	до конца	3	5
78	мы знаем	2	5
79	и потому	2	5
80	хотя бы	5	5
81	во всяком	5	5
82	что слово	1	4
83	оно может	1	4
84	вопрос о	2	4
85	и на	6	4
86	нет и	3	4
87	чем же	1	4
88	как в	4	4
89	и тот	1	4
90	к одному	3	4
91	лишь с	1	4
92	здесь мы	1	4
93	было бы	2	4
94	не столько	1	4
95	не менее	3	4
96	по себе	3	4
97	в отношении	9	4
98	самого начала	8	4
99	всех без	1	4
100	внутренней жизни	2	4
101	не является	2	4
102	в ней	3	4
103	с самого	8	4
104	еще не	4	4
105	только на	4	4
106	слово как	1	4
107	для того	1	4
108	далеко не	3	4
109	и между	1	4
110	с этим	2	4
111	в данном	1	4
112	что же	8	4
113	дело идет	5	4
114	и внешнего	2	4
115	тот же	2	4
116	а в	5	4
117	отношении к	7	4
118	между ними	1	4
119	сказать что	2	4
120	что в	7	4
121	на самом	11	3
122	он может	2	3
123	между двумя	2	3
124	в нашу	1	3
125	высшей степени	3	3
126	а как	2	3
127	в сущности	11	3
128	в большинстве	2	3
129	по отношению	5	3
130	один и	1	3
131	и как	3	3
132	и к	12	3
133	в первом	1	3
134	в которой	2	3
135	к другому	20	3
136	является лишь	1	3
137	этот процесс	1	3
138	в корне	1	3
139	но все	5	3
140	его в	4	3
141	но именно	2	3
142	он не	15	3
143	в высшей	3	3
144	переходим к	4	3
145	том что	3	3
146	места в	1	3
147	в своей	3	3
148	и ее	2	3
149	в котором	3	3
150	более того	2	3
151	мы говорили	1	3
152	является в	1	3
153	речи в	2	3
154	войти в	2	3
155	в то	12	3
156	для каждого	1	3
157	все без	2	3
158	для всего	1	3
159	же время	12	3
160	этом отношении	1	3
161	не могут	1	3
162	и это	4	3
163	в дальнейшем	1	3
164	понятно что	2	3
165	сводится к	3	3
166	можно сказать	1	3
167	с другими	4	3
168	внутреннего и	2	3
169	конце концов	3	3
170	того что	5	3
171	быть и	2	3
172	одной из	1	3
173	нуждается в	3	3
174	и действительно	1	3
175	правда и	1	3
176	между тем	3	3
177	большинстве случаев	3	3
178	из них	5	3
179	момент в	1	3
180	или иной	2	3
181	не было	2	3
182	на этот	1	3
183	все это	16	3
184	какого бы	1	3
185	нашу задачу	1	3
186	смысле этого	2	3
187	слова и	10	3
